onset_div	duration_div	onset_beat	pitch	tpc	step	alter	beat_float	downbeat	is_downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	a_isOnset	cadence	cadence_type	cadence_subtype	phraseend	a_phraseend	unfolded_harmony_index	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	a_simpleNumeral	a_degree1	a_degree2	globalkey_tpc	localkey_tpc	tonicized_tpc	root_tpc	bass_note_tpc	a_root	a_bass	a_localKey	a_tonicizedKey	a_quality	a_inversion	valid_chord_label	valid_cadence_label	valid_phrase_label	valid_pedal_point_label	valid_section_start_label	sic_with_global	sic_with_local	sic_with_tonicized	note_degree	tpc_is_in_label	tpc_is_root	tpc_is_bass
390	1	65.0	75	9	D	1	1.0	1	True	6	8	1	1	1/16	True	4	21	40	17	17a	5	195/2	False	True					False	96	V6	e	I		V6	V		6			M	True	False	(5, 2, 1)	()	1	5	minor	major	I	I, minor	V		I	I	False	V6	V6, major		V6, major		V	V	5		4	4	4	5	9	B	D#	E	E	major triad	1	True	True	True	True	True	5	5	5	7	True	False	True
391	1	65.167	76	4	E	0	1.167	0	False	6	8	1	1	1/16	True	4	21	40	17	17a	5	391/4	False	False					False	96	V6	e	I		V6	V		6			M	True	False	(5, 2, 1)	()	1	5	minor	major	I	I, minor	V		I	I	False	V6	V6, major		V6, major		V	V	5		4	4	4	5	9	B	D#	E	E	major triad	1	True	True	True	True	True	0	0	0	1	False	False	False
392	2	65.333	78	6	F	1	1.333	0	False	6	8	1	1	1/8	True	4	21	40	17	17a	5	98	False	False					False	96	V6	e	I		V6	V		6			M	True	False	(5, 2, 1)	()	1	5	minor	major	I	I, minor	V		I	I	False	V6	V6, major		V6, major		V	V	5		4	4	4	5	9	B	D#	E	E	major triad	1	True	True	True	True	True	2	2	2	2	True	False	False
394	2	65.667	71	5	B	0	1.667	0	False	6	8	1	1	1/8	True	4	21	40	17	17a	4	197/2	False	False					False	96	V6	e	I		V6	V		6			M	True	False	(5, 2, 1)	()	1	5	minor	major	I	I, minor	V		I	I	False	V6	V6, major		V6, major		V	V	5		4	4	4	5	9	B	D#	E	E	major triad	1	True	True	True	True	True	1	1	1	5	True	True	False
396	2	66.0	61	7	C	1	2.0	2	True	6	8	2	1	1/8	True	4	21	40	17	17a	4	99	False	True					False	97	V.V43	e	V		V43	V		43			Mm7	True	False	(2, -1, 1, 5)	()	1	2	minor	major	V	V, minor	V		V	V	False	V43	V43, major		V43, major		V	V7	5		4	5	5	6	7	F#	C#	B	B	dominant seventh chord	2	True	True	True	True	True	3	2	2	2	True	False	True
396	2	66.0	76	4	E	0	2.0	2	True	6	8	1	1	1/8	True	4	21	40	17	17a	5	99	False	True					False	97	V.V43	e	V		V43	V		43			Mm7	True	False	(2, -1, 1, 5)	()	1	2	minor	major	V	V, minor	V		V	V	False	V43	V43, major		V43, major		V	V7	5		4	5	5	6	7	F#	C#	B	B	dominant seventh chord	2	True	True	True	True	True	0	-1	-1	4	True	False	False
398	2	66.333	58	10	A	1	2.333	0	False	6	8	2	1	1/8	True	4	21	40	17	17a	3	199/2	False	True					False	98	V65	e	V		V65	V		65			Mm7	True	False	(5, 2, -1, 1)	()	1	5	minor	major	V	V, minor	V		V	V	False	V65	V65, major		V65, major		V	V7	5		4	5	5	6	10	F#	A#	B	B	dominant seventh chord	1	True	True	True	True	True	6	5	5	7	True	False	True
398	1	66.333	78	6	F	1	2.333	0	False	6	8	1	1	1/16	True	4	21	40	17	17a	5	199/2	False	True					False	98	V65	e	V		V65	V		65			Mm7	True	False	(5, 2, -1, 1)	()	1	5	minor	major	V	V, minor	V		V	V	False	V65	V65, major		V65, major		V	V7	5		4	5	5	6	10	F#	A#	B	B	dominant seventh chord	1	True	True	True	True	True	2	1	1	5	True	True	False
399	1	66.5	76	4	E	0	2.5	0	False	6	8	1	1	1/16	True	4	21	40	17	17a	5	399/4	False	False					False	98	V65	e	V		V65	V		65			Mm7	True	False	(5, 2, -1, 1)	()	1	5	minor	major	V	V, minor	V		V	V	False	V65	V65, major		V65, major		V	V7	5		4	5	5	6	10	F#	A#	B	B	dominant seventh chord	1	True	True	True	True	True	0	-1	-1	4	True	False	False
400	2	66.667	59	5	B	0	2.667	0	False	6	8	2	1	1/8	True	4	21	40	17	17a	3	100	False	True					False	99	I	e	V		I	I					M	True	False	(0, 4, 1)	()	0	0	minor	major	V	V, minor	I		V	V	False	I	I, major		I, major		I	I	1		4	5	5	5	5	B	B	B	B	major triad	0	True	True	True	True	True	1	0	0	1	True	True	True
400	1	66.667	75	9	D	1	2.667	0	False	6	8	1	1	1/16	True	4	21	40	17	17a	5	100	False	True					False	99	I	e	V		I	I					M	True	False	(0, 4, 1)	()	0	0	minor	major	V	V, minor	I		V	V	False	I	I, major		I, major		I	I	1		4	5	5	5	5	B	B	B	B	major triad	0	True	True	True	True	True	5	4	4	3	True	False	False
401	1	66.833	76	4	E	0	2.833	0	False	6	8	1	1	1/16	True	4	21	40	17	17a	5	401/4	False	False					False	99	I	e	V		I	I					M	True	False	(0, 4, 1)	()	0	0	minor	major	V	V, minor	I		V	V	False	I	I, major		I, major		I	I	1		4	5	5	5	5	B	B	B	B	major triad	0	True	True	True	True	True	0	-1	-1	4	False	False	False
402	4	67.0	54	6	F	1	1.0	1	True	6	8	2	1	1/4	True	4	22	41	18	18a	3	201/2	False	True					False	100	V	e	V		V	V					M	True	False	(1, 5, 2)	()	1	1	minor	major	V	V, minor	V		V	V	False	V	V, major		V, major		V	V	5		4	5	5	6	6	F#	F#	B	B	major triad	0	True	True	True	True	True	2	1	1	5	True	True	True
402	4	67.0	73	7	C	1	1.0	1	True	6	8	1	1	1/4	True	4	22	41	18	18a	5	201/2	False	True					False	100	V	e	V		V	V					M	True	False	(1, 5, 2)	()	1	1	minor	major	V	V, minor	V		V	V	False	V	V, major		V, major		V	V	5		4	5	5	6	6	F#	F#	B	B	major triad	0	True	True	True	True	True	3	2	2	2	True	False	False
406	2	67.667	47	5	B	0	1.667	0	False	6	8	2	1	1/8	True	4	22	41	18	18a	2	203/2	False	True	PAC	PAC		}	True	101	I|PAC}	e	V		I	I					M	True	False	(0, 4, 1)	()	0	0	minor	major	V	V, minor	I		V	V	False	I	I, major		I, major		I	I	1		4	5	5	5	5	B	B	B	B	major triad	0	True	True	True	True	True	1	0	0	1	True	True	True
406	2	67.667	71	5	B	0	1.667	0	False	6	8	1	1	1/8	True	4	22	41	18	18a	4	203/2	False	True	PAC	PAC		}	True	101	I|PAC}	e	V		I	I					M	True	False	(0, 4, 1)	()	0	0	minor	major	V	V, minor	I		V	V	False	I	I, major		I, major		I	I	1		4	5	5	5	5	B	B	B	B	major triad	0	True	True	True	True	True	1	0	0	1	True	True	True
408	0	68.0	73	7	C	1	2.0	2	True	6	8	1	1	0	True	4	22	41	18	18a	5	102	False	True				{	False	102	I.V65/IV{	e	I		V65/IV	V		65		IV	Mm7	True	False	(4, 1, -2, 0)	()	0	4	minor	major	I	I, minor	V/IV	IV	IV/I	IV	False	V65/IV	V65/IV, major		V65/IV, major	IV	IV	V7	5	4	4	4	3	4	8	E	G#	E	A	dominant seventh chord	1	True	True	True	True	True	3	3	4	6	False	False	False
408	1	68.0	56	8	G	1	2.0	2	True	6	8	2	1	1/16	True	4	22	41	18	18a	3	102	False	True				{	False	102	I.V65/IV{	e	I		V65/IV	V		65		IV	Mm7	True	False	(4, 1, -2, 0)	()	0	4	minor	major	I	I, minor	V/IV	IV	IV/I	IV	False	V65/IV	V65/IV, major		V65/IV, major	IV	IV	V7	5	4	4	4	3	4	8	E	G#	E	A	dominant seventh chord	1	True	True	True	True	True	4	4	5	3	True	False	True
408	4	68.0	74	2	D	0	2.0	2	True	6	8	1	1	1/4	True	4	22	41	18	18a	5	102	False	True				{	False	102	I.V65/IV{	e	I		V65/IV	V		65		IV	Mm7	True	False	(4, 1, -2, 0)	()	0	4	minor	major	I	I, minor	V/IV	IV	IV/I	IV	False	V65/IV	V65/IV, major		V65/IV, major	IV	IV	V7	5	4	4	4	3	4	8	E	G#	E	A	dominant seventh chord	1	True	True	True	True	True	-2	-2	-1	b7	True	False	False
409	1	68.167	57	3	A	0	2.167	0	False	6	8	2	1	1/16	True	4	22	41	18	18a	3	409/4	False	False					False	102	I.V65/IV{	e	I		V65/IV	V		65		IV	Mm7	True	False	(4, 1, -2, 0)	()	0	4	minor	major	I	I, minor	V/IV	IV	IV/I	IV	False	V65/IV	V65/IV, major		V65/IV, major	IV	IV	V7	5	4	4	4	3	4	8	E	G#	E	A	dominant seventh chord	1	True	True	True	True	True	-1	-1	0	4	False	False	False
410	2	68.333	59	5	B	0	2.333	0	False	6	8	2	1	1/8	True	4	22	41	18	18a	3	205/2	False	False					False	102	I.V65/IV{	e	I		V65/IV	V		65		IV	Mm7	True	False	(4, 1, -2, 0)	()	0	4	minor	major	I	I, minor	V/IV	IV	IV/I	IV	False	V65/IV	V65/IV, major		V65/IV, major	IV	IV	V7	5	4	4	4	3	4	8	E	G#	E	A	dominant seventh chord	1	True	True	True	True	True	1	1	2	5	True	False	False
