onset_div	duration_div	onset_beat	pitch	tpc	step	alter	beat_float	downbeat	is_downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	a_isOnset	cadence	cadence_type	cadence_subtype	phraseend	a_phraseend	unfolded_harmony_index	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	a_simpleNumeral	a_degree1	a_degree2	globalkey_tpc	localkey_tpc	tonicized_tpc	root_tpc	bass_note_tpc	a_root	a_bass	a_localKey	a_tonicizedKey	a_quality	a_inversion	valid_chord_label	valid_cadence_label	valid_phrase_label	valid_pedal_point_label	valid_section_start_label	sic_with_global	sic_with_local	sic_with_tonicized	note_degree	tpc_is_in_label	tpc_is_root	tpc_is_bass
888	4	74.0	78	6	F	1	3.0	3	True	3	8	2	1	1/24	True	2	25	25	25	25a	5	37	False	False					False	45	iii.i	D	iii		i	i					m	False	True	(0, -3, 1)	()	0	0	major	minor	iii	iii, major	i		iii	iii	True	i	i, minor		i, minor		i	i	1		2	6	6	6	6	F#	F#	F#	F#	minor triad	0	True	True	True	True	True	4	0	0	1	True	True	True
888	4	74.0	81	3	A	0	3.0	3	True	3	8	1	1	1/24	True	2	25	25	25	25a	5	37	False	False					False	45	iii.i	D	iii		i	i					m	False	True	(0, -3, 1)	()	0	0	major	minor	iii	iii, major	i		iii	iii	True	i	i, minor		i, minor		i	i	1		2	6	6	6	6	F#	F#	F#	F#	minor triad	0	True	True	True	True	True	1	-3	-3	3	True	False	False
892	4	74.333	80	8	G	1	3.333	0	False	3	8	2	1	1/24	True	2	25	25	25	25a	5	223/6	False	False					False	45	iii.i	D	iii		i	i					m	False	True	(0, -3, 1)	()	0	0	major	minor	iii	iii, major	i		iii	iii	True	i	i, minor		i, minor		i	i	1		2	6	6	6	6	F#	F#	F#	F#	minor triad	0	True	True	True	True	True	6	2	2	2	False	False	False
892	4	74.333	83	5	B	0	3.333	0	False	3	8	1	1	1/24	True	2	25	25	25	25a	5	223/6	False	False					False	45	iii.i	D	iii		i	i					m	False	True	(0, -3, 1)	()	0	0	major	minor	iii	iii, major	i		iii	iii	True	i	i, minor		i, minor		i	i	1		2	6	6	6	6	F#	F#	F#	F#	minor triad	0	True	True	True	True	True	3	-1	-1	4	False	False	False
896	4	74.667	78	6	F	1	3.667	0	False	3	8	2	1	1/24	True	2	25	25	25	25a	5	112/3	False	False					False	45	iii.i	D	iii		i	i					m	False	True	(0, -3, 1)	()	0	0	major	minor	iii	iii, major	i		iii	iii	True	i	i, minor		i, minor		i	i	1		2	6	6	6	6	F#	F#	F#	F#	minor triad	0	True	True	True	True	True	4	0	0	1	True	True	True
896	4	74.667	81	3	A	0	3.667	0	False	3	8	1	1	1/24	True	2	25	25	25	25a	5	112/3	False	False					False	45	iii.i	D	iii		i	i					m	False	True	(0, -3, 1)	()	0	0	major	minor	iii	iii, major	i		iii	iii	True	i	i, minor		i, minor		i	i	1		2	6	6	6	6	F#	F#	F#	F#	minor triad	0	True	True	True	True	True	1	-3	-3	3	True	False	False
900	6	75.0	78	6	F	1	1.0	1	True	3	8	1	1	1/16	True	2	26	26	26	26a	5	75/2	False	False					False	45	iii.i	D	iii		i	i					m	False	True	(0, -3, 1)	()	0	0	major	minor	iii	iii, major	i		iii	iii	True	i	i, minor		i, minor		i	i	1		2	6	6	6	6	F#	F#	F#	F#	minor triad	0	True	True	True	True	True	4	0	0	1	True	True	True
900	6	75.0	81	3	A	0	1.0	1	True	3	8	2	1	1/16	True	2	26	26	26	26a	5	75/2	False	False					False	45	iii.i	D	iii		i	i					m	False	True	(0, -3, 1)	()	0	0	major	minor	iii	iii, major	i		iii	iii	True	i	i, minor		i, minor		i	i	1		2	6	6	6	6	F#	F#	F#	F#	minor triad	0	True	True	True	True	True	1	-3	-3	3	True	False	False
906	6	75.5	66	6	F	1	1.5	0	False	3	8	3	1	1/16	True	2	26	26	26	26a	4	151/4	False	False					False	45	iii.i	D	iii		i	i					m	False	True	(0, -3, 1)	()	0	0	major	minor	iii	iii, major	i		iii	iii	True	i	i, minor		i, minor		i	i	1		2	6	6	6	6	F#	F#	F#	F#	minor triad	0	True	True	True	True	True	4	0	0	1	True	True	True
906	6	75.5	69	3	A	0	1.5	0	False	3	8	1	1	1/16	True	2	26	26	26	26a	4	151/4	False	False					False	45	iii.i	D	iii		i	i					m	False	True	(0, -3, 1)	()	0	0	major	minor	iii	iii, major	i		iii	iii	True	i	i, minor		i, minor		i	i	1		2	6	6	6	6	F#	F#	F#	F#	minor triad	0	True	True	True	True	True	1	-3	-3	3	True	False	False
