onset_div	duration_div	onset_beat	pitch	tpc	step	alter	beat_float	downbeat	is_downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	a_isOnset	cadence	cadence_type	cadence_subtype	phraseend	a_phraseend	unfolded_harmony_index	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	a_simpleNumeral	a_degree1	a_degree2	globalkey_tpc	localkey_tpc	tonicized_tpc	root_tpc	bass_note_tpc	a_root	a_bass	a_localKey	a_tonicizedKey	a_quality	a_inversion	valid_chord_label	valid_cadence_label	valid_phrase_label	valid_pedal_point_label	valid_section_start_label	sic_with_global	sic_with_local	sic_with_tonicized	note_degree	tpc_is_in_label	tpc_is_root	tpc_is_bass
5976	36	249.0	75	-3	E	-1	2.0	2	True	3	4	1	1	3/8	True	-2	41	87	39	39b	5	249	False	True					False	215	ii43	Bb	I		ii43	ii		43			mm7	False	False	(3, 0, 2, -1)	()	2	3	major	major	I	I, major	ii		I	I	False	ii43	ii43, major		ii43, major		ii	ii7	2		-2	-2	-2	0	1	C	G	Bb	Bb	minor seventh chord	2	True	True	True	True	True	-1	-1	-1	4	True	False	False
5984	8	249.333	57	3	A	0	2.333	0	False	3	4	2	1	1/12	True	-2	41	87	39	39b	3	748/3	False	False					False	215	ii43	Bb	I		ii43	ii		43			mm7	False	False	(3, 0, 2, -1)	()	2	3	major	major	I	I, major	ii		I	I	False	ii43	ii43, major		ii43, major		ii	ii7	2		-2	-2	-2	0	1	C	G	Bb	Bb	minor seventh chord	2	True	True	True	True	True	5	5	5	7	False	False	False
5992	8	249.667	55	1	G	0	2.667	0	False	3	4	2	1	1/12	True	-2	41	87	39	39b	3	749/3	False	False					False	215	ii43	Bb	I		ii43	ii		43			mm7	False	False	(3, 0, 2, -1)	()	2	3	major	major	I	I, major	ii		I	I	False	ii43	ii43, major		ii43, major		ii	ii7	2		-2	-2	-2	0	1	C	G	Bb	Bb	minor seventh chord	2	True	True	True	True	True	3	3	3	6	True	False	True
6000	8	250.0	51	-3	E	-1	3.0	3	True	3	4	2	1	1/12	True	-2	41	87	39	39b	3	250	False	True					False	216	ii65	Bb	I		ii65	ii		65			mm7	False	False	(-1, 3, 0, 2)	()	2	-1	major	major	I	I, major	ii		I	I	False	ii65	ii65, major		ii65, major		ii	ii7	2		-2	-2	-2	0	-3	C	Eb	Bb	Bb	minor seventh chord	1	True	True	True	True	True	-1	-1	-1	4	True	False	True
6008	8	250.333	53	-1	F	0	3.333	0	False	3	4	2	1	1/12	True	-2	41	87	39	39b	3	751/3	False	False					False	216	ii65	Bb	I		ii65	ii		65			mm7	False	False	(-1, 3, 0, 2)	()	2	-1	major	major	I	I, major	ii		I	I	False	ii65	ii65, major		ii65, major		ii	ii7	2		-2	-2	-2	0	-3	C	Eb	Bb	Bb	minor seventh chord	1	True	True	True	True	True	1	1	1	5	False	False	False
6012	6	250.5	77	-1	F	0	3.5	0	False	3	4	1	1	1/16	True	-2	41	87	39	39b	5	501/2	False	False					False	216	ii65	Bb	I		ii65	ii		65			mm7	False	False	(-1, 3, 0, 2)	()	2	-1	major	major	I	I, major	ii		I	I	False	ii65	ii65, major		ii65, major		ii	ii7	2		-2	-2	-2	0	-3	C	Eb	Bb	Bb	minor seventh chord	1	True	True	True	True	True	1	1	1	5	False	False	False
6016	8	250.667	51	-3	E	-1	3.667	0	False	3	4	2	1	1/12	True	-2	41	87	39	39b	3	752/3	False	False					False	216	ii65	Bb	I		ii65	ii		65			mm7	False	False	(-1, 3, 0, 2)	()	2	-1	major	major	I	I, major	ii		I	I	False	ii65	ii65, major		ii65, major		ii	ii7	2		-2	-2	-2	0	-3	C	Eb	Bb	Bb	minor seventh chord	1	True	True	True	True	True	-1	-1	-1	4	True	False	True
6018	6	250.75	74	2	D	0	3.75	0	False	3	4	1	1	1/16	True	-2	41	87	39	39b	5	1003/4	False	False					False	216	ii65	Bb	I		ii65	ii		65			mm7	False	False	(-1, 3, 0, 2)	()	2	-1	major	major	I	I, major	ii		I	I	False	ii65	ii65, major		ii65, major		ii	ii7	2		-2	-2	-2	0	-3	C	Eb	Bb	Bb	minor seventh chord	1	True	True	True	True	True	4	4	4	3	False	False	False
6024	24	251.0	53	-1	F	0	1.0	1	True	3	4	2	1	1/4	True	-2	42	88	40	40b	3	251	False	True					False	217	V	Bb	I		V	V					M	False	False	(1, 5, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V, major		V	V	5		-2	-2	-2	-1	-1	F	F	Bb	Bb	major triad	0	True	True	True	True	True	1	1	1	5	True	True	True
6024	24	251.0	72	0	C	0	1.0	1	True	3	4	1	1	1/4	True	-2	42	88	40	40b	5	251	False	True					False	217	V	Bb	I		V	V					M	False	False	(1, 5, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V, major		V	V	5		-2	-2	-2	-1	-1	F	F	Bb	Bb	major triad	0	True	True	True	True	True	2	2	2	2	True	False	False
