onset_div	duration_div	onset_beat	pitch	tpc	step	alter	beat_float	downbeat	is_downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	a_isOnset	cadence	cadence_type	cadence_subtype	phraseend	a_phraseend	unfolded_harmony_index	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	a_simpleNumeral	a_degree1	a_degree2	globalkey_tpc	localkey_tpc	tonicized_tpc	root_tpc	bass_note_tpc	a_root	a_bass	a_localKey	a_tonicizedKey	a_quality	a_inversion	valid_chord_label	valid_cadence_label	valid_phrase_label	valid_pedal_point_label	valid_section_start_label	sic_with_global	sic_with_local	sic_with_tonicized	note_degree	tpc_is_in_label	tpc_is_root	tpc_is_bass
0	12	0.0	65	-1	F	0	1.75	0	False	2	2	1	1	1/8	True	-1	1	1	0	0a	4	0	True	False					False	0	1	F.I{	F	I		I	I	%	6	4	IV	M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I	IV	I	I	False	I	I, major		I, major	IV	I	I	1	4	-1	-1	-1	-1	-1	F	F	F	F	major triad	0	False	True	True	True	True	0	0	0	1	True	True	True
12	24	0.25	72	0	C	0	2.0	2	True	2	2	1	1	1/4	True	-1	1	1	0	0a	5	1/2	False	False					False	0	1	F.I{	F	I		I	I	%	6	4	IV	M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I	IV	I	I	False	I	I, major		I, major	IV	I	I	1	4	-1	-1	-1	-1	-1	F	F	F	F	major triad	0	False	True	True	True	True	1	1	1	5	True	False	False
36	12	0.75	72	0	C	0	2.5	0	False	2	2	1	1	1/8	False	-1	1	1	0	0a	5	3/2	False	False					False	0	1	F.I{	F	I		I	I	%	6	4	IV	M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I	IV	I	I	False	I	I, major		I, major	IV	I	I	1	4	-1	-1	-1	-1	-1	F	F	F	F	major triad	0	False	True	True	True	True	1	1	1	5	True	False	False
48	12	1.0	65	-1	F	0	2.75	0	False	2	2	1	1	1/8	True	-1	1	1	0	0a	4	2	False	False					False	0	1	F.I{	F	I		I	I	%	6	4	IV	M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I	IV	I	I	False	I	I, major		I, major	IV	I	I	1	4	-1	-1	-1	-1	-1	F	F	F	F	major triad	0	False	True	True	True	True	0	0	0	1	True	True	True
60	24	1.25	74	2	D	0	1.0	1	True	2	2	1	1	1/4	True	-1	2	2	1	1a	5	5/2	False	False					False	0	1	F.I{	F	I		I	I	%	6	4	IV	M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I	IV	I	I	False	I	I, major		I, major	IV	I	I	1	4	-1	-1	-1	-1	-1	F	F	F	F	major triad	0	False	True	True	True	True	3	3	3	6	False	False	False
84	12	1.75	74	2	D	0	1.5	0	False	2	2	1	1	1/8	False	-1	2	2	1	1a	5	7/2	False	False					False	0	1	F.I{	F	I		I	I	%	6	4	IV	M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I	IV	I	I	False	I	I, major		I, major	IV	I	I	1	4	-1	-1	-1	-1	-1	F	F	F	F	major triad	0	False	True	True	True	True	3	3	3	6	False	False	False
96	12	2.0	67	1	G	0	1.75	0	False	2	2	1	1	1/8	True	-1	2	2	1	1a	4	4	False	False					False	0	1	F.I{	F	I		I	I	%	6	4	IV	M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I	IV	I	I	False	I	I, major		I, major	IV	I	I	1	4	-1	-1	-1	-1	-1	F	F	F	F	major triad	0	False	True	True	True	True	2	2	2	2	False	False	False
108	12	2.25	76	4	E	0	2.0	2	True	2	2	1	1	1/8	True	-1	2	2	1	1a	5	9/2	False	False					False	0	1	F.I{	F	I		I	I	%	6	4	IV	M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I	IV	I	I	False	I	I, major		I, major	IV	I	I	1	4	-1	-1	-1	-1	-1	F	F	F	F	major triad	0	False	True	True	True	True	5	5	5	7	False	False	False
120	12	2.5	74	2	D	0	2.25	0	False	2	2	1	1	1/8	True	-1	2	2	1	1a	5	5	False	False					False	0	1	F.I{	F	I		I	I	%	6	4	IV	M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I	IV	I	I	False	I	I, major		I, major	IV	I	I	1	4	-1	-1	-1	-1	-1	F	F	F	F	major triad	0	False	True	True	True	True	3	3	3	6	False	False	False
132	12	2.75	76	4	E	0	2.5	0	False	2	2	1	1	1/8	True	-1	2	2	1	1a	5	11/2	False	False					False	0	1	F.I{	F	I		I	I	%	6	4	IV	M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I	IV	I	I	False	I	I, major		I, major	IV	I	I	1	4	-1	-1	-1	-1	-1	F	F	F	F	major triad	0	False	True	True	True	True	5	5	5	7	False	False	False
