onset_div	duration_div	onset_beat	pitch	tpc	step	alter	beat_float	downbeat	is_downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	a_isOnset	cadence	cadence_type	phraseend	a_phraseend	unfolded_harmony_index	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	a_simpleNumeral	a_degree1	a_degree2	globalkey_tpc	localkey_tpc	tonicized_tpc	root_tpc	bass_note_tpc	a_root	a_bass	a_localKey	a_tonicizedKey	a_quality	a_inversion	valid_chord_label	valid_cadence_label	valid_phrase_label	valid_pedal_point_label	valid_section_start_label	sic_with_global	sic_with_local	sic_with_tonicized	note_degree	tpc_is_in_label	tpc_is_root	tpc_is_bass
324	6	27.0	56	8	G	1	1.0	1	True	3	4	2	1	1/8	True	3	10	10	10	10a	3	27	False	True				False	19	V64	f#	i		V64	V		64			M	True	True	(2, 1, 5)	()	1	2	minor	minor	i	i, minor	V		i	i	True	V64	V64, minor		V64, minor		V	V	5		6	6	6	7	8	C#	G#	F#	F#	major triad	2	True	True	True	True	True	2	2	2	2	True	False	True
330	6	27.5	42	6	F	1	1.5	0	False	3	4	2	1	1/8	True	3	10	10	10	10a	2	55/2	False	False				False	19	V64	f#	i		V64	V		64			M	True	True	(2, 1, 5)	()	1	2	minor	minor	i	i, minor	V		i	i	True	V64	V64, minor		V64, minor		V	V	5		6	6	6	7	8	C#	G#	F#	F#	major triad	2	True	True	True	True	True	0	0	0	1	False	False	False
330	6	27.5	54	6	F	1	1.5	0	False	3	4	2	1	1/8	True	3	10	10	10	10a	3	55/2	False	False				False	19	V64	f#	i		V64	V		64			M	True	True	(2, 1, 5)	()	1	2	minor	minor	i	i, minor	V		i	i	True	V64	V64, minor		V64, minor		V	V	5		6	6	6	7	8	C#	G#	F#	F#	major triad	2	True	True	True	True	True	0	0	0	1	False	False	False
336	24	28.0	41	11	E	1	2.0	2	True	3	4	2	1	1/2	True	3	10	10	10	10a	2	28	False	True				False	20	V6	f#	i		V6	V		6			M	True	True	(5, 2, 1)	()	1	5	minor	minor	i	i, minor	V		i	i	True	V6	V6, minor		V6, minor		V	V	5		6	6	6	7	11	C#	E#	F#	F#	major triad	1	True	True	True	True	True	5	5	5	#7	True	False	True
336	24	28.0	53	11	E	1	2.0	2	True	3	4	2	1	1/2	True	3	10	10	10	10a	3	28	False	True				False	20	V6	f#	i		V6	V		6			M	True	True	(5, 2, 1)	()	1	5	minor	minor	i	i, minor	V		i	i	True	V6	V6, minor		V6, minor		V	V	5		6	6	6	7	11	C#	E#	F#	F#	major triad	1	True	True	True	True	True	5	5	5	#7	True	False	True
348	12	29.0	61	7	C	1	3.0	3	True	3	4	1	1	1/4	True	3	10	10	10	10a	4	29	False	False				False	20	V6	f#	i		V6	V		6			M	True	True	(5, 2, 1)	()	1	5	minor	minor	i	i, minor	V		i	i	True	V6	V6, minor		V6, minor		V	V	5		6	6	6	7	11	C#	E#	F#	F#	major triad	1	True	True	True	True	True	1	1	1	5	True	True	False
348	12	29.0	68	8	G	1	3.0	3	True	3	4	1	1	1/4	True	3	10	10	10	10a	4	29	False	False				False	20	V6	f#	i		V6	V		6			M	True	True	(5, 2, 1)	()	1	5	minor	minor	i	i, minor	V		i	i	True	V6	V6, minor		V6, minor		V	V	5		6	6	6	7	11	C#	E#	F#	F#	major triad	1	True	True	True	True	True	2	2	2	2	True	False	False
348	12	29.0	73	7	C	1	3.0	3	True	3	4	1	1	1/4	True	3	10	10	10	10a	5	29	False	False				False	20	V6	f#	i		V6	V		6			M	True	True	(5, 2, 1)	()	1	5	minor	minor	i	i, minor	V		i	i	True	V6	V6, minor		V6, minor		V	V	5		6	6	6	7	11	C#	E#	F#	F#	major triad	1	True	True	True	True	True	1	1	1	5	True	True	False
360	12	30.0	42	6	F	1	1.0	1	True	3	4	2	1	1/4	True	3	11	11	11	11a	2	30	False	True				False	21	i	f#	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		6	6	6	6	6	F#	F#	F#	F#	minor triad	0	True	True	True	True	True	0	0	0	1	True	True	True
360	12	30.0	54	6	F	1	1.0	1	True	3	4	2	1	1/4	True	3	11	11	11	11a	3	30	False	True				False	21	i	f#	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		6	6	6	6	6	F#	F#	F#	F#	minor triad	0	True	True	True	True	True	0	0	0	1	True	True	True
