onset_div	duration_div	onset_beat	pitch	tpc	step	alter	beat_float	downbeat	is_downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	a_isOnset	cadence	cadence_type	phraseend	a_phraseend	unfolded_harmony_index	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	a_simpleNumeral	a_degree1	a_degree2	globalkey_tpc	localkey_tpc	tonicized_tpc	root_tpc	bass_note_tpc	a_root	a_bass	a_localKey	a_tonicizedKey	a_quality	a_inversion	valid_chord_label	valid_cadence_label	valid_phrase_label	valid_pedal_point_label	valid_section_start_label	sic_with_global	sic_with_local	sic_with_tonicized	note_degree	tpc_is_in_label	tpc_is_root	tpc_is_bass
0	12	0.0	69	3	A	0	3.0	3	True	3	4	1	1	1/4	True	-2	1	1	0	0a	4	0	True	True				False	0		.g.V7	g	i		V7		V		7			Mm7	True	True	(1, 5, 2, -1)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V7	V7, minor		V7, minor		V	V7	5		1	1	1	2	2	D	D	G	G	dominant seventh chord	7	True	True	True	True	True	2	2	2	2	True	False	False
12	12	1.0	38	2	D	0	1.0	1	True	3	4	2	1	1/4	True	-2	2	2	1	1a	2	1	True	False			{	False	1		{	g	i		V7		V		7			Mm7	True	True	()	()	1	1	minor	minor	i	i, minor	V		i	i	True		, minor		V7, minor		V	V7	5		1	1	1	2	2	D	D	G	G	None	7	False	True	True	True	True	1	1	1	5	False	True	True
12	6	1.0	69	3	A	0	1.0	1	True	3	4	1	1	1/8	False	-2	2	2	1	1a	4	1	True	False			{	False	1		{	g	i		V7		V		7			Mm7	True	True	()	()	1	1	minor	minor	i	i, minor	V		i	i	True		, minor		V7, minor		V	V7	5		1	1	1	2	2	D	D	G	G	None	7	False	True	True	True	True	2	2	2	2	False	False	False
21	3	1.75	66	6	F	1	1.75	0	False	3	4	1	1	1/16	True	-2	2	2	1	1a	4	7/4	False	False				False	1		{	g	i		V7		V		7			Mm7	True	True	()	()	1	1	minor	minor	i	i, minor	V		i	i	True		, minor		V7, minor		V	V7	5		1	1	1	2	2	D	D	G	G	None	7	False	True	True	True	True	5	5	5	#7	False	False	False
24	12	2.0	50	2	D	0	2.0	2	True	3	4	2	1	1/4	True	-2	2	2	1	1a	3	2	False	False				False	1		{	g	i		V7		V		7			Mm7	True	True	()	()	1	1	minor	minor	i	i, minor	V		i	i	True		, minor		V7, minor		V	V7	5		1	1	1	2	2	D	D	G	G	None	7	False	True	True	True	True	1	1	1	5	False	True	True
24	12	2.0	57	3	A	0	2.0	2	True	3	4	2	1	1/4	True	-2	2	2	1	1a	3	2	False	False				False	1		{	g	i		V7		V		7			Mm7	True	True	()	()	1	1	minor	minor	i	i, minor	V		i	i	True		, minor		V7, minor		V	V7	5		1	1	1	2	2	D	D	G	G	None	7	False	True	True	True	True	2	2	2	2	False	False	False
24	12	2.0	60	0	C	0	2.0	2	True	3	4	2	1	1/4	True	-2	2	2	1	1a	4	2	False	False				False	1		{	g	i		V7		V		7			Mm7	True	True	()	()	1	1	minor	minor	i	i, minor	V		i	i	True		, minor		V7, minor		V	V7	5		1	1	1	2	2	D	D	G	G	None	7	False	True	True	True	True	-1	-1	-1	4	False	False	False
24	12	2.0	62	2	D	0	2.0	2	True	3	4	1	1	1/4	True	-2	2	2	1	1a	4	2	False	False				False	1		{	g	i		V7		V		7			Mm7	True	True	()	()	1	1	minor	minor	i	i, minor	V		i	i	True		, minor		V7, minor		V	V7	5		1	1	1	2	2	D	D	G	G	None	7	False	True	True	True	True	1	1	1	5	False	True	True
36	12	3.0	50	2	D	0	3.0	3	True	3	4	2	1	1/4	True	-2	2	2	1	1a	3	3	False	False				False	1		{	g	i		V7		V		7			Mm7	True	True	()	()	1	1	minor	minor	i	i, minor	V		i	i	True		, minor		V7, minor		V	V7	5		1	1	1	2	2	D	D	G	G	None	7	False	True	True	True	True	1	1	1	5	False	True	True
36	12	3.0	57	3	A	0	3.0	3	True	3	4	2	1	1/4	True	-2	2	2	1	1a	3	3	False	False				False	1		{	g	i		V7		V		7			Mm7	True	True	()	()	1	1	minor	minor	i	i, minor	V		i	i	True		, minor		V7, minor		V	V7	5		1	1	1	2	2	D	D	G	G	None	7	False	True	True	True	True	2	2	2	2	False	False	False
