onset_div	duration_div	onset_beat	pitch	tpc	step	alter	beat_float	downbeat	is_downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	a_isOnset	cadence	cadence_type	phraseend	a_phraseend	unfolded_harmony_index	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	a_simpleNumeral	a_degree1	a_degree2	globalkey_tpc	localkey_tpc	tonicized_tpc	root_tpc	bass_note_tpc	a_root	a_bass	a_localKey	a_tonicizedKey	a_quality	a_inversion	valid_chord_label	valid_cadence_label	valid_phrase_label	valid_pedal_point_label	valid_section_start_label	sic_with_global	sic_with_local	sic_with_tonicized	note_degree	tpc_is_in_label	tpc_is_root	tpc_is_bass
86	2	21.5	74	2	D	0	2.0	2	True	2	4	1	2	1/8	True	1	12	12	11	11a	5	43/2	False	False				False	12	V7		e	III		V7		V		7			Mm7	True	False	(1, 5, 2, -1)	()	1	1	minor	major	III	III, minor	V		III	III	False	V7	V7, major		V7, major		V	V7	5		4	1	1	2	2	D	D	G	G	dominant seventh chord	7	True	True	True	True	True	-2	1	1	5	True	True	True
86	4	21.5	74	2	D	0	2.0	2	True	2	4	1	1	1/4	True	1	12	12	11	11a	5	43/2	False	False				False	12	V7		e	III		V7		V		7			Mm7	True	False	(1, 5, 2, -1)	()	1	1	minor	major	III	III, minor	V		III	III	False	V7	V7, major		V7, major		V	V7	5		4	1	1	2	2	D	D	G	G	dominant seventh chord	7	True	True	True	True	True	-2	1	1	5	True	True	True
88	2	22.0	60	0	C	0	2.5	0	False	2	4	1	2	1/8	True	1	12	12	11	11a	4	22	False	False				False	12	V7		e	III		V7		V		7			Mm7	True	False	(1, 5, 2, -1)	()	1	1	minor	major	III	III, minor	V		III	III	False	V7	V7, major		V7, major		V	V7	5		4	1	1	2	2	D	D	G	G	dominant seventh chord	7	True	True	True	True	True	-4	-1	-1	4	True	False	False
88	2	22.0	66	6	F	1	2.5	0	False	2	4	1	2	1/8	True	1	12	12	11	11a	4	22	False	False				False	12	V7		e	III		V7		V		7			Mm7	True	False	(1, 5, 2, -1)	()	1	1	minor	major	III	III, minor	V		III	III	False	V7	V7, major		V7, major		V	V7	5		4	1	1	2	2	D	D	G	G	dominant seventh chord	7	True	True	True	True	True	2	5	5	7	True	False	False
90	2	22.5	59	5	B	0	1.0	1	True	2	4	2	1	1/8	True	1	13	13	12	12a	3	45/2	False	False				False	12	V7		e	III		V7		V		7			Mm7	True	False	(1, 5, 2, -1)	()	1	1	minor	major	III	III, minor	V		III	III	False	V7	V7, major		V7, major		V	V7	5		4	1	1	2	2	D	D	G	G	dominant seventh chord	7	True	True	True	True	True	1	4	4	3	False	False	False
92	2	23.0	57	3	A	0	1.5	0	False	2	4	2	1	1/8	True	1	13	13	12	12a	3	23	False	False				False	12	V7		e	III		V7		V		7			Mm7	True	False	(1, 5, 2, -1)	()	1	1	minor	major	III	III, minor	V		III	III	False	V7	V7, major		V7, major		V	V7	5		4	1	1	2	2	D	D	G	G	dominant seventh chord	7	True	True	True	True	True	-1	2	2	2	True	False	False
92	2	23.0	60	0	C	0	1.5	0	False	2	4	1	2	1/8	True	1	13	13	12	12a	4	23	False	False				False	12	V7		e	III		V7		V		7			Mm7	True	False	(1, 5, 2, -1)	()	1	1	minor	major	III	III, minor	V		III	III	False	V7	V7, major		V7, major		V	V7	5		4	1	1	2	2	D	D	G	G	dominant seventh chord	7	True	True	True	True	True	-4	-1	-1	4	True	False	False
92	2	23.0	66	6	F	1	1.5	0	False	2	4	1	2	1/8	True	1	13	13	12	12a	4	23	False	False				False	12	V7		e	III		V7		V		7			Mm7	True	False	(1, 5, 2, -1)	()	1	1	minor	major	III	III, minor	V		III	III	False	V7	V7, major		V7, major		V	V7	5		4	1	1	2	2	D	D	G	G	dominant seventh chord	7	True	True	True	True	True	2	5	5	7	True	False	False
94	4	23.5	50	2	D	0	2.0	2	True	2	4	2	2	1/4	True	1	13	13	12	12a	3	47/2	False	False				False	12	V7		e	III		V7		V		7			Mm7	True	False	(1, 5, 2, -1)	()	1	1	minor	major	III	III, minor	V		III	III	False	V7	V7, major		V7, major		V	V7	5		4	1	1	2	2	D	D	G	G	dominant seventh chord	7	True	True	True	True	True	-2	1	1	5	True	True	True
94	4	23.5	57	3	A	0	2.0	2	True	2	4	2	1	1/4	False	1	13	13	12	12a	3	47/2	False	False				False	12	V7		e	III		V7		V		7			Mm7	True	False	(1, 5, 2, -1)	()	1	1	minor	major	III	III, minor	V		III	III	False	V7	V7, major		V7, major		V	V7	5		4	1	1	2	2	D	D	G	G	dominant seventh chord	7	True	True	True	True	True	-1	2	2	2	True	False	False
