onset_div	duration_div	onset_beat	pitch	tpc	step	alter	beat_float	downbeat	is_downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	a_isOnset	cadence	cadence_type	phraseend	a_phraseend	unfolded_harmony_index	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	a_simpleNumeral	a_degree1	a_degree2	globalkey_tpc	localkey_tpc	tonicized_tpc	root_tpc	bass_note_tpc	a_root	a_bass	a_localKey	a_tonicizedKey	a_quality	a_inversion	valid_chord_label	valid_cadence_label	valid_phrase_label	valid_pedal_point_label	valid_section_start_label	sic_with_global	sic_with_local	sic_with_tonicized	note_degree	tpc_is_in_label	tpc_is_root	tpc_is_bass
12	12	1.0	33	3	A	0	2.0	2	True	4	4	2	1	1/4	True	0	1	1	1	1a	1	1	False	True			{	False	0	Db.bVI.I{	Db	bVI		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	bVI	bVI, major	I		bVI	bVI	False	I	I, major		I, major		I	I	1		-5	-9	-9	-9	-9	Bbb	Bbb	Bbb	Bbb	major triad	0	True	True	True	True	True	8	12	12	#7	False	False	False
18	12	1.5	52	4	E	0	2.5	0	False	4	4	1	1	1/4	True	0	1	1	1	1a	3	3/2	False	False				False	0	Db.bVI.I{	Db	bVI		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	bVI	bVI, major	I		bVI	bVI	False	I	I, major		I, major		I	I	1		-5	-9	-9	-9	-9	Bbb	Bbb	Bbb	Bbb	major triad	0	True	True	True	True	True	9	13	13	##4	False	False	False
18	12	1.5	57	3	A	0	2.5	0	False	4	4	1	1	1/4	True	0	1	1	1	1a	3	3/2	False	False				False	0	Db.bVI.I{	Db	bVI		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	bVI	bVI, major	I		bVI	bVI	False	I	I, major		I, major		I	I	1		-5	-9	-9	-9	-9	Bbb	Bbb	Bbb	Bbb	major triad	0	True	True	True	True	True	8	12	12	#7	False	False	False
18	12	1.5	61	7	C	1	2.5	0	False	4	4	1	1	1/4	True	0	1	1	1	1a	4	3/2	False	False				False	0	Db.bVI.I{	Db	bVI		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	bVI	bVI, major	I		bVI	bVI	False	I	I, major		I, major		I	I	1		-5	-9	-9	-9	-9	Bbb	Bbb	Bbb	Bbb	major triad	0	True	True	True	True	True	12	16	16	##2	False	False	False
24	12	2.0	49	7	C	1	3.0	3	True	4	4	2	1	1/4	True	0	1	1	1	1a	3	2	False	False				False	0	Db.bVI.I{	Db	bVI		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	bVI	bVI, major	I		bVI	bVI	False	I	I, major		I, major		I	I	1		-5	-9	-9	-9	-9	Bbb	Bbb	Bbb	Bbb	major triad	0	True	True	True	True	True	12	16	16	##2	False	False	False
30	12	2.5	52	4	E	0	3.5	0	False	4	4	1	1	1/4	True	0	1	1	1	1a	3	5/2	False	False				False	0	Db.bVI.I{	Db	bVI		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	bVI	bVI, major	I		bVI	bVI	False	I	I, major		I, major		I	I	1		-5	-9	-9	-9	-9	Bbb	Bbb	Bbb	Bbb	major triad	0	True	True	True	True	True	9	13	13	##4	False	False	False
30	12	2.5	57	3	A	0	3.5	0	False	4	4	1	1	1/4	True	0	1	1	1	1a	3	5/2	False	False				False	0	Db.bVI.I{	Db	bVI		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	bVI	bVI, major	I		bVI	bVI	False	I	I, major		I, major		I	I	1		-5	-9	-9	-9	-9	Bbb	Bbb	Bbb	Bbb	major triad	0	True	True	True	True	True	8	12	12	#7	False	False	False
30	12	2.5	63	9	D	1	3.5	0	False	4	4	1	1	1/4	True	0	1	1	1	1a	4	5/2	False	False				False	0	Db.bVI.I{	Db	bVI		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	bVI	bVI, major	I		bVI	bVI	False	I	I, major		I, major		I	I	1		-5	-9	-9	-9	-9	Bbb	Bbb	Bbb	Bbb	major triad	0	True	True	True	True	True	14	18	18	##3	False	False	False
36	12	3.0	45	3	A	0	4.0	4	True	4	4	2	1	1/4	True	0	1	1	1	1a	2	3	False	False				False	0	Db.bVI.I{	Db	bVI		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	bVI	bVI, major	I		bVI	bVI	False	I	I, major		I, major		I	I	1		-5	-9	-9	-9	-9	Bbb	Bbb	Bbb	Bbb	major triad	0	True	True	True	True	True	8	12	12	#7	False	False	False
42	6	3.5	52	4	E	0	4.5	0	False	4	4	1	1	1/8	True	0	1	1	1	1a	3	7/2	False	False				False	0	Db.bVI.I{	Db	bVI		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	bVI	bVI, major	I		bVI	bVI	False	I	I, major		I, major		I	I	1		-5	-9	-9	-9	-9	Bbb	Bbb	Bbb	Bbb	major triad	0	True	True	True	True	True	9	13	13	##4	False	False	False
