onset_div	duration_div	onset_beat	pitch	tpc	step	alter	beat_float	downbeat	is_downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	a_isOnset	cadence	cadence_type	phraseend	a_phraseend	unfolded_harmony_index	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	a_simpleNumeral	a_degree1	a_degree2	globalkey_tpc	localkey_tpc	tonicized_tpc	root_tpc	bass_note_tpc	a_root	a_bass	a_localKey	a_tonicizedKey	a_quality	a_inversion	valid_chord_label	valid_cadence_label	valid_phrase_label	valid_pedal_point_label	valid_section_start_label	sic_with_global	sic_with_local	sic_with_tonicized	note_degree	tpc_is_in_label	tpc_is_root	tpc_is_bass
504	9	21.0	69	3	A	0	2.0	2	True	4	4	1	1	3/32	True	2	6	6	6	6a	4	21	False	False				False	9	i7		b	i	i	i7		i		7			mm7	True	True	(0, -3, 1, -2)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i7	i7, minor	i	i7, minor		i	i7	1		5	5	5	5	5	B	B	B	B	minor seventh chord	7	True	True	True	True	True	-2	-2	-2	7	True	False	False
513	3	21.375	67	1	G	0	2.375	0	False	4	4	1	1	1/32	True	2	6	6	6	6a	4	171/8	False	False				False	9	i7		b	i	i	i7		i		7			mm7	True	True	(0, -3, 1, -2)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i7	i7, minor	i	i7, minor		i	i7	1		5	5	5	5	5	B	B	B	B	minor seventh chord	7	True	True	True	True	True	-4	-4	-4	6	False	False	False
516	12	21.5	50	2	D	0	2.5	0	False	4	4	2	1	1/8	True	2	6	6	6	6a	3	43/2	False	False				False	9	i7		b	i	i	i7		i		7			mm7	True	True	(0, -3, 1, -2)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i7	i7, minor	i	i7, minor		i	i7	1		5	5	5	5	5	B	B	B	B	minor seventh chord	7	True	True	True	True	True	-3	-3	-3	3	True	False	False
516	4	21.5	66	6	F	1	2.5	0	False	4	4	1	1	1/24	True	2	6	6	6	6a	4	43/2	False	False				False	9	i7		b	i	i	i7		i		7			mm7	True	True	(0, -3, 1, -2)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i7	i7, minor	i	i7, minor		i	i7	1		5	5	5	5	5	B	B	B	B	minor seventh chord	7	True	True	True	True	True	1	1	1	5	True	False	False
520	4	21.667	62	2	D	0	2.667	0	False	4	4	1	1	1/24	True	2	6	6	6	6a	4	65/3	False	False				False	9	i7		b	i	i	i7		i		7			mm7	True	True	(0, -3, 1, -2)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i7	i7, minor	i	i7, minor		i	i7	1		5	5	5	5	5	B	B	B	B	minor seventh chord	7	True	True	True	True	True	-3	-3	-3	3	True	False	False
524	4	21.833	59	5	B	0	2.833	0	False	4	4	1	1	1/24	True	2	6	6	6	6a	3	131/6	False	False				False	9	i7		b	i	i	i7		i		7			mm7	True	True	(0, -3, 1, -2)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i7	i7, minor	i	i7, minor		i	i7	1		5	5	5	5	5	B	B	B	B	minor seventh chord	7	True	True	True	True	True	0	0	0	1	True	True	True
528	24	22.0	57	3	A	0	3.0	3	True	4	4	1	1	1/4	True	2	6	6	6	6a	3	22	False	True				False	10	v7		b	i	i	v7		v		7			mm7	True	True	(1, -2, 2, -1)	()	1	1	minor	minor	i	i, minor	v		i	i	True	v7	v7, minor	i	v7, minor		v	v7	5		5	5	5	6	6	F#	F#	B	B	minor seventh chord	7	True	True	True	True	True	-2	-2	-2	7	True	False	False
540	12	22.5	49	7	C	1	3.5	0	False	4	4	2	1	1/8	True	2	6	6	6	6a	3	45/2	False	False				False	10	v7		b	i	i	v7		v		7			mm7	True	True	(1, -2, 2, -1)	()	1	1	minor	minor	i	i, minor	v		i	i	True	v7	v7, minor	i	v7, minor		v	v7	5		5	5	5	6	6	F#	F#	B	B	minor seventh chord	7	True	True	True	True	True	2	2	2	2	True	False	False
552	12	23.0	42	6	F	1	4.0	4	True	4	4	2	1	1/8	True	2	6	6	6	6a	2	23	False	False				False	10	v7		b	i	i	v7		v		7			mm7	True	True	(1, -2, 2, -1)	()	1	1	minor	minor	i	i, minor	v		i	i	True	v7	v7, minor	i	v7, minor		v	v7	5		5	5	5	6	6	F#	F#	B	B	minor seventh chord	7	True	True	True	True	True	1	1	1	5	True	True	True
552	12	23.0	49	7	C	1	4.0	4	True	4	4	2	1	1/8	False	2	6	6	6	6a	3	23	False	False				False	10	v7		b	i	i	v7		v		7			mm7	True	True	(1, -2, 2, -1)	()	1	1	minor	minor	i	i, minor	v		i	i	True	v7	v7, minor	i	v7, minor		v	v7	5		5	5	5	6	6	F#	F#	B	B	minor seventh chord	7	True	True	True	True	True	2	2	2	2	True	False	False
