onset_div	duration_div	onset_beat	pitch	tpc	step	alter	beat_float	downbeat	is_downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	a_isOnset	cadence	cadence_type	phraseend	a_phraseend	unfolded_harmony_index	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	a_simpleNumeral	a_degree1	a_degree2	globalkey_tpc	localkey_tpc	tonicized_tpc	root_tpc	bass_note_tpc	a_root	a_bass	a_localKey	a_tonicizedKey	a_quality	a_inversion	valid_chord_label	valid_cadence_label	valid_phrase_label	valid_pedal_point_label	valid_section_start_label	sic_with_global	sic_with_local	sic_with_tonicized	note_degree	tpc_is_in_label	tpc_is_root	tpc_is_bass
168	24	3.5	48	0	C	0	2.5	0	False	2	2	2	1	1/4	True	0	2	2	2	2a	3	7	False	False				False	0		C.I{		C	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		0	0	0	0	0	C	C	C	C	major triad	0	True	True	True	True	True	0	0	0	1	True	True	True
168	12	3.5	76	4	E	0	2.5	0	False	2	2	1	1	1/8	True	0	2	2	2	2a	5	7	False	False				False	0		C.I{		C	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		0	0	0	0	0	C	C	C	C	major triad	0	True	True	True	True	True	4	4	4	3	True	False	False
180	12	3.75	72	0	C	0	2.75	0	False	2	2	1	1	1/8	True	0	2	2	2	2a	5	15/2	False	False				False	0		C.I{		C	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		0	0	0	0	0	C	C	C	C	major triad	0	True	True	True	True	True	0	0	0	1	True	True	True
192	24	4.0	41	-1	F	0	1.0	1	True	2	2	2	1	1/4	True	0	3	3	3	3a	2	8	False	True				False	1		IV		C	I		IV	IV					M	False	False	(-1, 3, 0)	()	-1	-1	major	major	I	I, major	IV		I	I	False	IV	IV, major		IV, major		IV	IV	4		0	0	0	-1	-1	F	F	C	C	major triad	0	True	True	True	True	True	-1	-1	-1	4	True	True	True
192	12	4.0	71	5	B	0	1.0	1	True	2	2	1	1	1/8	True	0	3	3	3	3a	4	8	False	True				False	1		IV		C	I		IV	IV					M	False	False	(-1, 3, 0)	()	-1	-1	major	major	I	I, major	IV		I	I	False	IV	IV, major		IV, major		IV	IV	4		0	0	0	-1	-1	F	F	C	C	major triad	0	True	True	True	True	True	5	5	5	7	False	False	False
204	12	4.25	69	3	A	0	1.25	0	False	2	2	1	1	1/8	True	0	3	3	3	3a	4	17/2	False	False				False	1		IV		C	I		IV	IV					M	False	False	(-1, 3, 0)	()	-1	-1	major	major	I	I, major	IV		I	I	False	IV	IV, major		IV, major		IV	IV	4		0	0	0	-1	-1	F	F	C	C	major triad	0	True	True	True	True	True	3	3	3	6	True	False	False
216	24	4.5	53	-1	F	0	1.5	0	False	2	2	2	1	1/4	True	0	3	3	3	3a	3	9	False	False				False	1		IV		C	I		IV	IV					M	False	False	(-1, 3, 0)	()	-1	-1	major	major	I	I, major	IV		I	I	False	IV	IV, major		IV, major		IV	IV	4		0	0	0	-1	-1	F	F	C	C	major triad	0	True	True	True	True	True	-1	-1	-1	4	True	True	True
216	12	4.5	80	8	G	1	1.5	0	False	2	2	1	1	1/8	True	0	3	3	3	3a	5	9	False	False				False	1		IV		C	I		IV	IV					M	False	False	(-1, 3, 0)	()	-1	-1	major	major	I	I, major	IV		I	I	False	IV	IV, major		IV, major		IV	IV	4		0	0	0	-1	-1	F	F	C	C	major triad	0	True	True	True	True	True	8	8	8	#5	False	False	False
228	12	4.75	81	3	A	0	1.75	0	False	2	2	1	1	1/8	True	0	3	3	3	3a	5	19/2	False	False				False	1		IV		C	I		IV	IV					M	False	False	(-1, 3, 0)	()	-1	-1	major	major	I	I, major	IV		I	I	False	IV	IV, major		IV, major		IV	IV	4		0	0	0	-1	-1	F	F	C	C	major triad	0	True	True	True	True	True	3	3	3	6	True	False	False
240	24	5.0	55	1	G	0	2.0	2	True	2	2	2	1	1/4	True	0	3	3	3	3a	3	10	False	True				False	2		V(4)		C	I		V(4)	V			4		M	False	False	(1, 0, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V(4), major		V	V	5		0	0	0	1	1	G	G	C	C	major triad	0	True	True	True	True	True	1	1	1	5	True	True	True
240	24	5.0	72	0	C	0	2.0	2	True	2	2	1	1	1/4	True	0	3	3	3	3a	5	10	False	True				False	2		V(4)		C	I		V(4)	V			4		M	False	False	(1, 0, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V(4), major		V	V	5		0	0	0	1	1	G	G	C	C	major triad	0	True	True	True	True	True	0	0	0	1	True	False	False
264	24	5.5	43	1	G	0	2.5	0	False	2	2	2	1	1/4	True	0	3	3	3	3a	2	11	False	True				False	3		V		C	I		V	V					M	False	False	(1, 5, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V, major		V	V	5		0	0	0	1	1	G	G	C	C	major triad	0	True	True	True	True	True	1	1	1	5	True	True	True
264	24	5.5	71	5	B	0	2.5	0	False	2	2	1	1	1/4	True	0	3	3	3	3a	4	11	False	True				False	3		V		C	I		V	V					M	False	False	(1, 5, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V, major		V	V	5		0	0	0	1	1	G	G	C	C	major triad	0	True	True	True	True	True	5	5	5	7	True	False	False
288	48	6.0	48	0	C	0	1.0	1	True	2	2	2	1	1/2	True	0	4	4	4	4a	3	12	False	True				False	4		I(^7)		C	I		I(^7)	I			^7		M	False	False	(0, 4, 1)	(5,)	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I(^7), major		I	I	1		0	0	0	0	0	C	C	C	C	major triad	0	True	True	True	True	True	0	0	0	1	True	True	True
288	24	6.0	71	5	B	0	1.0	1	True	2	2	1	1	1/4	True	0	4	4	4	4a	4	12	False	True				False	4		I(^7)		C	I		I(^7)	I			^7		M	False	False	(0, 4, 1)	(5,)	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I(^7), major		I	I	1		0	0	0	0	0	C	C	C	C	major triad	0	True	True	True	True	True	5	5	5	7	False	False	False
312	36	6.5	72	0	C	0	1.5	0	False	2	2	1	1	3/8	True	0	4	4	4	4a	5	13	False	True	PAC	PAC		False	5		I|PAC		C	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		0	0	0	0	0	C	C	C	C	major triad	0	True	True	True	True	True	0	0	0	1	True	True	True
336	24	7.0	52	4	E	0	2.0	2	True	2	2	2	1	1/4	True	0	4	4	4	4a	3	14	False	True				False	6		I6		C	I		I6	I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	I	1		0	0	0	0	4	C	E	C	C	major triad	1	True	True	True	True	True	4	4	4	3	True	False	True
348	12	7.25	77	-1	F	0	2.25	0	False	2	2	1	1	1/8	True	0	4	4	4	4a	5	29/2	False	False				False	6		I6		C	I		I6	I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	I	1		0	0	0	0	4	C	E	C	C	major triad	1	True	True	True	True	True	-1	-1	-1	4	False	False	False
360	24	7.5	48	0	C	0	2.5	0	False	2	2	2	1	1/4	True	0	4	4	4	4a	3	15	False	True				False	7		I		C	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		0	0	0	0	0	C	C	C	C	major triad	0	True	True	True	True	True	0	0	0	1	True	True	True
360	12	7.5	76	4	E	0	2.5	0	False	2	2	1	1	1/8	True	0	4	4	4	4a	5	15	False	True				False	7		I		C	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		0	0	0	0	0	C	C	C	C	major triad	0	True	True	True	True	True	4	4	4	3	True	False	False
372	12	7.75	72	0	C	0	2.75	0	False	2	2	1	1	1/8	True	0	4	4	4	4a	5	31/2	False	False				False	7		I		C	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		0	0	0	0	0	C	C	C	C	major triad	0	True	True	True	True	True	0	0	0	1	True	True	True
384	24	8.0	41	-1	F	0	1.0	1	True	2	2	2	1	1/4	True	0	5	5	5	5a	2	16	False	True				False	8		IV		C	I		IV	IV					M	False	False	(-1, 3, 0)	()	-1	-1	major	major	I	I, major	IV		I	I	False	IV	IV, major		IV, major		IV	IV	4		0	0	0	-1	-1	F	F	C	C	major triad	0	True	True	True	True	True	-1	-1	-1	4	True	True	True
384	12	8.0	71	5	B	0	1.0	1	True	2	2	1	1	1/8	True	0	5	5	5	5a	4	16	False	True				False	8		IV		C	I		IV	IV					M	False	False	(-1, 3, 0)	()	-1	-1	major	major	I	I, major	IV		I	I	False	IV	IV, major		IV, major		IV	IV	4		0	0	0	-1	-1	F	F	C	C	major triad	0	True	True	True	True	True	5	5	5	7	False	False	False
396	12	8.25	69	3	A	0	1.25	0	False	2	2	1	1	1/8	True	0	5	5	5	5a	4	33/2	False	False				False	8		IV		C	I		IV	IV					M	False	False	(-1, 3, 0)	()	-1	-1	major	major	I	I, major	IV		I	I	False	IV	IV, major		IV, major		IV	IV	4		0	0	0	-1	-1	F	F	C	C	major triad	0	True	True	True	True	True	3	3	3	6	True	False	False
408	24	8.5	53	-1	F	0	1.5	0	False	2	2	2	1	1/4	True	0	5	5	5	5a	3	17	False	False				False	8		IV		C	I		IV	IV					M	False	False	(-1, 3, 0)	()	-1	-1	major	major	I	I, major	IV		I	I	False	IV	IV, major		IV, major		IV	IV	4		0	0	0	-1	-1	F	F	C	C	major triad	0	True	True	True	True	True	-1	-1	-1	4	True	True	True
408	12	8.5	80	8	G	1	1.5	0	False	2	2	1	1	1/8	True	0	5	5	5	5a	5	17	False	False				False	8		IV		C	I		IV	IV					M	False	False	(-1, 3, 0)	()	-1	-1	major	major	I	I, major	IV		I	I	False	IV	IV, major		IV, major		IV	IV	4		0	0	0	-1	-1	F	F	C	C	major triad	0	True	True	True	True	True	8	8	8	#5	False	False	False
420	12	8.75	81	3	A	0	1.75	0	False	2	2	1	1	1/8	True	0	5	5	5	5a	5	35/2	False	False				False	8		IV		C	I		IV	IV					M	False	False	(-1, 3, 0)	()	-1	-1	major	major	I	I, major	IV		I	I	False	IV	IV, major		IV, major		IV	IV	4		0	0	0	-1	-1	F	F	C	C	major triad	0	True	True	True	True	True	3	3	3	6	True	False	False
432	24	9.0	55	1	G	0	2.0	2	True	2	2	2	1	1/4	True	0	5	5	5	5a	3	18	False	True				False	9		V(4)		C	I		V(4)	V			4		M	False	False	(1, 0, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V(4), major		V	V	5		0	0	0	1	1	G	G	C	C	major triad	0	True	True	True	True	True	1	1	1	5	True	True	True
