onset_div	duration_div	onset_beat	pitch	tpc	step	alter	beat_float	downbeat	is_downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	a_isOnset	cadence	cadence_type	phraseend	a_phraseend	unfolded_harmony_index	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	a_simpleNumeral	a_degree1	a_degree2	globalkey_tpc	localkey_tpc	tonicized_tpc	root_tpc	bass_note_tpc	a_root	a_bass	a_localKey	a_tonicizedKey	a_quality	a_inversion	valid_chord_label	valid_cadence_label	valid_phrase_label	valid_pedal_point_label	valid_section_start_label	sic_with_global	sic_with_local	sic_with_tonicized	note_degree	tpc_is_in_label	tpc_is_root	tpc_is_bass
29760	360	120.0	51	-3	E	-1	1.0	1	True	2	4	1	1	3/8	True	-4	63	63	61	61a	3	124	False	True				False	100	1	I6	Ab	I		I6	I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	I	1		-4	-4	-4	-4	0	Ab	C	Ab	Ab	major triad	1	True	True	True	True	True	1	1	1	5	True	False	False
29760	360	120.0	63	-3	E	-1	1.0	1	True	2	4	1	1	3/8	True	-4	63	63	61	61a	4	124	False	True				False	100	1	I6	Ab	I		I6	I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	I	1		-4	-4	-4	-4	0	Ab	C	Ab	Ab	major triad	1	True	True	True	True	True	1	1	1	5	True	False	False
29820	60	120.25	36	0	C	0	1.25	0	False	2	4	2	1	1/16	True	-4	63	63	61	61a	2	497/4	False	False				False	100	1	I6	Ab	I		I6	I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	I	1		-4	-4	-4	-4	0	Ab	C	Ab	Ab	major triad	1	True	True	True	True	True	4	4	4	3	True	False	True
29880	60	120.5	39	-3	E	-1	1.5	0	False	2	4	2	1	1/16	True	-4	63	63	61	61a	2	249/2	False	False				False	100	1	I6	Ab	I		I6	I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	I	1		-4	-4	-4	-4	0	Ab	C	Ab	Ab	major triad	1	True	True	True	True	True	1	1	1	5	True	False	False
29940	60	120.75	44	-4	A	-1	1.75	0	False	2	4	2	1	1/16	True	-4	63	63	61	61a	2	499/4	False	False				False	100	1	I6	Ab	I		I6	I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	I	1		-4	-4	-4	-4	0	Ab	C	Ab	Ab	major triad	1	True	True	True	True	True	0	0	0	1	True	True	False
30000	60	121.0	48	0	C	0	2.0	2	True	2	4	2	1	1/16	True	-4	63	63	61	61a	3	125	False	False				False	100	1	I6	Ab	I		I6	I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	I	1		-4	-4	-4	-4	0	Ab	C	Ab	Ab	major triad	1	True	True	True	True	True	4	4	4	3	True	False	True
30060	60	121.25	36	0	C	0	2.25	0	False	2	4	2	1	1/16	True	-4	63	63	61	61a	2	501/4	False	False				False	100	1	I6	Ab	I		I6	I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	I	1		-4	-4	-4	-4	0	Ab	C	Ab	Ab	major triad	1	True	True	True	True	True	4	4	4	3	True	False	True
30120	60	121.5	37	-5	D	-1	2.5	0	False	2	4	2	1	1/16	True	-4	63	63	61	61a	2	251/2	False	True				False	101	1	IV	Ab	I		IV	IV					M	False	False	(-1, 3, 0)	()	-1	-1	major	major	I	I, major	IV		I	I	False	IV	IV, major		IV, major		IV	IV	4		-4	-4	-4	-5	-5	Db	Db	Ab	Ab	major triad	0	True	True	True	True	True	-1	-1	-1	4	True	True	True
30120	120	121.5	53	-1	F	0	2.5	0	False	2	4	1	1	1/8	True	-4	63	63	61	61a	3	251/2	False	True				False	101	1	IV	Ab	I		IV	IV					M	False	False	(-1, 3, 0)	()	-1	-1	major	major	I	I, major	IV		I	I	False	IV	IV, major		IV, major		IV	IV	4		-4	-4	-4	-5	-5	Db	Db	Ab	Ab	major triad	0	True	True	True	True	True	3	3	3	6	True	False	False
30120	120	121.5	65	-1	F	0	2.5	0	False	2	4	1	1	1/8	True	-4	63	63	61	61a	4	251/2	False	True				False	101	1	IV	Ab	I		IV	IV					M	False	False	(-1, 3, 0)	()	-1	-1	major	major	I	I, major	IV		I	I	False	IV	IV, major		IV, major		IV	IV	4		-4	-4	-4	-5	-5	Db	Db	Ab	Ab	major triad	0	True	True	True	True	True	3	3	3	6	True	False	False
30180	60	121.75	49	-5	D	-1	2.75	0	False	2	4	2	1	1/16	True	-4	63	63	61	61a	3	503/4	False	False				False	101	1	IV	Ab	I		IV	IV					M	False	False	(-1, 3, 0)	()	-1	-1	major	major	I	I, major	IV		I	I	False	IV	IV, major		IV, major		IV	IV	4		-4	-4	-4	-5	-5	Db	Db	Ab	Ab	major triad	0	True	True	True	True	True	-1	-1	-1	4	True	True	True
30240	60	126.0	34	-2	B	-1	1.0	1	True	2	4	2	1	1/16	True	-4	3	64	3	3b	1	126	True	True				False	102		ii	Ab	I		ii	ii					m	False	False	(2, -1, 3)	()	2	2	major	major	I	I, major	ii		I	I	False	ii	ii, major		ii, major		ii	ii	2		-4	-4	-4	-2	-2	Bb	Bb	Ab	Ab	minor triad	0	True	True	True	True	True	2	2	2	2	True	True	True
30240	120	126.0	53	-1	F	0	1.0	1	True	2	4	1	1	1/8	False	-4	3	64	3	3b	3	126	True	True				False	102		ii	Ab	I		ii	ii					m	False	False	(2, -1, 3)	()	2	2	major	major	I	I, major	ii		I	I	False	ii	ii, major		ii, major		ii	ii	2		-4	-4	-4	-2	-2	Bb	Bb	Ab	Ab	minor triad	0	True	True	True	True	True	3	3	3	6	True	False	False
30240	120	126.0	61	-5	D	-1	1.0	1	True	2	4	1	1	1/8	True	-4	3	64	3	3b	4	126	True	True				False	102		ii	Ab	I		ii	ii					m	False	False	(2, -1, 3)	()	2	2	major	major	I	I, major	ii		I	I	False	ii	ii, major		ii, major		ii	ii	2		-4	-4	-4	-2	-2	Bb	Bb	Ab	Ab	minor triad	0	True	True	True	True	True	-1	-1	-1	4	True	False	False
30300	60	126.25	46	-2	B	-1	1.25	0	False	2	4	2	1	1/16	True	-4	3	64	3	3b	2	505/4	False	False				False	102		ii	Ab	I		ii	ii					m	False	False	(2, -1, 3)	()	2	2	major	major	I	I, major	ii		I	I	False	ii	ii, major		ii, major		ii	ii	2		-4	-4	-4	-2	-2	Bb	Bb	Ab	Ab	minor triad	0	True	True	True	True	True	2	2	2	2	True	True	True
30360	60	126.5	31	1	G	0	1.5	0	False	2	4	2	1	1/16	True	-4	3	64	3	3b	1	253/2	False	True				False	103		V6	Ab	I		V6	V		6			M	False	False	(5, 2, 1)	()	1	5	major	major	I	I, major	V		I	I	False	V6	V6, major		V6, major		V	V	5		-4	-4	-4	-3	1	Eb	G	Ab	Ab	major triad	1	True	True	True	True	True	5	5	5	7	True	False	True
30360	120	126.5	58	-2	B	-1	1.5	0	False	2	4	1	1	1/8	True	-4	3	64	3	3b	3	253/2	False	True				False	103		V6	Ab	I		V6	V		6			M	False	False	(5, 2, 1)	()	1	5	major	major	I	I, major	V		I	I	False	V6	V6, major		V6, major		V	V	5		-4	-4	-4	-3	1	Eb	G	Ab	Ab	major triad	1	True	True	True	True	True	2	2	2	2	True	False	False
30360	120	126.5	63	-3	E	-1	1.5	0	False	2	4	1	1	1/8	True	-4	3	64	3	3b	4	253/2	False	True				False	103		V6	Ab	I		V6	V		6			M	False	False	(5, 2, 1)	()	1	5	major	major	I	I, major	V		I	I	False	V6	V6, major		V6, major		V	V	5		-4	-4	-4	-3	1	Eb	G	Ab	Ab	major triad	1	True	True	True	True	True	1	1	1	5	True	True	False
30420	60	126.75	43	1	G	0	1.75	0	False	2	4	2	1	1/16	True	-4	3	64	3	3b	2	507/4	False	False				False	103		V6	Ab	I		V6	V		6			M	False	False	(5, 2, 1)	()	1	5	major	major	I	I, major	V		I	I	False	V6	V6, major		V6, major		V	V	5		-4	-4	-4	-3	1	Eb	G	Ab	Ab	major triad	1	True	True	True	True	True	5	5	5	7	True	False	True
30480	60	127.0	32	-4	A	-1	2.0	2	True	2	4	2	1	1/16	True	-4	3	64	3	3b	1	127	False	True				False	104		I	Ab	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		-4	-4	-4	-4	-4	Ab	Ab	Ab	Ab	major triad	0	True	True	True	True	True	0	0	0	1	True	True	True
30480	120	127.0	51	-3	E	-1	2.0	2	True	2	4	1	1	1/8	True	-4	3	64	3	3b	3	127	False	True				False	104		I	Ab	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		-4	-4	-4	-4	-4	Ab	Ab	Ab	Ab	major triad	0	True	True	True	True	True	1	1	1	5	True	False	False
30480	120	127.0	60	0	C	0	2.0	2	True	2	4	1	1	1/8	True	-4	3	64	3	3b	4	127	False	True				False	104		I	Ab	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		-4	-4	-4	-4	-4	Ab	Ab	Ab	Ab	major triad	0	True	True	True	True	True	4	4	4	3	True	False	False
30540	60	127.25	44	-4	A	-1	2.25	0	False	2	4	2	1	1/16	True	-4	3	64	3	3b	2	509/4	False	False				False	104		I	Ab	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		-4	-4	-4	-4	-4	Ab	Ab	Ab	Ab	major triad	0	True	True	True	True	True	0	0	0	1	True	True	True
30600	60	127.5	36	0	C	0	2.5	0	False	2	4	2	1	1/16	True	-4	3	64	3	3b	2	255/2	False	True				False	105		I6	Ab	I		I6	I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	I	1		-4	-4	-4	-4	0	Ab	C	Ab	Ab	major triad	1	True	True	True	True	True	4	4	4	3	True	False	True
30600	120	127.5	51	-3	E	-1	2.5	0	False	2	4	1	1	1/8	True	-4	3	64	3	3b	3	255/2	False	True				False	105		I6	Ab	I		I6	I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	I	1		-4	-4	-4	-4	0	Ab	C	Ab	Ab	major triad	1	True	True	True	True	True	1	1	1	5	True	False	False
30600	120	127.5	56	-4	A	-1	2.5	0	False	2	4	1	1	1/8	True	-4	3	64	3	3b	3	255/2	False	True				False	105		I6	Ab	I		I6	I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	I	1		-4	-4	-4	-4	0	Ab	C	Ab	Ab	major triad	1	True	True	True	True	True	0	0	0	1	True	True	False
30660	60	127.75	48	0	C	0	2.75	0	False	2	4	2	1	1/16	True	-4	3	64	3	3b	3	511/4	False	False				False	105		I6	Ab	I		I6	I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	I	1		-4	-4	-4	-4	0	Ab	C	Ab	Ab	major triad	1	True	True	True	True	True	4	4	4	3	True	False	True
30720	60	128.0	39	-3	E	-1	1.0	1	True	2	4	2	1	1/16	True	-4	4	65	4	4b	2	128	False	True				False	106		V	Ab	I		V	V					M	False	False	(1, 5, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V, major		V	V	5		-4	-4	-4	-3	-3	Eb	Eb	Ab	Ab	major triad	0	True	True	True	True	True	1	1	1	5	True	True	True
30720	240	128.0	55	1	G	0	1.0	1	True	2	4	1	1	1/4	True	-4	4	65	4	4b	3	128	False	True				False	106		V	Ab	I		V	V					M	False	False	(1, 5, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V, major		V	V	5		-4	-4	-4	-3	-3	Eb	Eb	Ab	Ab	major triad	0	True	True	True	True	True	5	5	5	7	True	False	False
30720	240	128.0	58	-2	B	-1	1.0	1	True	2	4	1	1	1/4	True	-4	4	65	4	4b	3	128	False	True				False	106		V	Ab	I		V	V					M	False	False	(1, 5, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V, major		V	V	5		-4	-4	-4	-3	-3	Eb	Eb	Ab	Ab	major triad	0	True	True	True	True	True	2	2	2	2	True	False	False
30780	60	128.25	51	-3	E	-1	1.25	0	False	2	4	2	1	1/16	True	-4	4	65	4	4b	3	513/4	False	False				False	106		V	Ab	I		V	V					M	False	False	(1, 5, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V, major		V	V	5		-4	-4	-4	-3	-3	Eb	Eb	Ab	Ab	major triad	0	True	True	True	True	True	1	1	1	5	True	True	True
30840	60	128.5	51	-3	E	-1	1.5	0	False	2	4	2	1	1/16	True	-4	4	65	4	4b	3	257/2	False	False				False	106		V	Ab	I		V	V					M	False	False	(1, 5, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V, major		V	V	5		-4	-4	-4	-3	-3	Eb	Eb	Ab	Ab	major triad	0	True	True	True	True	True	1	1	1	5	True	True	True
30900	60	128.75	51	-3	E	-1	1.75	0	False	2	4	2	1	1/16	True	-4	4	65	4	4b	3	515/4	False	False				False	106		V	Ab	I		V	V					M	False	False	(1, 5, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V, major		V	V	5		-4	-4	-4	-3	-3	Eb	Eb	Ab	Ab	major triad	0	True	True	True	True	True	1	1	1	5	True	True	True
