onset_div	duration_div	onset_beat	pitch	tpc	step	alter	beat_float	downbeat	is_downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	a_isOnset	cadence	cadence_type	phraseend	a_phraseend	unfolded_harmony_index	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	a_simpleNumeral	a_degree1	a_degree2	globalkey_tpc	localkey_tpc	tonicized_tpc	root_tpc	bass_note_tpc	a_root	a_bass	a_localKey	a_tonicizedKey	a_quality	a_inversion	valid_chord_label	valid_cadence_label	valid_phrase_label	valid_pedal_point_label	valid_section_start_label	sic_with_global	sic_with_local	sic_with_tonicized	note_degree	tpc_is_in_label	tpc_is_root	tpc_is_bass
443	1	73.833	50	2	D	0	2.833	0	False	6	8	4	1	1/16	True	2	37	37	37	37a	3	443/4	False	False				False	136	IV6/V	D	I		IV6/V	IV		6		V	M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	IV/V	V	V/I	V	False	IV6/V	IV6/V, major		IV6/V, major	V	V	IV	4	5	2	2	3	2	6	D	F#	D	A	major triad	1	True	True	True	True	True	0	0	-1	1	True	True	False
443	1	73.833	66	6	F	1	2.833	0	False	6	8	1	1	1/16	True	2	37	37	37	37a	4	443/4	False	False				False	136	IV6/V	D	I		IV6/V	IV		6		V	M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	IV/V	V	V/I	V	False	IV6/V	IV6/V, major		IV6/V, major	V	V	IV	4	5	2	2	3	2	6	D	F#	D	A	major triad	1	True	True	True	True	True	4	4	3	3	True	False	True
444	4	74.0	52	4	E	0	1.0	1	True	6	8	3	1	1/4	True	2	38	38	38	38a	3	111	False	True				False	137	iii6(2)/V	D	I		iii6(2)/V	iii		6	2	V	m	False	False	(2, 6, 0)	()	5	2	major	major	I	I, major	iii/V	V	V/I	V	False	iii6/V	iii6/V, major		iii6(2)/V, major	V	V	iii	3	5	2	2	3	7	4	C#	E	D	A	minor triad	1	True	True	True	True	True	2	2	1	2	True	False	True
444	4	74.0	52	4	E	0	1.0	1	True	6	8	4	1	1/4	True	2	38	38	38	38a	3	111	False	True				False	137	iii6(2)/V	D	I		iii6(2)/V	iii		6	2	V	m	False	False	(2, 6, 0)	()	5	2	major	major	I	I, major	iii/V	V	V/I	V	False	iii6/V	iii6/V, major		iii6(2)/V, major	V	V	iii	3	5	2	2	3	7	4	C#	E	D	A	minor triad	1	True	True	True	True	True	2	2	1	2	True	False	True
444	2	74.0	68	8	G	1	1.0	1	True	6	8	1	1	1/8	True	2	38	38	38	38a	4	111	False	True				False	137	iii6(2)/V	D	I		iii6(2)/V	iii		6	2	V	m	False	False	(2, 6, 0)	()	5	2	major	major	I	I, major	iii/V	V	V/I	V	False	iii6/V	iii6/V, major		iii6(2)/V, major	V	V	iii	3	5	2	2	3	7	4	C#	E	D	A	minor triad	1	True	True	True	True	True	6	6	5	#4	True	False	False
444	2	74.0	74	2	D	0	1.0	1	True	6	8	2	1	1/8	True	2	38	38	38	38a	5	111	False	True				False	137	iii6(2)/V	D	I		iii6(2)/V	iii		6	2	V	m	False	False	(2, 6, 0)	()	5	2	major	major	I	I, major	iii/V	V	V/I	V	False	iii6/V	iii6/V, major		iii6(2)/V, major	V	V	iii	3	5	2	2	3	7	4	C#	E	D	A	minor triad	1	True	True	True	True	True	0	0	-1	1	True	False	False
446	1	74.333	69	3	A	0	1.333	0	False	6	8	1	1	1/16	True	2	38	38	38	38a	4	223/2	False	True				False	138	iii6/V	D	I		iii6/V	iii		6		V	m	False	False	(2, 6, 5)	()	5	2	major	major	I	I, major	iii/V	V	V/I	V	False	iii6/V	iii6/V, major		iii6/V, major	V	V	iii	3	5	2	2	3	7	4	C#	E	D	A	minor triad	1	True	True	True	True	True	1	1	0	5	False	False	False
446	2	74.333	73	7	C	1	1.333	0	False	6	8	2	1	1/8	True	2	38	38	38	38a	5	223/2	False	True				False	138	iii6/V	D	I		iii6/V	iii		6		V	m	False	False	(2, 6, 5)	()	5	2	major	major	I	I, major	iii/V	V	V/I	V	False	iii6/V	iii6/V, major		iii6/V, major	V	V	iii	3	5	2	2	3	7	4	C#	E	D	A	minor triad	1	True	True	True	True	True	5	5	4	7	True	True	False
447	1	74.5	68	8	G	1	1.5	0	False	6	8	1	1	1/16	True	2	38	38	38	38a	4	447/4	False	False				False	138	iii6/V	D	I		iii6/V	iii		6		V	m	False	False	(2, 6, 5)	()	5	2	major	major	I	I, major	iii/V	V	V/I	V	False	iii6/V	iii6/V, major		iii6/V, major	V	V	iii	3	5	2	2	3	7	4	C#	E	D	A	minor triad	1	True	True	True	True	True	6	6	5	#4	True	False	False
448	1	74.667	50	2	D	0	1.667	0	False	6	8	3	1	1/16	True	2	38	38	38	38a	3	112	False	False				False	138	iii6/V	D	I		iii6/V	iii		6		V	m	False	False	(2, 6, 5)	()	5	2	major	major	I	I, major	iii/V	V	V/I	V	False	iii6/V	iii6/V, major		iii6/V, major	V	V	iii	3	5	2	2	3	7	4	C#	E	D	A	minor triad	1	True	True	True	True	True	0	0	-1	1	False	False	False
