onset_div	duration_div	onset_beat	pitch	tpc	step	alter	beat_float	downbeat	is_downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	a_isOnset	cadence	cadence_type	phraseend	a_phraseend	unfolded_harmony_index	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	a_simpleNumeral	a_degree1	a_degree2	globalkey_tpc	localkey_tpc	tonicized_tpc	root_tpc	bass_note_tpc	a_root	a_bass	a_localKey	a_tonicizedKey	a_quality	a_inversion	valid_chord_label	valid_cadence_label	valid_phrase_label	valid_pedal_point_label	valid_section_start_label	sic_with_global	sic_with_local	sic_with_tonicized	note_degree	tpc_is_in_label	tpc_is_root	tpc_is_bass
628	8	157.0	67	1	G	0	2.0	2	True	4	4	2	1	1/2	True	0	40	40	40	40a	4	157	False	False				False	69	III		d	v		III	III					M	True	True	(-3, 1, -2)	()	-3	-3	minor	minor	v	v, minor	III		v	v	True	III	III, minor		III, minor		III	III	3		2	3	3	0	0	C	C	A	A	major triad	0	True	False	True	True	True	-1	-2	-2	7	True	False	False
632	4	158.0	67	1	G	0	3.0	3	True	4	4	1	1	1/4	True	0	40	40	40	40a	4	158	False	False				False	69	III		d	v		III	III					M	True	True	(-3, 1, -2)	()	-3	-3	minor	minor	v	v, minor	III		v	v	True	III	III, minor		III, minor		III	III	3		2	3	3	0	0	C	C	A	A	major triad	0	True	False	True	True	True	-1	-2	-2	7	True	False	False
636	2	159.0	64	4	E	0	4.0	4	True	4	4	3	1	1/8	True	0	40	40	40	40a	4	159	False	False				False	69	III		d	v		III	III					M	True	True	(-3, 1, -2)	()	-3	-3	minor	minor	v	v, minor	III		v	v	True	III	III, minor		III, minor		III	III	3		2	3	3	0	0	C	C	A	A	major triad	0	True	False	True	True	True	2	1	1	5	True	False	False
636	4	159.0	67	1	G	0	4.0	4	True	4	4	1	1	1/4	True	0	40	40	40	40a	4	159	False	False				False	69	III		d	v		III	III					M	True	True	(-3, 1, -2)	()	-3	-3	minor	minor	v	v, minor	III		v	v	True	III	III, minor		III, minor		III	III	3		2	3	3	0	0	C	C	A	A	major triad	0	True	False	True	True	True	-1	-2	-2	7	True	False	False
636	4	159.0	67	1	G	0	4.0	4	True	4	4	2	1	1/4	True	0	40	40	40	40a	4	159	False	False				False	69	III		d	v		III	III					M	True	True	(-3, 1, -2)	()	-3	-3	minor	minor	v	v, minor	III		v	v	True	III	III, minor		III, minor		III	III	3		2	3	3	0	0	C	C	A	A	major triad	0	True	False	True	True	True	-1	-2	-2	7	True	False	False
638	2	159.5	64	4	E	0	4.5	0	False	4	4	3	1	1/8	True	0	40	40	40	40a	4	319/2	False	False				False	69	III		d	v		III	III					M	True	True	(-3, 1, -2)	()	-3	-3	minor	minor	v	v, minor	III		v	v	True	III	III, minor		III, minor		III	III	3		2	3	3	0	0	C	C	A	A	major triad	0	True	False	True	True	True	2	1	1	5	True	False	False
640	8	160.0	60	0	C	0	1.0	1	True	4	4	4	1	1/2	True	0	41	41	41	41a	4	160	False	False				False	69	III		d	v		III	III					M	True	True	(-3, 1, -2)	()	-3	-3	minor	minor	v	v, minor	III		v	v	True	III	III, minor		III, minor		III	III	3		2	3	3	0	0	C	C	A	A	major triad	0	True	False	True	True	True	-2	-3	-3	3	True	True	True
640	4	160.0	64	4	E	0	1.0	1	True	4	4	3	1	1/4	True	0	41	41	41	41a	4	160	False	False				False	69	III		d	v		III	III					M	True	True	(-3, 1, -2)	()	-3	-3	minor	minor	v	v, minor	III		v	v	True	III	III, minor		III, minor		III	III	3		2	3	3	0	0	C	C	A	A	major triad	0	True	False	True	True	True	2	1	1	5	True	False	False
640	8	160.0	67	1	G	0	1.0	1	True	4	4	1	1	1/2	True	0	41	41	41	41a	4	160	False	False				False	69	III		d	v		III	III					M	True	True	(-3, 1, -2)	()	-3	-3	minor	minor	v	v, minor	III		v	v	True	III	III, minor		III, minor		III	III	3		2	3	3	0	0	C	C	A	A	major triad	0	True	False	True	True	True	-1	-2	-2	7	True	False	False
640	8	160.0	72	0	C	0	1.0	1	True	4	4	2	1	1/2	True	0	41	41	41	41a	5	160	False	False				False	69	III		d	v		III	III					M	True	True	(-3, 1, -2)	()	-3	-3	minor	minor	v	v, minor	III		v	v	True	III	III, minor		III, minor		III	III	3		2	3	3	0	0	C	C	A	A	major triad	0	True	False	True	True	True	-2	-3	-3	3	True	True	True
644	4	161.0	64	4	E	0	2.0	2	True	4	4	3	1	1/4	True	0	41	41	41	41a	4	161	False	False				False	69	III		d	v		III	III					M	True	True	(-3, 1, -2)	()	-3	-3	minor	minor	v	v, minor	III		v	v	True	III	III, minor		III, minor		III	III	3		2	3	3	0	0	C	C	A	A	major triad	0	True	False	True	True	True	2	1	1	5	True	False	False
648	8	162.0	57	3	A	0	3.0	3	True	4	4	4	1	1/2	True	0	41	41	41	41a	3	162	False	True				False	70	i		d	v		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	v	v, minor	i		v	v	True	i	i, minor		i, minor		i	i	1		2	3	3	3	3	A	A	A	A	minor triad	0	True	False	True	True	True	1	0	0	1	True	True	True
648	4	162.0	64	4	E	0	3.0	3	True	4	4	3	1	1/4	True	0	41	41	41	41a	4	162	False	True				False	70	i		d	v		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	v	v, minor	i		v	v	True	i	i, minor		i, minor		i	i	1		2	3	3	3	3	A	A	A	A	minor triad	0	True	False	True	True	True	2	1	1	5	True	False	False
648	8	162.0	69	3	A	0	3.0	3	True	4	4	1	1	1/2	True	0	41	41	41	41a	4	162	False	True				False	70	i		d	v		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	v	v, minor	i		v	v	True	i	i, minor		i, minor		i	i	1		2	3	3	3	3	A	A	A	A	minor triad	0	True	False	True	True	True	1	0	0	1	True	True	True
648	4	162.0	72	0	C	0	3.0	3	True	4	4	2	1	1/4	True	0	41	41	41	41a	5	162	False	True				False	70	i		d	v		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	v	v, minor	i		v	v	True	i	i, minor		i, minor		i	i	1		2	3	3	3	3	A	A	A	A	minor triad	0	True	False	True	True	True	-2	-3	-3	3	True	False	False
652	4	163.0	64	4	E	0	4.0	4	True	4	4	3	1	1/4	True	0	41	41	41	41a	4	163	False	False				False	70	i		d	v		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	v	v, minor	i		v	v	True	i	i, minor		i, minor		i	i	1		2	3	3	3	3	A	A	A	A	minor triad	0	True	False	True	True	True	2	1	1	5	True	False	False
652	4	163.0	72	0	C	0	4.0	4	True	4	4	2	1	1/4	True	0	41	41	41	41a	5	163	False	False				False	70	i		d	v		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	v	v, minor	i		v	v	True	i	i, minor		i, minor		i	i	1		2	3	3	3	3	A	A	A	A	minor triad	0	True	False	True	True	True	-2	-3	-3	3	True	False	False
656	16	164.0	53	-1	F	0	1.0	1	True	4	4	5	1	1	True	0	42	42	42	42a	3	164	False	True				False	71	VIM7		d	v		VIM7	VI	M	7			MM7	True	True	(-4, 0, -3, 1)	()	-4	-4	minor	minor	v	v, minor	VI		v	v	True	VIM7	VIM7, minor		VIM7, minor		VI	VI7	6		2	3	3	-1	-1	F	F	A	A	major seventh chord	7	True	False	True	True	True	-3	-4	-4	6	True	True	True
656	4	164.0	57	3	A	0	1.0	1	True	4	4	4	1	1/4	False	0	42	42	42	42a	3	164	False	True				False	71	VIM7		d	v		VIM7	VI	M	7			MM7	True	True	(-4, 0, -3, 1)	()	-4	-4	minor	minor	v	v, minor	VI		v	v	True	VIM7	VIM7, minor		VIM7, minor		VI	VI7	6		2	3	3	-1	-1	F	F	A	A	major seventh chord	7	True	False	True	True	True	1	0	0	1	True	False	False
656	8	164.0	60	0	C	0	1.0	1	True	4	4	1	1	1/2	True	0	42	42	42	42a	4	164	False	True				False	71	VIM7		d	v		VIM7	VI	M	7			MM7	True	True	(-4, 0, -3, 1)	()	-4	-4	minor	minor	v	v, minor	VI		v	v	True	VIM7	VIM7, minor		VIM7, minor		VI	VI7	6		2	3	3	-1	-1	F	F	A	A	major seventh chord	7	True	False	True	True	True	-2	-3	-3	3	True	False	False
656	4	164.0	64	4	E	0	1.0	1	True	4	4	3	1	1/4	True	0	42	42	42	42a	4	164	False	True				False	71	VIM7		d	v		VIM7	VI	M	7			MM7	True	True	(-4, 0, -3, 1)	()	-4	-4	minor	minor	v	v, minor	VI		v	v	True	VIM7	VIM7, minor		VIM7, minor		VI	VI7	6		2	3	3	-1	-1	F	F	A	A	major seventh chord	7	True	False	True	True	True	2	1	1	5	True	False	False
656	8	164.0	69	3	A	0	1.0	1	True	4	4	2	1	1/2	True	0	42	42	42	42a	4	164	False	True				False	71	VIM7		d	v		VIM7	VI	M	7			MM7	True	True	(-4, 0, -3, 1)	()	-4	-4	minor	minor	v	v, minor	VI		v	v	True	VIM7	VIM7, minor		VIM7, minor		VI	VI7	6		2	3	3	-1	-1	F	F	A	A	major seventh chord	7	True	False	True	True	True	1	0	0	1	True	False	False
660	2	165.0	57	3	A	0	2.0	2	True	4	4	4	1	1/8	True	0	42	42	42	42a	3	165	False	False				False	71	VIM7		d	v		VIM7	VI	M	7			MM7	True	True	(-4, 0, -3, 1)	()	-4	-4	minor	minor	v	v, minor	VI		v	v	True	VIM7	VIM7, minor		VIM7, minor		VI	VI7	6		2	3	3	-1	-1	F	F	A	A	major seventh chord	7	True	False	True	True	True	1	0	0	1	True	False	False
660	4	165.0	64	4	E	0	2.0	2	True	4	4	3	1	1/4	True	0	42	42	42	42a	4	165	False	False				False	71	VIM7		d	v		VIM7	VI	M	7			MM7	True	True	(-4, 0, -3, 1)	()	-4	-4	minor	minor	v	v, minor	VI		v	v	True	VIM7	VIM7, minor		VIM7, minor		VI	VI7	6		2	3	3	-1	-1	F	F	A	A	major seventh chord	7	True	False	True	True	True	2	1	1	5	True	False	False
662	2	165.5	57	3	A	0	2.5	0	False	4	4	4	1	1/8	True	0	42	42	42	42a	3	331/2	False	False				False	71	VIM7		d	v		VIM7	VI	M	7			MM7	True	True	(-4, 0, -3, 1)	()	-4	-4	minor	minor	v	v, minor	VI		v	v	True	VIM7	VIM7, minor		VIM7, minor		VI	VI7	6		2	3	3	-1	-1	F	F	A	A	major seventh chord	7	True	False	True	True	True	1	0	0	1	True	False	False
664	4	166.0	57	3	A	0	3.0	3	True	4	4	4	1	1/4	True	0	42	42	42	42a	3	166	False	True				False	72	iv6		d	v		iv6	iv		6			m	True	True	(-4, 0, -1)	()	-1	-4	minor	minor	v	v, minor	iv		v	v	True	iv6	iv6, minor		iv6, minor		iv	iv	4		2	3	3	2	-1	D	F	A	A	minor triad	1	True	False	True	True	True	1	0	0	1	True	False	False
664	8	166.0	62	2	D	0	3.0	3	True	4	4	1	1	1/2	True	0	42	42	42	42a	4	166	False	True				False	72	iv6		d	v		iv6	iv		6			m	True	True	(-4, 0, -1)	()	-1	-4	minor	minor	v	v, minor	iv		v	v	True	iv6	iv6, minor		iv6, minor		iv	iv	4		2	3	3	2	-1	D	F	A	A	minor triad	1	True	False	True	True	True	0	-1	-1	4	True	True	False
664	8	166.0	62	2	D	0	3.0	3	True	4	4	3	1	1/2	True	0	42	42	42	42a	4	166	False	True				False	72	iv6		d	v		iv6	iv		6			m	True	True	(-4, 0, -1)	()	-1	-4	minor	minor	v	v, minor	iv		v	v	True	iv6	iv6, minor		iv6, minor		iv	iv	4		2	3	3	2	-1	D	F	A	A	minor triad	1	True	False	True	True	True	0	-1	-1	4	True	True	False
664	4	166.0	69	3	A	0	3.0	3	True	4	4	2	1	1/4	True	0	42	42	42	42a	4	166	False	True				False	72	iv6		d	v		iv6	iv		6			m	True	True	(-4, 0, -1)	()	-1	-4	minor	minor	v	v, minor	iv		v	v	True	iv6	iv6, minor		iv6, minor		iv	iv	4		2	3	3	2	-1	D	F	A	A	minor triad	1	True	False	True	True	True	1	0	0	1	True	False	False
668	4	167.0	57	3	A	0	4.0	4	True	4	4	4	1	1/4	True	0	42	42	42	42a	3	167	False	False				False	72	iv6		d	v		iv6	iv		6			m	True	True	(-4, 0, -1)	()	-1	-4	minor	minor	v	v, minor	iv		v	v	True	iv6	iv6, minor		iv6, minor		iv	iv	4		2	3	3	2	-1	D	F	A	A	minor triad	1	True	False	True	True	True	1	0	0	1	True	False	False
668	4	167.0	69	3	A	0	4.0	4	True	4	4	2	1	1/4	True	0	42	42	42	42a	4	167	False	False				False	72	iv6		d	v		iv6	iv		6			m	True	True	(-4, 0, -1)	()	-1	-4	minor	minor	v	v, minor	iv		v	v	True	iv6	iv6, minor		iv6, minor		iv	iv	4		2	3	3	2	-1	D	F	A	A	minor triad	1	True	False	True	True	True	1	0	0	1	True	False	False
672	16	168.0	54	6	F	1	1.0	1	True	4	4	5	1	1	True	0	43	43	43	43a	3	168	False	True				False	73	IV6		d	v		IV6	IV		6			M	True	True	(3, 0, -1)	()	-1	3	minor	minor	v	v, minor	IV		v	v	True	IV6	IV6, minor		IV6, minor		IV	IV	4		2	3	3	2	6	D	F#	A	A	major triad	1	True	False	True	True	True	4	3	3	#6	True	False	True
