onset_div	duration_div	onset_beat	pitch	tpc	step	alter	beat_float	downbeat	is_downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	a_isOnset	cadence	cadence_type	phraseend	a_phraseend	unfolded_harmony_index	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	a_simpleNumeral	a_degree1	a_degree2	globalkey_tpc	localkey_tpc	tonicized_tpc	root_tpc	bass_note_tpc	a_root	a_bass	a_localKey	a_tonicizedKey	a_quality	a_inversion	valid_chord_label	valid_cadence_label	valid_phrase_label	valid_pedal_point_label	valid_section_start_label	sic_with_global	sic_with_local	sic_with_tonicized	note_degree	tpc_is_in_label	tpc_is_root	tpc_is_bass
2	2	0.5	67	1	G	0	1.5	0	False	4	4	2	1	1/8	True	1	1	1	1	1a	4	1/2	False	False				False	0	e.i	e	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		4	4	4	4	4	E	E	E	E	minor triad	0	True	False	True	True	True	-3	-3	-3	3	True	False	False
4	2	1.0	64	4	E	0	2.0	2	True	4	4	2	1	1/8	True	1	1	1	1	1a	4	1	False	False				False	0	e.i	e	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		4	4	4	4	4	E	E	E	E	minor triad	0	True	False	True	True	True	0	0	0	1	True	True	True
6	2	1.5	62	2	D	0	2.5	0	False	4	4	2	1	1/8	True	1	1	1	1	1a	4	3/2	False	False				False	0	e.i	e	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		4	4	4	4	4	E	E	E	E	minor triad	0	True	False	True	True	True	-2	-2	-2	7	False	False	False
8	2	2.0	61	7	C	1	3.0	3	True	4	4	2	1	1/8	True	1	1	1	1	1a	4	2	False	True				False	1	viio/VII	e	i		viio/VII		vii	o			VII	o	True	True	(3, 0, -3)	()	3	3	minor	minor	i	i, minor	vii/VII	VII	VII/i	VII	False	viio/VII	viio/VII, minor		viio/VII, minor	VII	VII	viio	7	7	4	4	2	7	7	C#	C#	E	D	diminished triad	0	True	False	True	True	True	3	3	5	#6	True	True	True
10	2	2.5	64	4	E	0	3.5	0	False	4	4	2	1	1/8	True	1	1	1	1	1a	4	5/2	False	False				False	1	viio/VII	e	i		viio/VII		vii	o			VII	o	True	True	(3, 0, -3)	()	3	3	minor	minor	i	i, minor	vii/VII	VII	VII/i	VII	False	viio/VII	viio/VII, minor		viio/VII, minor	VII	VII	viio	7	7	4	4	2	7	7	C#	C#	E	D	diminished triad	0	True	False	True	True	True	0	0	2	1	True	False	False
12	2	3.0	67	1	G	0	4.0	4	True	4	4	2	1	1/8	True	1	1	1	1	1a	4	3	False	True				False	2	viio64/VII	e	i		viio64/VII		vii	o	64		VII	o	True	True	(-3, 3, 0)	()	3	-3	minor	minor	i	i, minor	vii/VII	VII	VII/i	VII	False	viio64/VII	viio64/VII, minor		viio64/VII, minor	VII	VII	viio	7	7	4	4	2	7	1	C#	G	E	D	diminished triad	2	True	False	True	True	True	-3	-3	-1	3	True	False	True
12	4	3.0	67	1	G	0	4.0	4	True	4	4	2	2	1/4	True	1	1	1	1	1a	4	3	False	True				False	2	viio64/VII	e	i		viio64/VII		vii	o	64		VII	o	True	True	(-3, 3, 0)	()	3	-3	minor	minor	i	i, minor	vii/VII	VII	VII/i	VII	False	viio64/VII	viio64/VII, minor		viio64/VII, minor	VII	VII	viio	7	7	4	4	2	7	1	C#	G	E	D	diminished triad	2	True	False	True	True	True	-3	-3	-1	3	True	False	True
14	2	3.5	73	7	C	1	4.5	0	False	4	4	2	1	1/8	True	1	1	1	1	1a	5	7/2	False	False				False	2	viio64/VII	e	i		viio64/VII		vii	o	64		VII	o	True	True	(-3, 3, 0)	()	3	-3	minor	minor	i	i, minor	vii/VII	VII	VII/i	VII	False	viio64/VII	viio64/VII, minor		viio64/VII, minor	VII	VII	viio	7	7	4	4	2	7	1	C#	G	E	D	diminished triad	2	True	False	True	True	True	3	3	5	#6	True	True	False
16	2	4.0	67	1	G	0	1.0	1	True	4	4	2	2	1/8	False	1	2	2	2	2a	4	4	False	True				False	3	VII6	e	i		VII6		VII		6			M	True	True	(2, -1, -2)	()	-2	2	minor	minor	i	i, minor	VII		i	i	True	VII6	VII6, minor		VII6, minor		VII	VII	7		4	4	4	2	6	D	F#	E	E	major triad	1	True	False	True	True	True	-3	-3	-3	3	False	False	False
16	6	4.0	74	2	D	0	1.0	1	True	4	4	2	1	3/8	True	1	2	2	2	2a	5	4	False	True				False	3	VII6	e	i		VII6		VII		6			M	True	True	(2, -1, -2)	()	-2	2	minor	minor	i	i, minor	VII		i	i	True	VII6	VII6, minor		VII6, minor		VII	VII	7		4	4	4	2	6	D	F#	E	E	major triad	1	True	False	True	True	True	-2	-2	-2	7	True	True	False
