onset_div	duration_div	onset_beat	pitch	tpc	step	alter	beat_float	downbeat	is_downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	a_isOnset	cadence	cadence_type	phraseend	a_phraseend	unfolded_harmony_index	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	a_simpleNumeral	a_degree1	a_degree2	globalkey_tpc	localkey_tpc	tonicized_tpc	root_tpc	bass_note_tpc	a_root	a_bass	a_localKey	a_tonicizedKey	a_quality	a_inversion	valid_chord_label	valid_cadence_label	valid_phrase_label	valid_pedal_point_label	valid_section_start_label	sic_with_global	sic_with_local	sic_with_tonicized	note_degree	tpc_is_in_label	tpc_is_root	tpc_is_bass
4764	12	49.625	79	1	G	0	2.125	0	False	2	4	1	1	1/32	True	-1	26	26	25	25a	5	397/8	False	False				False	56	I6	F	I		I6	Ger	I	o	6	^4	ii	M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I	ii	I	I	False	I6	I6, major		I6, major	ii	I	I	1	2	-1	-1	-1	-1	3	F	A	F	F	major triad	1	True	True	True	True	True	2	2	2	2	False	False	False
4776	12	49.75	81	3	A	0	2.25	0	False	2	4	1	1	1/32	True	-1	26	26	25	25a	5	199/4	False	False				False	56	I6	F	I		I6	Ger	I	o	6	^4	ii	M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I	ii	I	I	False	I6	I6, major		I6, major	ii	I	I	1	2	-1	-1	-1	-1	3	F	A	F	F	major triad	1	True	True	True	True	True	4	4	4	3	True	False	True
4788	12	49.875	79	1	G	0	2.375	0	False	2	4	1	1	1/32	True	-1	26	26	25	25a	5	399/8	False	False				False	56	I6	F	I		I6	Ger	I	o	6	^4	ii	M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I	ii	I	I	False	I6	I6, major		I6, major	ii	I	I	1	2	-1	-1	-1	-1	3	F	A	F	F	major triad	1	True	True	True	True	True	2	2	2	2	False	False	False
4800	12	50.0	81	3	A	0	2.5	0	False	2	4	1	1	1/32	True	-1	26	26	25	25a	5	50	False	False				False	56	I6	F	I		I6	Ger	I	o	6	^4	ii	M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I	ii	I	I	False	I6	I6, major		I6, major	ii	I	I	1	2	-1	-1	-1	-1	3	F	A	F	F	major triad	1	True	True	True	True	True	4	4	4	3	True	False	True
4812	12	50.125	82	-2	B	-1	2.625	0	False	2	4	1	1	1/32	True	-1	26	26	25	25a	5	401/8	False	False				False	56	I6	F	I		I6	Ger	I	o	6	^4	ii	M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I	ii	I	I	False	I6	I6, major		I6, major	ii	I	I	1	2	-1	-1	-1	-1	3	F	A	F	F	major triad	1	True	True	True	True	True	-1	-1	-1	4	False	False	False
4824	12	50.25	81	3	A	0	2.75	0	False	2	4	1	1	1/32	True	-1	26	26	25	25a	5	201/4	False	False				False	56	I6	F	I		I6	Ger	I	o	6	^4	ii	M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I	ii	I	I	False	I6	I6, major		I6, major	ii	I	I	1	2	-1	-1	-1	-1	3	F	A	F	F	major triad	1	True	True	True	True	True	4	4	4	3	True	False	True
4836	12	50.375	79	1	G	0	2.875	0	False	2	4	1	1	1/32	True	-1	26	26	25	25a	5	403/8	False	False				False	56	I6	F	I		I6	Ger	I	o	6	^4	ii	M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I	ii	I	I	False	I6	I6, major		I6, major	ii	I	I	1	2	-1	-1	-1	-1	3	F	A	F	F	major triad	1	True	True	True	True	True	2	2	2	2	False	False	False
4848	12	50.5	77	-1	F	0	1.0	1	True	2	4	1	1	1/32	True	-1	27	27	26	26a	5	101/2	False	False				False	56	I6	F	I		I6	Ger	I	o	6	^4	ii	M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I	ii	I	I	False	I6	I6, major		I6, major	ii	I	I	1	2	-1	-1	-1	-1	3	F	A	F	F	major triad	1	True	True	True	True	True	0	0	0	1	True	True	False
4860	12	50.625	76	4	E	0	1.125	0	False	2	4	1	1	1/32	True	-1	27	27	26	26a	5	405/8	False	False				False	56	I6	F	I		I6	Ger	I	o	6	^4	ii	M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I	ii	I	I	False	I6	I6, major		I6, major	ii	I	I	1	2	-1	-1	-1	-1	3	F	A	F	F	major triad	1	True	True	True	True	True	5	5	5	7	False	False	False
4872	12	50.75	77	-1	F	0	1.25	0	False	2	4	1	1	1/32	True	-1	27	27	26	26a	5	203/4	False	False				False	56	I6	F	I		I6	Ger	I	o	6	^4	ii	M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I	ii	I	I	False	I6	I6, major		I6, major	ii	I	I	1	2	-1	-1	-1	-1	3	F	A	F	F	major triad	1	True	True	True	True	True	0	0	0	1	True	True	False
4884	12	50.875	79	1	G	0	1.375	0	False	2	4	1	1	1/32	True	-1	27	27	26	26a	5	407/8	False	False				False	56	I6	F	I		I6	Ger	I	o	6	^4	ii	M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I	ii	I	I	False	I6	I6, major		I6, major	ii	I	I	1	2	-1	-1	-1	-1	3	F	A	F	F	major triad	1	True	True	True	True	True	2	2	2	2	False	False	False
4896	12	51.0	77	-1	F	0	1.5	0	False	2	4	1	1	1/32	True	-1	27	27	26	26a	5	51	False	False				False	56	I6	F	I		I6	Ger	I	o	6	^4	ii	M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I	ii	I	I	False	I6	I6, major		I6, major	ii	I	I	1	2	-1	-1	-1	-1	3	F	A	F	F	major triad	1	True	True	True	True	True	0	0	0	1	True	True	False
4908	12	51.125	76	4	E	0	1.625	0	False	2	4	1	1	1/32	True	-1	27	27	26	26a	5	409/8	False	False				False	56	I6	F	I		I6	Ger	I	o	6	^4	ii	M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I	ii	I	I	False	I6	I6, major		I6, major	ii	I	I	1	2	-1	-1	-1	-1	3	F	A	F	F	major triad	1	True	True	True	True	True	5	5	5	7	False	False	False
4920	12	51.25	74	2	D	0	1.75	0	False	2	4	1	1	1/32	True	-1	27	27	26	26a	5	205/4	False	False				False	56	I6	F	I		I6	Ger	I	o	6	^4	ii	M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I	ii	I	I	False	I6	I6, major		I6, major	ii	I	I	1	2	-1	-1	-1	-1	3	F	A	F	F	major triad	1	True	True	True	True	True	3	3	3	6	False	False	False
4932	12	51.375	73	7	C	1	1.875	0	False	2	4	1	1	1/32	True	-1	27	27	26	26a	5	411/8	False	False				False	56	I6	F	I		I6	Ger	I	o	6	^4	ii	M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I	ii	I	I	False	I6	I6, major		I6, major	ii	I	I	1	2	-1	-1	-1	-1	3	F	A	F	F	major triad	1	True	True	True	True	True	8	8	8	#5	False	False	False
4944	12	51.5	74	2	D	0	2.0	2	True	2	4	1	1	1/32	True	-1	27	27	26	26a	5	103/2	False	True				False	57	V65/ii	F	I		V65/ii	Ger	V	o	65	^4	ii	Mm7	False	False	(7, 4, 1, 3)	()	3	7	major	major	I	I, major	V/ii	ii	ii/I	ii	True	V65/ii	V65/ii, major		V65/ii, major	ii	ii	V7	5	2	-1	-1	1	2	6	D	F#	F	G	dominant seventh chord	1	True	True	True	True	True	3	3	1	6	True	True	False
4956	12	51.625	76	4	E	0	2.125	0	False	2	4	1	1	1/32	True	-1	27	27	26	26a	5	413/8	False	False				False	57	V65/ii	F	I		V65/ii	Ger	V	o	65	^4	ii	Mm7	False	False	(7, 4, 1, 3)	()	3	7	major	major	I	I, major	V/ii	ii	ii/I	ii	True	V65/ii	V65/ii, major		V65/ii, major	ii	ii	V7	5	2	-1	-1	1	2	6	D	F#	F	G	dominant seventh chord	1	True	True	True	True	True	5	5	3	7	False	False	False
4968	12	51.75	74	2	D	0	2.25	0	False	2	4	1	1	1/32	True	-1	27	27	26	26a	5	207/4	False	False				False	57	V65/ii	F	I		V65/ii	Ger	V	o	65	^4	ii	Mm7	False	False	(7, 4, 1, 3)	()	3	7	major	major	I	I, major	V/ii	ii	ii/I	ii	True	V65/ii	V65/ii, major		V65/ii, major	ii	ii	V7	5	2	-1	-1	1	2	6	D	F#	F	G	dominant seventh chord	1	True	True	True	True	True	3	3	1	6	True	True	False
4980	12	51.875	72	0	C	0	2.375	0	False	2	4	1	1	1/32	True	-1	27	27	26	26a	5	415/8	False	False				False	57	V65/ii	F	I		V65/ii	Ger	V	o	65	^4	ii	Mm7	False	False	(7, 4, 1, 3)	()	3	7	major	major	I	I, major	V/ii	ii	ii/I	ii	True	V65/ii	V65/ii, major		V65/ii, major	ii	ii	V7	5	2	-1	-1	1	2	6	D	F#	F	G	dominant seventh chord	1	True	True	True	True	True	1	1	-1	5	True	False	False
4992	12	52.0	70	-2	B	-1	2.5	0	False	2	4	1	1	1/32	True	-1	27	27	26	26a	4	52	False	False				False	57	V65/ii	F	I		V65/ii	Ger	V	o	65	^4	ii	Mm7	False	False	(7, 4, 1, 3)	()	3	7	major	major	I	I, major	V/ii	ii	ii/I	ii	True	V65/ii	V65/ii, major		V65/ii, major	ii	ii	V7	5	2	-1	-1	1	2	6	D	F#	F	G	dominant seventh chord	1	True	True	True	True	True	-1	-1	-3	4	False	False	False
5004	12	52.125	69	3	A	0	2.625	0	False	2	4	1	1	1/32	True	-1	27	27	26	26a	4	417/8	False	False				False	57	V65/ii	F	I		V65/ii	Ger	V	o	65	^4	ii	Mm7	False	False	(7, 4, 1, 3)	()	3	7	major	major	I	I, major	V/ii	ii	ii/I	ii	True	V65/ii	V65/ii, major		V65/ii, major	ii	ii	V7	5	2	-1	-1	1	2	6	D	F#	F	G	dominant seventh chord	1	True	True	True	True	True	4	4	2	3	True	False	False
5016	12	52.25	67	1	G	0	2.75	0	False	2	4	1	1	1/32	True	-1	27	27	26	26a	4	209/4	False	False				False	57	V65/ii	F	I		V65/ii	Ger	V	o	65	^4	ii	Mm7	False	False	(7, 4, 1, 3)	()	3	7	major	major	I	I, major	V/ii	ii	ii/I	ii	True	V65/ii	V65/ii, major		V65/ii, major	ii	ii	V7	5	2	-1	-1	1	2	6	D	F#	F	G	dominant seventh chord	1	True	True	True	True	True	2	2	0	2	False	False	False
5028	12	52.375	66	6	F	1	2.875	0	False	2	4	1	1	1/32	True	-1	27	27	26	26a	4	419/8	False	False				False	57	V65/ii	F	I		V65/ii	Ger	V	o	65	^4	ii	Mm7	False	False	(7, 4, 1, 3)	()	3	7	major	major	I	I, major	V/ii	ii	ii/I	ii	True	V65/ii	V65/ii, major		V65/ii, major	ii	ii	V7	5	2	-1	-1	1	2	6	D	F#	F	G	dominant seventh chord	1	True	True	True	True	True	7	7	5	#1	True	False	True
5040	12	52.5	67	1	G	0	1.0	1	True	2	4	1	1	1/32	True	-1	28	28	27	27a	4	105/2	False	True				False	58	ii6	F	I		ii6	Ger	ii	o	6	^4	iv	m	False	False	(-1, 3, 2)	()	2	-1	major	major	I	I, major	ii	iv	I	I	False	ii6	ii6, major		ii6, major	iv	ii	ii	2	4	-1	-1	-1	1	-2	G	Bb	F	F	minor triad	1	True	True	True	True	True	2	2	2	2	True	True	False
5052	36	52.625	74	2	D	0	1.125	0	False	2	4	1	1	3/32	True	-1	28	28	27	27a	5	421/8	False	False				False	58	ii6	F	I		ii6	Ger	ii	o	6	^4	iv	m	False	False	(-1, 3, 2)	()	2	-1	major	major	I	I, major	ii	iv	I	I	False	ii6	ii6, major		ii6, major	iv	ii	ii	2	4	-1	-1	-1	1	-2	G	Bb	F	F	minor triad	1	True	True	True	True	True	3	3	3	6	True	False	False
5088	48	53.0	58	-2	B	-1	1.5	0	False	2	4	2	1	1/8	True	-1	28	28	27	27a	3	53	False	False				False	58	ii6	F	I		ii6	Ger	ii	o	6	^4	iv	m	False	False	(-1, 3, 2)	()	2	-1	major	major	I	I, major	ii	iv	I	I	False	ii6	ii6, major		ii6, major	iv	ii	ii	2	4	-1	-1	-1	1	-2	G	Bb	F	F	minor triad	1	True	True	True	True	True	-1	-1	-1	4	True	False	True
5088	24	53.0	74	2	D	0	1.5	0	False	2	4	1	1	1/16	False	-1	28	28	27	27a	5	53	False	False				False	58	ii6	F	I		ii6	Ger	ii	o	6	^4	iv	m	False	False	(-1, 3, 2)	()	2	-1	major	major	I	I, major	ii	iv	I	I	False	ii6	ii6, major		ii6, major	iv	ii	ii	2	4	-1	-1	-1	1	-2	G	Bb	F	F	minor triad	1	True	True	True	True	True	3	3	3	6	True	False	False
5112	6	53.25	72	0	C	0	1.75	0	False	2	4	1	1	1/64	True	-1	28	28	27	27a	5	213/4	False	False				False	58	ii6	F	I		ii6	Ger	ii	o	6	^4	iv	m	False	False	(-1, 3, 2)	()	2	-1	major	major	I	I, major	ii	iv	I	I	False	ii6	ii6, major		ii6, major	iv	ii	ii	2	4	-1	-1	-1	1	-2	G	Bb	F	F	minor triad	1	True	True	True	True	True	1	1	1	5	False	False	False
5118	6	53.312	70	-2	B	-1	1.812	0	False	2	4	1	1	1/64	True	-1	28	28	27	27a	4	853/16	False	False				False	58	ii6	F	I		ii6	Ger	ii	o	6	^4	iv	m	False	False	(-1, 3, 2)	()	2	-1	major	major	I	I, major	ii	iv	I	I	False	ii6	ii6, major		ii6, major	iv	ii	ii	2	4	-1	-1	-1	1	-2	G	Bb	F	F	minor triad	1	True	True	True	True	True	-1	-1	-1	4	True	False	True
5124	6	53.375	69	3	A	0	1.875	0	False	2	4	1	1	1/64	True	-1	28	28	27	27a	4	427/8	False	False				False	58	ii6	F	I		ii6	Ger	ii	o	6	^4	iv	m	False	False	(-1, 3, 2)	()	2	-1	major	major	I	I, major	ii	iv	I	I	False	ii6	ii6, major		ii6, major	iv	ii	ii	2	4	-1	-1	-1	1	-2	G	Bb	F	F	minor triad	1	True	True	True	True	True	4	4	4	3	False	False	False
5130	6	53.438	67	1	G	0	1.938	0	False	2	4	1	1	1/64	True	-1	28	28	27	27a	4	855/16	False	False				False	58	ii6	F	I		ii6	Ger	ii	o	6	^4	iv	m	False	False	(-1, 3, 2)	()	2	-1	major	major	I	I, major	ii	iv	I	I	False	ii6	ii6, major		ii6, major	iv	ii	ii	2	4	-1	-1	-1	1	-2	G	Bb	F	F	minor triad	1	True	True	True	True	True	2	2	2	2	True	True	False
5136	48	53.5	60	0	C	0	2.0	2	True	2	4	2	1	1/8	True	-1	28	28	27	27a	4	107/2	False	True				False	59	V(^4)	F	I		V(^4)	Ger	V	o	7	^4	iv	M	False	False	(1, 5, 0)	()	1	1	major	major	I	I, major	V	iv	I	I	False	V	V, major		V(^4), major	iv	V	V	5	4	-1	-1	-1	0	0	C	C	F	F	major triad	0	True	True	True	True	True	1	1	1	5	True	True	True
5136	48	53.5	65	-1	F	0	2.0	2	True	2	4	1	1	1/8	True	-1	28	28	27	27a	4	107/2	False	True				False	59	V(^4)	F	I		V(^4)	Ger	V	o	7	^4	iv	M	False	False	(1, 5, 0)	()	1	1	major	major	I	I, major	V	iv	I	I	False	V	V, major		V(^4), major	iv	V	V	5	4	-1	-1	-1	0	0	C	C	F	F	major triad	0	True	True	True	True	True	0	0	0	1	True	False	False
5184	48	54.0	48	0	C	0	2.5	0	False	2	4	2	1	1/8	True	-1	28	28	27	27a	3	54	False	True				False	60	V7	F	I		V7	Ger	V	o	7	b3	iv	Mm7	False	False	(1, 5, 2, -1)	()	1	1	major	major	I	I, major	V	iv	I	I	False	V7	V7, major		V7, major	iv	V	V7	5	4	-1	-1	-1	0	0	C	C	F	F	dominant seventh chord	7	True	True	True	True	True	1	1	1	5	True	True	True
5184	48	54.0	58	-2	B	-1	2.5	0	False	2	4	2	4	1/8	True	-1	28	28	27	27a	3	54	False	True				False	60	V7	F	I		V7	Ger	V	o	7	b3	iv	Mm7	False	False	(1, 5, 2, -1)	()	1	1	major	major	I	I, major	V	iv	I	I	False	V7	V7, major		V7, major	iv	V	V7	5	4	-1	-1	-1	0	0	C	C	F	F	dominant seventh chord	7	True	True	True	True	True	-1	-1	-1	4	True	False	False
5184	48	54.0	64	4	E	0	2.5	0	False	2	4	1	1	1/8	True	-1	28	28	27	27a	4	54	False	True				False	60	V7	F	I		V7	Ger	V	o	7	b3	iv	Mm7	False	False	(1, 5, 2, -1)	()	1	1	major	major	I	I, major	V	iv	I	I	False	V7	V7, major		V7, major	iv	V	V7	5	4	-1	-1	-1	0	0	C	C	F	F	dominant seventh chord	7	True	True	True	True	True	5	5	5	7	True	False	False
5184	48	54.0	67	1	G	0	2.5	0	False	2	4	1	1	1/8	True	-1	28	28	27	27a	4	54	False	True				False	60	V7	F	I		V7	Ger	V	o	7	b3	iv	Mm7	False	False	(1, 5, 2, -1)	()	1	1	major	major	I	I, major	V	iv	I	I	False	V7	V7, major		V7, major	iv	V	V7	5	4	-1	-1	-1	0	0	C	C	F	F	dominant seventh chord	7	True	True	True	True	True	2	2	2	2	True	False	False
5232	48	54.5	53	-1	F	0	1.0	1	True	2	4	2	4	1/8	True	-1	29	29	28	28a	3	109/2	False	True	PAC	PAC	}	True	61	I|PAC}	F	I		I	Ger	I	o	6	b3	iv	M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I	iv	I	I	False	I	I, major		I, major	iv	I	I	1	4	-1	-1	-1	-1	-1	F	F	F	F	major triad	0	True	True	True	True	True	0	0	0	1	True	True	True
5232	48	54.5	57	3	A	0	1.0	1	True	2	4	2	1	1/8	True	-1	29	29	28	28a	3	109/2	False	True	PAC	PAC	}	True	61	I|PAC}	F	I		I	Ger	I	o	6	b3	iv	M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I	iv	I	I	False	I	I, major		I, major	iv	I	I	1	4	-1	-1	-1	-1	-1	F	F	F	F	major triad	0	True	True	True	True	True	4	4	4	3	True	False	False
5232	48	54.5	65	-1	F	0	1.0	1	True	2	4	1	1	1/8	True	-1	29	29	28	28a	4	109/2	False	True	PAC	PAC	}	True	61	I|PAC}	F	I		I	Ger	I	o	6	b3	iv	M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I	iv	I	I	False	I	I, major		I, major	iv	I	I	1	4	-1	-1	-1	-1	-1	F	F	F	F	major triad	0	True	True	True	True	True	0	0	0	1	True	True	True
5280	24	55.0	60	0	C	0	1.5	0	False	2	4	1	1	1/16	True	-1	29	29	28	28a	4	55	False	False				False	61	I|PAC}	F	I		I	Ger	I	o	6	b3	iv	M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I	iv	I	I	False	I	I, major		I, major	iv	I	I	1	4	-1	-1	-1	-1	-1	F	F	F	F	major triad	0	True	True	True	True	True	1	1	1	5	True	False	False
5304	24	55.25	69	3	A	0	1.75	0	False	2	4	1	1	1/16	True	-1	29	29	28	28a	4	221/4	False	False				False	61	I|PAC}	F	I		I	Ger	I	o	6	b3	iv	M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I	iv	I	I	False	I	I, major		I, major	iv	I	I	1	4	-1	-1	-1	-1	-1	F	F	F	F	major triad	0	True	True	True	True	True	4	4	4	3	True	False	False
5328	24	55.5	67	1	G	0	2.0	2	True	2	4	1	1	1/16	True	-1	29	29	28	28a	4	111/2	False	False				False	61	I|PAC}	F	I		I	Ger	I	o	6	b3	iv	M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I	iv	I	I	False	I	I, major		I, major	iv	I	I	1	4	-1	-1	-1	-1	-1	F	F	F	F	major triad	0	True	True	True	True	True	2	2	2	2	False	False	False
5352	24	55.75	65	-1	F	0	2.25	0	False	2	4	1	1	1/16	True	-1	29	29	28	28a	4	223/4	False	False				False	61	I|PAC}	F	I		I	Ger	I	o	6	b3	iv	M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I	iv	I	I	False	I	I, major		I, major	iv	I	I	1	4	-1	-1	-1	-1	-1	F	F	F	F	major triad	0	True	True	True	True	True	0	0	0	1	True	True	True
