onset_div	duration_div	onset_beat	pitch	tpc	step	alter	beat_float	downbeat	is_downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	a_isOnset	cadence	cadence_type	phraseend	a_phraseend	unfolded_harmony_index	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	a_simpleNumeral	a_degree1	a_degree2	globalkey_tpc	localkey_tpc	tonicized_tpc	root_tpc	bass_note_tpc	a_root	a_bass	a_localKey	a_tonicizedKey	a_quality	a_inversion	valid_chord_label	valid_cadence_label	valid_phrase_label	valid_pedal_point_label	valid_section_start_label	sic_with_global	sic_with_local	sic_with_tonicized	note_degree	tpc_is_in_label	tpc_is_root	tpc_is_bass
1045	1	130.625	58	-2	B	-1	1.375	0	False	2	2	1	1	1/16	True	-3	27	68	26	26b	3	1045/4	False	False				False	156	i/iii		Eb	I		i/iii	i				iii	m	False	False	(4, 1, 5)	()	4	4	major	major	I	I, major	i/iii	iii	iii/I	iii	True	i/iii	i/iii, major		i/iii, major	iii	iii	i	1	3	-3	-3	1	1	1	G	G	Eb	G	minor triad	0	True	True	True	True	True	1	1	-3	5	True	False	False
1046	1	130.75	57	3	A	0	1.5	0	False	2	2	1	1	1/16	True	-3	27	68	26	26b	3	523/2	False	True				False	157	V6/iii		Eb	I		V6/iii	V		6		iii	M	False	False	(9, 6, 5)	()	5	9	major	major	I	I, major	V/iii	iii	iii/I	iii	True	V6/iii	V6/iii, major		V6/iii, major	iii	iii	V	5	3	-3	-3	1	2	6	D	F#	Eb	G	major triad	1	True	True	True	True	True	6	6	2	#4	True	False	False
1047	1	130.875	55	1	G	0	1.625	0	False	2	2	1	1	1/16	True	-3	27	68	26	26b	3	1047/4	False	False				False	157	V6/iii		Eb	I		V6/iii	V		6		iii	M	False	False	(9, 6, 5)	()	5	9	major	major	I	I, major	V/iii	iii	iii/I	iii	True	V6/iii	V6/iii, major		V6/iii, major	iii	iii	V	5	3	-3	-3	1	2	6	D	F#	Eb	G	major triad	1	True	True	True	True	True	4	4	0	3	False	False	False
1048	1	131.0	54	6	F	1	1.75	0	False	2	2	1	1	1/16	True	-3	27	68	26	26b	3	262	False	False				False	157	V6/iii		Eb	I		V6/iii	V		6		iii	M	False	False	(9, 6, 5)	()	5	9	major	major	I	I, major	V/iii	iii	iii/I	iii	True	V6/iii	V6/iii, major		V6/iii, major	iii	iii	V	5	3	-3	-3	1	2	6	D	F#	Eb	G	major triad	1	True	True	True	True	True	9	9	5	#2	True	False	True
1049	1	131.125	57	3	A	0	1.875	0	False	2	2	1	1	1/16	True	-3	27	68	26	26b	3	1049/4	False	False				False	157	V6/iii		Eb	I		V6/iii	V		6		iii	M	False	False	(9, 6, 5)	()	5	9	major	major	I	I, major	V/iii	iii	iii/I	iii	True	V6/iii	V6/iii, major		V6/iii, major	iii	iii	V	5	3	-3	-3	1	2	6	D	F#	Eb	G	major triad	1	True	True	True	True	True	6	6	2	#4	True	False	False
1050	2	131.25	55	1	G	0	2.0	2	True	2	2	1	1	1/8	True	-3	27	68	26	26b	3	525/2	False	True	PAC	PAC	}	True	158	i/iii|PAC}		Eb	I		i/iii	i				iii	m	False	False	(4, 1, 5)	()	4	4	major	major	I	I, major	i/iii	iii	iii/I	iii	True	i/iii	i/iii, major		i/iii, major	iii	iii	i	1	3	-3	-3	1	1	1	G	G	Eb	G	minor triad	0	True	True	True	True	True	4	4	0	3	True	True	True
1052	2	131.5	50	2	D	0	2.25	0	False	2	2	1	1	1/8	True	-3	27	68	26	26b	3	263	False	False				False	158	i/iii|PAC}		Eb	I		i/iii	i				iii	m	False	False	(4, 1, 5)	()	4	4	major	major	I	I, major	i/iii	iii	iii/I	iii	True	i/iii	i/iii, major		i/iii, major	iii	iii	i	1	3	-3	-3	1	1	1	G	G	Eb	G	minor triad	0	True	True	True	True	True	5	5	1	7	True	False	False
1054	2	131.75	43	1	G	0	2.5	0	False	2	2	1	1	1/8	True	-3	27	68	26	26b	2	527/2	False	False				False	158	i/iii|PAC}		Eb	I		i/iii	i				iii	m	False	False	(4, 1, 5)	()	4	4	major	major	I	I, major	i/iii	iii	iii/I	iii	True	i/iii	i/iii, major		i/iii, major	iii	iii	i	1	3	-3	-3	1	1	1	G	G	Eb	G	minor triad	0	True	True	True	True	True	4	4	0	3	True	True	True
1056	1	132.0	58	-2	B	-1	2.75	0	False	2	2	1	1	1/16	True	-3	27	68	26	26b	3	264	False	True			{	False	159	iio6/ii{		Eb	I		iio6/ii	ii	o	6		ii	o	False	False	(1, -2, 4)	()	4	1	major	major	I	I, major	ii/ii	ii	ii/I	ii	True	iio6/ii	iio6/ii, major		iio6/ii, major	ii	ii	iio	2	2	-3	-3	-1	1	-2	G	Bb	Eb	F	diminished triad	1	True	True	True	True	True	1	1	-1	5	True	False	True
1057	1	132.125	60	0	C	0	2.875	0	False	2	2	1	1	1/16	True	-3	27	68	26	26b	4	1057/4	False	False				False	159	iio6/ii{		Eb	I		iio6/ii	ii	o	6		ii	o	False	False	(1, -2, 4)	()	4	1	major	major	I	I, major	ii/ii	ii	ii/I	ii	True	iio6/ii	iio6/ii, major		iio6/ii, major	ii	ii	iio	2	2	-3	-3	-1	1	-2	G	Bb	Eb	F	diminished triad	1	True	True	True	True	True	3	3	1	6	False	False	False
1058	1	132.25	61	-5	D	-1	1.0	1	True	2	2	1	1	1/16	True	-3	28	69	27	27b	4	529/2	False	False				False	159	iio6/ii{		Eb	I		iio6/ii	ii	o	6		ii	o	False	False	(1, -2, 4)	()	4	1	major	major	I	I, major	ii/ii	ii	ii/I	ii	True	iio6/ii	iio6/ii, major		iio6/ii, major	ii	ii	iio	2	2	-3	-3	-1	1	-2	G	Bb	Eb	F	diminished triad	1	True	True	True	True	True	-2	-2	-4	b7	True	False	False
1059	1	132.375	60	0	C	0	1.125	0	False	2	2	1	1	1/16	True	-3	28	69	27	27b	4	1059/4	False	False				False	159	iio6/ii{		Eb	I		iio6/ii	ii	o	6		ii	o	False	False	(1, -2, 4)	()	4	1	major	major	I	I, major	ii/ii	ii	ii/I	ii	True	iio6/ii	iio6/ii, major		iio6/ii, major	ii	ii	iio	2	2	-3	-3	-1	1	-2	G	Bb	Eb	F	diminished triad	1	True	True	True	True	True	3	3	1	6	False	False	False
1060	1	132.5	61	-5	D	-1	1.25	0	False	2	2	1	1	1/16	True	-3	28	69	27	27b	4	265	False	False				False	159	iio6/ii{		Eb	I		iio6/ii	ii	o	6		ii	o	False	False	(1, -2, 4)	()	4	1	major	major	I	I, major	ii/ii	ii	ii/I	ii	True	iio6/ii	iio6/ii, major		iio6/ii, major	ii	ii	iio	2	2	-3	-3	-1	1	-2	G	Bb	Eb	F	diminished triad	1	True	True	True	True	True	-2	-2	-4	b7	True	False	False
1061	1	132.625	60	0	C	0	1.375	0	False	2	2	1	1	1/16	True	-3	28	69	27	27b	4	1061/4	False	False				False	159	iio6/ii{		Eb	I		iio6/ii	ii	o	6		ii	o	False	False	(1, -2, 4)	()	4	1	major	major	I	I, major	ii/ii	ii	ii/I	ii	True	iio6/ii	iio6/ii, major		iio6/ii, major	ii	ii	iio	2	2	-3	-3	-1	1	-2	G	Bb	Eb	F	diminished triad	1	True	True	True	True	True	3	3	1	6	False	False	False
1062	1	132.75	58	-2	B	-1	1.5	0	False	2	2	1	1	1/16	True	-3	28	69	27	27b	3	531/2	False	False				False	159	iio6/ii{		Eb	I		iio6/ii	ii	o	6		ii	o	False	False	(1, -2, 4)	()	4	1	major	major	I	I, major	ii/ii	ii	ii/I	ii	True	iio6/ii	iio6/ii, major		iio6/ii, major	ii	ii	iio	2	2	-3	-3	-1	1	-2	G	Bb	Eb	F	diminished triad	1	True	True	True	True	True	1	1	-1	5	True	False	True
1063	1	132.875	56	-4	A	-1	1.625	0	False	2	2	1	1	1/16	True	-3	28	69	27	27b	3	1063/4	False	False				False	159	iio6/ii{		Eb	I		iio6/ii	ii	o	6		ii	o	False	False	(1, -2, 4)	()	4	1	major	major	I	I, major	ii/ii	ii	ii/I	ii	True	iio6/ii	iio6/ii, major		iio6/ii, major	ii	ii	iio	2	2	-3	-3	-1	1	-2	G	Bb	Eb	F	diminished triad	1	True	True	True	True	True	-1	-1	-3	4	False	False	False
1064	1	133.0	58	-2	B	-1	1.75	0	False	2	2	1	1	1/16	True	-3	28	69	27	27b	3	266	False	False				False	159	iio6/ii{		Eb	I		iio6/ii	ii	o	6		ii	o	False	False	(1, -2, 4)	()	4	1	major	major	I	I, major	ii/ii	ii	ii/I	ii	True	iio6/ii	iio6/ii, major		iio6/ii, major	ii	ii	iio	2	2	-3	-3	-1	1	-2	G	Bb	Eb	F	diminished triad	1	True	True	True	True	True	1	1	-1	5	True	False	True
1065	1	133.125	56	-4	A	-1	1.875	0	False	2	2	1	1	1/16	True	-3	28	69	27	27b	3	1065/4	False	False				False	159	iio6/ii{		Eb	I		iio6/ii	ii	o	6		ii	o	False	False	(1, -2, 4)	()	4	1	major	major	I	I, major	ii/ii	ii	ii/I	ii	True	iio6/ii	iio6/ii, major		iio6/ii, major	ii	ii	iio	2	2	-3	-3	-1	1	-2	G	Bb	Eb	F	diminished triad	1	True	True	True	True	True	-1	-1	-3	4	False	False	False
1066	1	133.25	55	1	G	0	2.0	2	True	2	2	1	1	1/16	True	-3	28	69	27	27b	3	533/2	False	True				False	160	#viio/ii		Eb	I		#viio/ii	#vii	o			ii	o	False	False	(7, 4, 1)	()	7	7	major	major	I	I, major	#vii/ii	ii	ii/I	ii	True	#viio/ii	#viio/ii, major		#viio/ii, major	ii	ii	viio	#7	2	-3	-3	-1	4	4	E	E	Eb	F	diminished triad	0	True	True	True	True	True	4	4	2	3	True	False	False
1067	1	133.375	53	-1	F	0	2.125	0	False	2	2	1	1	1/16	True	-3	28	69	27	27b	3	1067/4	False	False				False	160	#viio/ii		Eb	I		#viio/ii	#vii	o			ii	o	False	False	(7, 4, 1)	()	7	7	major	major	I	I, major	#vii/ii	ii	ii/I	ii	True	#viio/ii	#viio/ii, major		#viio/ii, major	ii	ii	viio	#7	2	-3	-3	-1	4	4	E	E	Eb	F	diminished triad	0	True	True	True	True	True	2	2	0	2	False	False	False
1068	1	133.5	55	1	G	0	2.25	0	False	2	2	1	1	1/16	True	-3	28	69	27	27b	3	267	False	False				False	160	#viio/ii		Eb	I		#viio/ii	#vii	o			ii	o	False	False	(7, 4, 1)	()	7	7	major	major	I	I, major	#vii/ii	ii	ii/I	ii	True	#viio/ii	#viio/ii, major		#viio/ii, major	ii	ii	viio	#7	2	-3	-3	-1	4	4	E	E	Eb	F	diminished triad	0	True	True	True	True	True	4	4	2	3	True	False	False
1069	1	133.625	53	-1	F	0	2.375	0	False	2	2	1	1	1/16	True	-3	28	69	27	27b	3	1069/4	False	False				False	160	#viio/ii		Eb	I		#viio/ii	#vii	o			ii	o	False	False	(7, 4, 1)	()	7	7	major	major	I	I, major	#vii/ii	ii	ii/I	ii	True	#viio/ii	#viio/ii, major		#viio/ii, major	ii	ii	viio	#7	2	-3	-3	-1	4	4	E	E	Eb	F	diminished triad	0	True	True	True	True	True	2	2	0	2	False	False	False
1070	1	133.75	52	4	E	0	2.5	0	False	2	2	1	1	1/16	True	-3	28	69	27	27b	3	535/2	False	False				False	160	#viio/ii		Eb	I		#viio/ii	#vii	o			ii	o	False	False	(7, 4, 1)	()	7	7	major	major	I	I, major	#vii/ii	ii	ii/I	ii	True	#viio/ii	#viio/ii, major		#viio/ii, major	ii	ii	viio	#7	2	-3	-3	-1	4	4	E	E	Eb	F	diminished triad	0	True	True	True	True	True	7	7	5	#1	True	True	True
1071	1	133.875	55	1	G	0	2.625	0	False	2	2	1	1	1/16	True	-3	28	69	27	27b	3	1071/4	False	False				False	160	#viio/ii		Eb	I		#viio/ii	#vii	o			ii	o	False	False	(7, 4, 1)	()	7	7	major	major	I	I, major	#vii/ii	ii	ii/I	ii	True	#viio/ii	#viio/ii, major		#viio/ii, major	ii	ii	viio	#7	2	-3	-3	-1	4	4	E	E	Eb	F	diminished triad	0	True	True	True	True	True	4	4	2	3	True	False	False
