onset_div	duration_div	onset_beat	pitch	tpc	step	alter	beat_float	downbeat	is_downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	a_isOnset	cadence	cadence_type	phraseend	a_phraseend	unfolded_harmony_index	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	a_simpleNumeral	a_degree1	a_degree2	globalkey_tpc	localkey_tpc	tonicized_tpc	root_tpc	bass_note_tpc	a_root	a_bass	a_localKey	a_tonicizedKey	a_quality	a_inversion	valid_chord_label	valid_cadence_label	valid_phrase_label	valid_pedal_point_label	valid_section_start_label	sic_with_global	sic_with_local	sic_with_tonicized	note_degree	tpc_is_in_label	tpc_is_root	tpc_is_bass
0	8	0.0	60	0	C	0	1.0	1	True	3	4	1	2	1/8	True	0	1	1	1	1a	4	0	True	True			{	False	0		C.I{		C	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		0	0	0	0	0	C	C	C	C	major triad	0	True	False	True	True	True	0	0	0	1	True	True	True
0	16	0.0	64	4	E	0	1.0	1	True	3	4	1	1	1/4	True	0	1	1	1	1a	4	0	True	True			{	False	0		C.I{		C	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		0	0	0	0	0	C	C	C	C	major triad	0	True	False	True	True	True	4	4	4	3	True	False	False
8	8	0.5	60	0	C	0	1.5	0	False	3	4	1	2	1/8	True	0	1	1	1	1a	4	1/2	False	False				False	0		C.I{		C	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		0	0	0	0	0	C	C	C	C	major triad	0	True	False	True	True	True	0	0	0	1	True	True	True
16	8	1.0	60	0	C	0	2.0	2	True	3	4	1	2	1/8	True	0	1	1	1	1a	4	1	False	False				False	0		C.I{		C	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		0	0	0	0	0	C	C	C	C	major triad	0	True	False	True	True	True	0	0	0	1	True	True	True
24	8	1.5	60	0	C	0	2.5	0	False	3	4	1	2	1/8	True	0	1	1	1	1a	4	3/2	False	False				False	0		C.I{		C	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		0	0	0	0	0	C	C	C	C	major triad	0	True	False	True	True	True	0	0	0	1	True	True	True
24	8	1.5	64	4	E	0	2.5	0	False	3	4	1	1	1/8	True	0	1	1	1	1a	4	3/2	False	False				False	0		C.I{		C	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		0	0	0	0	0	C	C	C	C	major triad	0	True	False	True	True	True	4	4	4	3	True	False	False
32	8	2.0	60	0	C	0	3.0	3	True	3	4	1	2	1/8	True	0	1	1	1	1a	4	2	False	False				False	0		C.I{		C	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		0	0	0	0	0	C	C	C	C	major triad	0	True	False	True	True	True	0	0	0	1	True	True	True
32	4	2.0	65	-1	F	0	3.0	3	True	3	4	1	1	1/16	True	0	1	1	1	1a	4	2	False	False				False	0		C.I{		C	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		0	0	0	0	0	C	C	C	C	major triad	0	True	False	True	True	True	-1	-1	-1	4	False	False	False
36	4	2.25	64	4	E	0	3.25	0	False	3	4	1	1	1/16	True	0	1	1	1	1a	4	9/4	False	False				False	0		C.I{		C	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		0	0	0	0	0	C	C	C	C	major triad	0	True	False	True	True	True	4	4	4	3	True	False	False
40	8	2.5	60	0	C	0	3.5	0	False	3	4	1	2	1/8	True	0	1	1	1	1a	4	5/2	False	False				False	0		C.I{		C	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		0	0	0	0	0	C	C	C	C	major triad	0	True	False	True	True	True	0	0	0	1	True	True	True
40	4	2.5	62	2	D	0	3.5	0	False	3	4	1	1	1/16	True	0	1	1	1	1a	4	5/2	False	False				False	0		C.I{		C	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		0	0	0	0	0	C	C	C	C	major triad	0	True	False	True	True	True	2	2	2	2	False	False	False
44	4	2.75	60	0	C	0	3.75	0	False	3	4	1	1	1/16	True	0	1	1	1	1a	4	11/4	False	False				False	0		C.I{		C	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		0	0	0	0	0	C	C	C	C	major triad	0	True	False	True	True	True	0	0	0	1	True	True	True
48	8	3.0	59	5	B	0	1.0	1	True	3	4	1	2	1/8	True	0	2	2	2	2a	3	3	False	True				False	1		V6		C	I		V6	V		6			M	False	False	(5, 2, 1)	()	1	5	major	major	I	I, major	V		I	I	False	V6	V6, major		V6, major		V	V	5		0	0	0	1	5	G	B	C	C	major triad	1	True	False	True	True	True	5	5	5	7	True	False	True
48	4	3.0	67	1	G	0	1.0	1	True	3	4	1	1	1/16	True	0	2	2	2	2a	4	3	False	True				False	1		V6		C	I		V6	V		6			M	False	False	(5, 2, 1)	()	1	5	major	major	I	I, major	V		I	I	False	V6	V6, major		V6, major		V	V	5		0	0	0	1	5	G	B	C	C	major triad	1	True	False	True	True	True	1	1	1	5	True	True	False
52	4	3.25	62	2	D	0	1.25	0	False	3	4	1	1	1/16	True	0	2	2	2	2a	4	13/4	False	False				False	1		V6		C	I		V6	V		6			M	False	False	(5, 2, 1)	()	1	5	major	major	I	I, major	V		I	I	False	V6	V6, major		V6, major		V	V	5		0	0	0	1	5	G	B	C	C	major triad	1	True	False	True	True	True	2	2	2	2	True	False	False
56	8	3.5	59	5	B	0	1.5	0	False	3	4	1	2	1/8	True	0	2	2	2	2a	3	7/2	False	True				False	2		viio		C	I		viio	vii	o				o	False	False	(5, 2, -1)	()	5	5	major	major	I	I, major	vii		I	I	False	viio	viio, major		viio, major		vii	viio	7		0	0	0	5	5	B	B	C	C	diminished triad	0	True	False	True	True	True	5	5	5	7	True	True	True
56	8	3.5	65	-1	F	0	1.5	0	False	3	4	1	1	1/8	True	0	2	2	2	2a	4	7/2	False	True				False	2		viio		C	I		viio	vii	o				o	False	False	(5, 2, -1)	()	5	5	major	major	I	I, major	vii		I	I	False	viio	viio, major		viio, major		vii	viio	7		0	0	0	5	5	B	B	C	C	diminished triad	0	True	False	True	True	True	-1	-1	-1	4	True	False	False
64	8	4.0	59	5	B	0	2.0	2	True	3	4	1	2	1/8	True	0	2	2	2	2a	3	4	False	False				False	2		viio		C	I		viio	vii	o				o	False	False	(5, 2, -1)	()	5	5	major	major	I	I, major	vii		I	I	False	viio	viio, major		viio, major		vii	viio	7		0	0	0	5	5	B	B	C	C	diminished triad	0	True	False	True	True	True	5	5	5	7	True	True	True
