onset_div	duration_div	onset_beat	pitch	tpc	step	alter	beat_float	downbeat	is_downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	a_isOnset	cadence	cadence_type	phraseend	a_phraseend	unfolded_harmony_index	volta	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	a_simpleNumeral	a_degree1	a_degree2	globalkey_tpc	localkey_tpc	tonicized_tpc	root_tpc	bass_note_tpc	a_root	a_bass	a_localKey	a_tonicizedKey	a_quality	a_inversion	valid_chord_label	valid_cadence_label	valid_phrase_label	valid_pedal_point_label	valid_section_start_label	sic_with_global	sic_with_local	sic_with_tonicized	note_degree	tpc_is_in_label	tpc_is_root	tpc_is_bass
0	4	0.0	50	2	D	0	1.0	1	True	4	4	4	1	1/4	True	2	1	1	1	1a	3	0	True	True				False	0		D.I		D	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		2	2	2	2	2	D	D	D	D	major triad	0	True	False	True	True	True	0	0	0	1	True	True	True
0	8	0.0	57	3	A	0	1.0	1	True	4	4	3	1	1/2	True	2	1	1	1	1a	3	0	True	True				False	0		D.I		D	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		2	2	2	2	2	D	D	D	D	major triad	0	True	False	True	True	True	1	1	1	5	True	False	False
0	8	0.0	62	2	D	0	1.0	1	True	4	4	1	1	1/2	True	2	1	1	1	1a	4	0	True	True				False	0		D.I		D	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		2	2	2	2	2	D	D	D	D	major triad	0	True	False	True	True	True	0	0	0	1	True	True	True
0	8	0.0	62	2	D	0	1.0	1	True	4	4	2	1	1/2	True	2	1	1	1	1a	4	0	True	True				False	0		D.I		D	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		2	2	2	2	2	D	D	D	D	major triad	0	True	False	True	True	True	0	0	0	1	True	True	True
0	8	0.0	66	6	F	1	1.0	1	True	4	4	3	1	1/2	True	2	1	1	1	1a	4	0	True	True				False	0		D.I		D	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		2	2	2	2	2	D	D	D	D	major triad	0	True	False	True	True	True	4	4	4	3	True	False	False
0	8	0.0	69	3	A	0	1.0	1	True	4	4	2	1	1/2	True	2	1	1	1	1a	4	0	True	True				False	0		D.I		D	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		2	2	2	2	2	D	D	D	D	major triad	0	True	False	True	True	True	1	1	1	5	True	False	False
4	4	1.0	38	2	D	0	2.0	2	True	4	4	4	1	1/4	True	2	1	1	1	1a	2	1	False	False				False	0		D.I		D	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		2	2	2	2	2	D	D	D	D	major triad	0	True	False	True	True	True	0	0	0	1	True	True	True
8	8	2.0	57	3	A	0	3.0	3	True	4	4	3	1	1/2	True	2	1	1	1	1a	3	2	False	False				False	0		D.I		D	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		2	2	2	2	2	D	D	D	D	major triad	0	True	False	True	True	True	1	1	1	5	True	False	False
8	8	2.0	62	2	D	0	3.0	3	True	4	4	2	1	1/2	True	2	1	1	1	1a	4	2	False	False				False	0		D.I		D	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		2	2	2	2	2	D	D	D	D	major triad	0	True	False	True	True	True	0	0	0	1	True	True	True
8	8	2.0	66	6	F	1	3.0	3	True	4	4	3	1	1/2	True	2	1	1	1	1a	4	2	False	False				False	0		D.I		D	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		2	2	2	2	2	D	D	D	D	major triad	0	True	False	True	True	True	4	4	4	3	True	False	False
8	8	2.0	69	3	A	0	3.0	3	True	4	4	2	1	1/2	True	2	1	1	1	1a	4	2	False	False				False	0		D.I		D	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		2	2	2	2	2	D	D	D	D	major triad	0	True	False	True	True	True	1	1	1	5	True	False	False
12	1	3.0	74	2	D	0	4.0	4	True	4	4	1	1	1/16	True	2	1	1	1	1a	5	3	False	False				False	0		D.I		D	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		2	2	2	2	2	D	D	D	D	major triad	0	True	False	True	True	True	0	0	0	1	True	True	True
13	1	3.25	78	6	F	1	4.25	0	False	4	4	1	1	1/16	True	2	1	1	1	1a	5	13/4	False	False				False	0		D.I		D	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		2	2	2	2	2	D	D	D	D	major triad	0	True	False	True	True	True	4	4	4	3	True	False	False
14	1	3.5	81	3	A	0	4.5	0	False	4	4	1	1	1/16	True	2	1	1	1	1a	5	7/2	False	False				False	0		D.I		D	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		2	2	2	2	2	D	D	D	D	major triad	0	True	False	True	True	True	1	1	1	5	True	False	False
15	1	3.75	86	2	D	0	4.75	0	False	4	4	1	1	1/16	True	2	1	1	1	1a	6	15/4	False	False				False	0		D.I		D	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		2	2	2	2	2	D	D	D	D	major triad	0	True	False	True	True	True	0	0	0	1	True	True	True
16	4	4.0	50	2	D	0	1.0	1	True	4	4	4	1	1/4	True	2	2	2	2	2a	3	4	True	False				False	0		D.I		D	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		2	2	2	2	2	D	D	D	D	major triad	0	True	False	True	True	True	0	0	0	1	True	True	True
16	8	4.0	57	3	A	0	1.0	1	True	4	4	3	1	1/2	True	2	2	2	2	2a	3	4	True	False				False	0		D.I		D	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		2	2	2	2	2	D	D	D	D	major triad	0	True	False	True	True	True	1	1	1	5	True	False	False
16	8	4.0	62	2	D	0	1.0	1	True	4	4	2	1	1/2	True	2	2	2	2	2a	4	4	True	False				False	0		D.I		D	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		2	2	2	2	2	D	D	D	D	major triad	0	True	False	True	True	True	0	0	0	1	True	True	True
16	8	4.0	66	6	F	1	1.0	1	True	4	4	3	1	1/2	True	2	2	2	2	2a	4	4	True	False				False	0		D.I		D	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		2	2	2	2	2	D	D	D	D	major triad	0	True	False	True	True	True	4	4	4	3	True	False	False
16	8	4.0	69	3	A	0	1.0	1	True	4	4	2	1	1/2	True	2	2	2	2	2a	4	4	True	False				False	0		D.I		D	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		2	2	2	2	2	D	D	D	D	major triad	0	True	False	True	True	True	1	1	1	5	True	False	False
16	6	4.0	90	6	F	1	1.0	1	True	4	4	1	1	3/8	True	2	2	2	2	2a	6	4	True	False				False	0		D.I		D	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		2	2	2	2	2	D	D	D	D	major triad	0	True	False	True	True	True	4	4	4	3	True	False	False
20	4	5.0	38	2	D	0	2.0	2	True	4	4	4	1	1/4	True	2	2	2	2	2a	2	5	False	False				False	0		D.I		D	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		2	2	2	2	2	D	D	D	D	major triad	0	True	False	True	True	True	0	0	0	1	True	True	True
22	2	5.5	88	4	E	0	2.5	0	False	4	4	1	1	1/8	True	2	2	2	2	2a	6	11/2	False	False				False	0		D.I		D	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		2	2	2	2	2	D	D	D	D	major triad	0	True	False	True	True	True	2	2	2	2	False	False	False
24	8	6.0	57	3	A	0	3.0	3	True	4	4	3	1	1/2	True	2	2	2	2	2a	3	6	False	False				False	0		D.I		D	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		2	2	2	2	2	D	D	D	D	major triad	0	True	False	True	True	True	1	1	1	5	True	False	False
24	8	6.0	62	2	D	0	3.0	3	True	4	4	2	1	1/2	True	2	2	2	2	2a	4	6	False	False				False	0		D.I		D	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		2	2	2	2	2	D	D	D	D	major triad	0	True	False	True	True	True	0	0	0	1	True	True	True
24	8	6.0	66	6	F	1	3.0	3	True	4	4	3	1	1/2	True	2	2	2	2	2a	4	6	False	False				False	0		D.I		D	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		2	2	2	2	2	D	D	D	D	major triad	0	True	False	True	True	True	4	4	4	3	True	False	False
24	8	6.0	69	3	A	0	3.0	3	True	4	4	2	1	1/2	True	2	2	2	2	2a	4	6	False	False				False	0		D.I		D	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		2	2	2	2	2	D	D	D	D	major triad	0	True	False	True	True	True	1	1	1	5	True	False	False
24	6	6.0	86	2	D	0	3.0	3	True	4	4	1	1	3/8	True	2	2	2	2	2a	6	6	False	False				False	0		D.I		D	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		2	2	2	2	2	D	D	D	D	major triad	0	True	False	True	True	True	0	0	0	1	True	True	True
30	2	7.5	81	3	A	0	4.5	0	False	4	4	1	1	1/8	True	2	2	2	2	2a	5	15/2	False	False				False	0		D.I		D	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		2	2	2	2	2	D	D	D	D	major triad	0	True	False	True	True	True	1	1	1	5	True	False	False
32	8	8.0	57	3	A	0	1.0	1	True	4	4	3	1	1/2	True	2	3	3	3	3a	3	8	False	False				False	0		D.I		D	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		2	2	2	2	2	D	D	D	D	major triad	0	True	False	True	True	True	1	1	1	5	True	False	False
32	4	8.0	62	2	D	0	1.0	1	True	4	4	4	1	1/4	True	2	3	3	3	3a	4	8	False	False				False	0		D.I		D	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		2	2	2	2	2	D	D	D	D	major triad	0	True	False	True	True	True	0	0	0	1	True	True	True
32	8	8.0	62	2	D	0	1.0	1	True	4	4	2	1	1/2	True	2	3	3	3	3a	4	8	False	False				False	0		D.I		D	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		2	2	2	2	2	D	D	D	D	major triad	0	True	False	True	True	True	0	0	0	1	True	True	True
32	8	8.0	66	6	F	1	1.0	1	True	4	4	3	1	1/2	True	2	3	3	3	3a	4	8	False	False				False	0		D.I		D	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		2	2	2	2	2	D	D	D	D	major triad	0	True	False	True	True	True	4	4	4	3	True	False	False
32	8	8.0	69	3	A	0	1.0	1	True	4	4	2	1	1/2	True	2	3	3	3	3a	4	8	False	False				False	0		D.I		D	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		2	2	2	2	2	D	D	D	D	major triad	0	True	False	True	True	True	1	1	1	5	True	False	False
32	6	8.0	78	6	F	1	1.0	1	True	4	4	1	1	3/8	True	2	3	3	3	3a	5	8	False	False				False	0		D.I		D	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		2	2	2	2	2	D	D	D	D	major triad	0	True	False	True	True	True	4	4	4	3	True	False	False
36	4	9.0	50	2	D	0	2.0	2	True	4	4	4	1	1/4	True	2	3	3	3	3a	3	9	False	False				False	0		D.I		D	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		2	2	2	2	2	D	D	D	D	major triad	0	True	False	True	True	True	0	0	0	1	True	True	True
38	2	9.5	76	4	E	0	2.5	0	False	4	4	1	1	1/8	True	2	3	3	3	3a	5	19/2	False	False				False	0		D.I		D	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		2	2	2	2	2	D	D	D	D	major triad	0	True	False	True	True	True	2	2	2	2	False	False	False
40	8	10.0	57	3	A	0	3.0	3	True	4	4	3	1	1/2	True	2	3	3	3	3a	3	10	False	False				False	0		D.I		D	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		2	2	2	2	2	D	D	D	D	major triad	0	True	False	True	True	True	1	1	1	5	True	False	False
40	8	10.0	62	2	D	0	3.0	3	True	4	4	2	1	1/2	True	2	3	3	3	3a	4	10	False	False				False	0		D.I		D	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		2	2	2	2	2	D	D	D	D	major triad	0	True	False	True	True	True	0	0	0	1	True	True	True
40	8	10.0	66	6	F	1	3.0	3	True	4	4	3	1	1/2	True	2	3	3	3	3a	4	10	False	False				False	0		D.I		D	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		2	2	2	2	2	D	D	D	D	major triad	0	True	False	True	True	True	4	4	4	3	True	False	False
40	8	10.0	69	3	A	0	3.0	3	True	4	4	2	1	1/2	True	2	3	3	3	3a	4	10	False	False				False	0		D.I		D	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		2	2	2	2	2	D	D	D	D	major triad	0	True	False	True	True	True	1	1	1	5	True	False	False
40	6	10.0	74	2	D	0	3.0	3	True	4	4	1	1	3/8	True	2	3	3	3	3a	5	10	False	False				False	0		D.I		D	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		2	2	2	2	2	D	D	D	D	major triad	0	True	False	True	True	True	0	0	0	1	True	True	True
46	2	11.5	69	3	A	0	4.5	0	False	4	4	1	1	1/8	True	2	3	3	3	3a	4	23/2	False	False				False	0		D.I		D	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		2	2	2	2	2	D	D	D	D	major triad	0	True	False	True	True	True	1	1	1	5	True	False	False
48	4	12.0	62	2	D	0	1.0	1	True	4	4	4	1	1/4	True	2	4	4	4	4a	4	12	False	True				False	1		ii%43/iii		D	I		ii%43/iii		ii	%	43		iii	%7	False	False	(0, 4, 6, 3)	()	6	0	major	major	I	I, major	ii/iii	iii	iii/I	iii	True	ii%43/iii	ii%43/iii, major		ii%43/iii, major	iii	iii	ii%7	2	3	2	2	6	8	2	G#	D	D	F#	half-diminished seventh chord	2	True	False	True	True	True	0	0	-4	1	True	False	True
48	8	12.0	66	6	F	1	1.0	1	True	4	4	3	1	1/2	True	2	4	4	4	4a	4	12	False	True				False	1		ii%43/iii		D	I		ii%43/iii		ii	%	43		iii	%7	False	False	(0, 4, 6, 3)	()	6	0	major	major	I	I, major	ii/iii	iii	iii/I	iii	True	ii%43/iii	ii%43/iii, major		ii%43/iii, major	iii	iii	ii%7	2	3	2	2	6	8	2	G#	D	D	F#	half-diminished seventh chord	2	True	False	True	True	True	4	4	0	3	True	False	False
48	8	12.0	68	8	G	1	1.0	1	True	4	4	2	1	1/2	True	2	4	4	4	4a	4	12	False	True				False	1		ii%43/iii		D	I		ii%43/iii		ii	%	43		iii	%7	False	False	(0, 4, 6, 3)	()	6	0	major	major	I	I, major	ii/iii	iii	iii/I	iii	True	ii%43/iii	ii%43/iii, major		ii%43/iii, major	iii	iii	ii%7	2	3	2	2	6	8	2	G#	D	D	F#	half-diminished seventh chord	2	True	False	True	True	True	6	6	2	#4	True	True	False
