onset_div	duration_div	onset_beat	pitch	tpc	step	alter	beat_float	downbeat	is_downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	a_isOnset	cadence	cadence_type	cadence_subtype	phraseend	a_phraseend	unfolded_harmony_index	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	a_simpleNumeral	a_degree1	a_degree2	globalkey_tpc	localkey_tpc	tonicized_tpc	root_tpc	bass_note_tpc	a_root	a_bass	a_localKey	a_tonicizedKey	a_quality	a_inversion	valid_chord_label	valid_cadence_label	valid_phrase_label	valid_pedal_point_label	valid_section_start_label	sic_with_global	sic_with_local	sic_with_tonicized	note_degree	tpc_is_in_label	tpc_is_root	tpc_is_bass
752	4	188.0	74	2	D	0	3.0	3	True	3	8	1	1	1/8	True	1	22	65	20	20b	5	94	False	False					False	151		iv64{	e	iv		iv64	iv		64			m	True	True	(0, -1, -4)	()	-1	0	minor	minor	iv	iv, minor	iv		iv	iv	True	iv64	iv64, minor		iv64, minor		iv	iv	4		4	3	3	2	3	D	A	A	A	minor triad	2	True	True	True	True	True	-2	-1	-1	4	True	True	False
756	0	189.0	72	0	C	0	1.0	1	True	3	8	1	1	0	True	1	23	66	21	21b	5	189/2	False	True					False	152		V7/III	e	iv		V7/III	V		7		III	Mm7	True	True	(-2, 2, -1, -4)	()	-2	-2	minor	minor	iv	iv, minor	V/III	III	III/iv	VI	False	V7/III	V7/III, minor		V7/III, minor	III	III	V7	5	3	4	3	0	1	1	G	G	A	C	dominant seventh chord	7	True	True	True	True	True	-4	-3	0	3	False	False	False
756	8	189.0	43	1	G	0	1.0	1	True	3	8	2	1	1/4	True	1	23	66	21	21b	2	189/2	False	True					False	152		V7/III	e	iv		V7/III	V		7		III	Mm7	True	True	(-2, 2, -1, -4)	()	-2	-2	minor	minor	iv	iv, minor	V/III	III	III/iv	VI	False	V7/III	V7/III, minor		V7/III, minor	III	III	V7	5	3	4	3	0	1	1	G	G	A	C	dominant seventh chord	7	True	True	True	True	True	-3	-2	1	7	True	True	True
756	4	189.0	71	5	B	0	1.0	1	True	3	8	1	1	1/8	True	1	23	66	21	21b	4	189/2	False	True					False	152		V7/III	e	iv		V7/III	V		7		III	Mm7	True	True	(-2, 2, -1, -4)	()	-2	-2	minor	minor	iv	iv, minor	V/III	III	III/iv	VI	False	V7/III	V7/III, minor		V7/III, minor	III	III	V7	5	3	4	3	0	1	1	G	G	A	C	dominant seventh chord	7	True	True	True	True	True	1	2	5	2	True	False	False
760	4	190.0	76	4	E	0	2.0	2	True	3	8	1	1	1/8	True	1	23	66	21	21b	5	95	False	True					False	153		III64	e	iv		III64	III		64			M	True	True	(-2, -3, 1)	()	-3	-2	minor	minor	iv	iv, minor	III		iv	iv	True	III64	III64, minor		III64, minor		III	III	3		4	3	3	0	1	C	G	A	A	major triad	2	True	True	True	True	True	0	1	1	5	True	False	False
764	0	191.0	74	2	D	0	3.0	3	True	3	8	1	1	0	True	1	23	66	21	21b	5	191/2	False	False					False	153		III64	e	iv		III64	III		64			M	True	True	(-2, -3, 1)	()	-3	-2	minor	minor	iv	iv, minor	III		iv	iv	True	III64	III64, minor		III64, minor		III	III	3		4	3	3	0	1	C	G	A	A	major triad	2	True	True	True	True	True	-2	-1	-1	4	False	False	False
764	4	191.0	72	0	C	0	3.0	3	True	3	8	1	1	1/8	True	1	23	66	21	21b	5	191/2	False	False					False	153		III64	e	iv		III64	III		64			M	True	True	(-2, -3, 1)	()	-3	-2	minor	minor	iv	iv, minor	III		iv	iv	True	III64	III64, minor		III64, minor		III	III	3		4	3	3	0	1	C	G	A	A	major triad	2	True	True	True	True	True	-4	-3	-3	3	True	True	False
768	4	192.0	41	-1	F	0	1.0	1	True	3	8	2	1	1/8	True	1	24	67	22	22b	2	96	False	True					False	154		VIM7	e	iv		VIM7	VI	M	7			MM7	True	True	(-4, 0, -3, 1)	()	-4	-4	minor	minor	iv	iv, minor	VI		iv	iv	True	VIM7	VIM7, minor		VIM7, minor		VI	VI7	6		4	3	3	-1	-1	F	F	A	A	major seventh chord	7	True	True	True	True	True	-5	-4	-4	6	True	True	True
768	6	192.0	69	3	A	0	1.0	1	True	3	8	1	1	3/16	True	1	24	67	22	22b	4	96	False	True					False	154		VIM7	e	iv		VIM7	VI	M	7			MM7	True	True	(-4, 0, -3, 1)	()	-4	-4	minor	minor	iv	iv, minor	VI		iv	iv	True	VIM7	VIM7, minor		VIM7, minor		VI	VI7	6		4	3	3	-1	-1	F	F	A	A	major seventh chord	7	True	True	True	True	True	-1	0	0	1	True	False	False
772	2	193.0	53	-1	F	0	2.0	2	True	3	8	2	1	1/16	True	1	24	67	22	22b	3	193/2	False	False					False	154		VIM7	e	iv		VIM7	VI	M	7			MM7	True	True	(-4, 0, -3, 1)	()	-4	-4	minor	minor	iv	iv, minor	VI		iv	iv	True	VIM7	VIM7, minor		VIM7, minor		VI	VI7	6		4	3	3	-1	-1	F	F	A	A	major seventh chord	7	True	True	True	True	True	-5	-4	-4	6	True	True	True
