onset_div	duration_div	onset_beat	pitch	tpc	step	alter	beat_float	downbeat	is_downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	a_isOnset	cadence	cadence_type	cadence_subtype	phraseend	a_phraseend	unfolded_harmony_index	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	a_simpleNumeral	a_degree1	a_degree2	globalkey_tpc	localkey_tpc	tonicized_tpc	root_tpc	bass_note_tpc	a_root	a_bass	a_localKey	a_tonicizedKey	a_quality	a_inversion	valid_chord_label	valid_cadence_label	valid_phrase_label	valid_pedal_point_label	valid_section_start_label	sic_with_global	sic_with_local	sic_with_tonicized	note_degree	tpc_is_in_label	tpc_is_root	tpc_is_bass
0	6	0.0	52	4	E	0	1.0	1	True	3	4	2	1	1/8	True	1	1	1	1	1a	3	0	True	True				{	False	0		e.i{	e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		4	4	4	4	4	E	E	E	E	minor triad	0	True	True	True	True	True	0	0	0	1	True	True	True
0	12	0.0	79	1	G	0	1.0	1	True	3	4	1	1	1/4	True	1	1	1	1	1a	5	0	True	True				{	False	0		e.i{	e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		4	4	4	4	4	E	E	E	E	minor triad	0	True	True	True	True	True	-3	-3	-3	3	True	False	False
6	6	0.5	51	9	D	1	1.5	0	False	3	4	2	1	1/8	True	1	1	1	1	1a	3	1/2	False	False					False	0		e.i{	e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		4	4	4	4	4	E	E	E	E	minor triad	0	True	True	True	True	True	5	5	5	#7	False	False	False
12	6	1.0	52	4	E	0	2.0	2	True	3	4	2	1	1/8	True	1	1	1	1	1a	3	1	False	False					False	0		e.i{	e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		4	4	4	4	4	E	E	E	E	minor triad	0	True	True	True	True	True	0	0	0	1	True	True	True
12	18	1.0	64	4	E	0	2.0	2	True	3	4	1	1	3/8	True	1	1	1	1	1a	4	1	False	False					False	0		e.i{	e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		4	4	4	4	4	E	E	E	E	minor triad	0	True	True	True	True	True	0	0	0	1	True	True	True
18	6	1.5	54	6	F	1	2.5	0	False	3	4	2	1	1/8	True	1	1	1	1	1a	3	3/2	False	False					False	0		e.i{	e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		4	4	4	4	4	E	E	E	E	minor triad	0	True	True	True	True	True	2	2	2	2	False	False	False
24	6	2.0	55	1	G	0	3.0	3	True	3	4	2	1	1/8	True	1	1	1	1	1a	3	2	False	False					False	0		e.i{	e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		4	4	4	4	4	E	E	E	E	minor triad	0	True	True	True	True	True	-3	-3	-3	3	True	False	False
30	6	2.5	52	4	E	0	3.5	0	False	3	4	2	1	1/8	True	1	1	1	1	1a	3	5/2	False	False					False	0		e.i{	e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		4	4	4	4	4	E	E	E	E	minor triad	0	True	True	True	True	True	0	0	0	1	True	True	True
30	6	2.5	79	1	G	0	3.5	0	False	3	4	1	1	1/8	True	1	1	1	1	1a	5	5/2	False	False					False	0		e.i{	e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		4	4	4	4	4	E	E	E	E	minor triad	0	True	True	True	True	True	-3	-3	-3	3	True	False	False
36	0	3.0	79	1	G	0	1.0	1	True	3	4	1	1	0	True	1	2	2	2	2a	5	3	False	True					False	1		V43	e	i		V43	V		43			Mm7	True	True	(2, -1, 1, 5)	()	1	2	minor	minor	i	i, minor	V		i	i	True	V43	V43, minor		V43, minor		V	V7	5		4	4	4	5	6	B	F#	E	E	dominant seventh chord	2	True	True	True	True	True	-3	-3	-3	3	False	False	False
36	6	3.0	54	6	F	1	1.0	1	True	3	4	2	1	1/8	True	1	2	2	2	2a	3	3	False	True					False	1		V43	e	i		V43	V		43			Mm7	True	True	(2, -1, 1, 5)	()	1	2	minor	minor	i	i, minor	V		i	i	True	V43	V43, minor		V43, minor		V	V7	5		4	4	4	5	6	B	F#	E	E	dominant seventh chord	2	True	True	True	True	True	2	2	2	2	True	False	True
36	12	3.0	78	6	F	1	1.0	1	True	3	4	1	1	1/4	True	1	2	2	2	2a	5	3	False	True					False	1		V43	e	i		V43	V		43			Mm7	True	True	(2, -1, 1, 5)	()	1	2	minor	minor	i	i, minor	V		i	i	True	V43	V43, minor		V43, minor		V	V7	5		4	4	4	5	6	B	F#	E	E	dominant seventh chord	2	True	True	True	True	True	2	2	2	2	True	False	True
42	6	3.5	52	4	E	0	1.5	0	False	3	4	2	1	1/8	True	1	2	2	2	2a	3	7/2	False	False					False	1		V43	e	i		V43	V		43			Mm7	True	True	(2, -1, 1, 5)	()	1	2	minor	minor	i	i, minor	V		i	i	True	V43	V43, minor		V43, minor		V	V7	5		4	4	4	5	6	B	F#	E	E	dominant seventh chord	2	True	True	True	True	True	0	0	0	1	False	False	False
48	6	4.0	54	6	F	1	2.0	2	True	3	4	2	1	1/8	True	1	2	2	2	2a	3	4	False	False					False	1		V43	e	i		V43	V		43			Mm7	True	True	(2, -1, 1, 5)	()	1	2	minor	minor	i	i, minor	V		i	i	True	V43	V43, minor		V43, minor		V	V7	5		4	4	4	5	6	B	F#	E	E	dominant seventh chord	2	True	True	True	True	True	2	2	2	2	True	False	True
48	18	4.0	63	9	D	1	2.0	2	True	3	4	1	1	3/8	True	1	2	2	2	2a	4	4	False	False					False	1		V43	e	i		V43	V		43			Mm7	True	True	(2, -1, 1, 5)	()	1	2	minor	minor	i	i, minor	V		i	i	True	V43	V43, minor		V43, minor		V	V7	5		4	4	4	5	6	B	F#	E	E	dominant seventh chord	2	True	True	True	True	True	5	5	5	#7	True	False	False
54	6	4.5	55	1	G	0	2.5	0	False	3	4	2	1	1/8	True	1	2	2	2	2a	3	9/2	False	False					False	1		V43	e	i		V43	V		43			Mm7	True	True	(2, -1, 1, 5)	()	1	2	minor	minor	i	i, minor	V		i	i	True	V43	V43, minor		V43, minor		V	V7	5		4	4	4	5	6	B	F#	E	E	dominant seventh chord	2	True	True	True	True	True	-3	-3	-3	3	False	False	False
60	6	5.0	57	3	A	0	3.0	3	True	3	4	2	1	1/8	True	1	2	2	2	2a	3	5	False	False					False	1		V43	e	i		V43	V		43			Mm7	True	True	(2, -1, 1, 5)	()	1	2	minor	minor	i	i, minor	V		i	i	True	V43	V43, minor		V43, minor		V	V7	5		4	4	4	5	6	B	F#	E	E	dominant seventh chord	2	True	True	True	True	True	-1	-1	-1	4	True	False	False
66	6	5.5	54	6	F	1	3.5	0	False	3	4	2	1	1/8	True	1	2	2	2	2a	3	11/2	False	False					False	1		V43	e	i		V43	V		43			Mm7	True	True	(2, -1, 1, 5)	()	1	2	minor	minor	i	i, minor	V		i	i	True	V43	V43, minor		V43, minor		V	V7	5		4	4	4	5	6	B	F#	E	E	dominant seventh chord	2	True	True	True	True	True	2	2	2	2	True	False	True
66	6	5.5	79	1	G	0	3.5	0	False	3	4	1	1	1/8	True	1	2	2	2	2a	5	11/2	False	False					False	1		V43	e	i		V43	V		43			Mm7	True	True	(2, -1, 1, 5)	()	1	2	minor	minor	i	i, minor	V		i	i	True	V43	V43, minor		V43, minor		V	V7	5		4	4	4	5	6	B	F#	E	E	dominant seventh chord	2	True	True	True	True	True	-3	-3	-3	3	False	False	False
72	6	6.0	55	1	G	0	1.0	1	True	3	4	2	1	1/8	True	1	3	3	3	3a	3	6	False	True					False	2		i6	e	i		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	i	1		4	4	4	4	1	E	G	E	E	minor triad	1	True	True	True	True	True	-3	-3	-3	3	True	False	True
72	6	6.0	76	4	E	0	1.0	1	True	3	4	1	1	1/8	True	1	3	3	3	3a	5	6	False	True					False	2		i6	e	i		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	i	1		4	4	4	4	1	E	G	E	E	minor triad	1	True	True	True	True	True	0	0	0	1	True	True	False
78	6	6.5	54	6	F	1	1.5	0	False	3	4	2	1	1/8	True	1	3	3	3	3a	3	13/2	False	False					False	2		i6	e	i		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	i	1		4	4	4	4	1	E	G	E	E	minor triad	1	True	True	True	True	True	2	2	2	2	False	False	False
78	6	6.5	75	9	D	1	1.5	0	False	3	4	1	1	1/8	True	1	3	3	3	3a	5	13/2	False	False					False	2		i6	e	i		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	i	1		4	4	4	4	1	E	G	E	E	minor triad	1	True	True	True	True	True	5	5	5	#7	False	False	False
84	6	7.0	55	1	G	0	2.0	2	True	3	4	2	1	1/8	True	1	3	3	3	3a	3	7	False	False					False	2		i6	e	i		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	i	1		4	4	4	4	1	E	G	E	E	minor triad	1	True	True	True	True	True	-3	-3	-3	3	True	False	True
84	6	7.0	75	9	D	1	2.0	2	True	3	4	1	1	1/8	True	1	3	3	3	3a	5	7	False	False					False	2		i6	e	i		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	i	1		4	4	4	4	1	E	G	E	E	minor triad	1	True	True	True	True	True	5	5	5	#7	False	False	False
90	6	7.5	59	5	B	0	2.5	0	False	3	4	2	1	1/8	True	1	3	3	3	3a	3	15/2	False	False					False	2		i6	e	i		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	i	1		4	4	4	4	1	E	G	E	E	minor triad	1	True	True	True	True	True	1	1	1	5	True	False	False
90	12	7.5	76	4	E	0	2.5	0	False	3	4	1	1	1/4	True	1	3	3	3	3a	5	15/2	False	False					False	2		i6	e	i		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	i	1		4	4	4	4	1	E	G	E	E	minor triad	1	True	True	True	True	True	0	0	0	1	True	True	False
96	6	8.0	57	3	A	0	3.0	3	True	3	4	2	1	1/8	True	1	3	3	3	3a	3	8	False	True					False	3		ii%65	e	i		ii%65	ii	%	65			%7	True	True	(-1, -4, 0, 2)	()	2	-1	minor	minor	i	i, minor	ii		i	i	True	ii%65	ii%65, minor		ii%65, minor		ii	ii%7	2		4	4	4	6	3	F#	A	E	E	half-diminished seventh chord	1	True	True	True	True	True	-1	-1	-1	4	True	False	True
102	6	8.5	60	0	C	0	3.5	0	False	3	4	2	1	1/8	True	1	3	3	3	3a	4	17/2	False	False					False	3		ii%65	e	i		ii%65	ii	%	65			%7	True	True	(-1, -4, 0, 2)	()	2	-1	minor	minor	i	i, minor	ii		i	i	True	ii%65	ii%65, minor		ii%65, minor		ii	ii%7	2		4	4	4	6	3	F#	A	E	E	half-diminished seventh chord	1	True	True	True	True	True	-4	-4	-4	6	True	False	False
102	6	8.5	78	6	F	1	3.5	0	False	3	4	1	1	1/8	True	1	3	3	3	3a	5	17/2	False	False					False	3		ii%65	e	i		ii%65	ii	%	65			%7	True	True	(-1, -4, 0, 2)	()	2	-1	minor	minor	i	i, minor	ii		i	i	True	ii%65	ii%65, minor		ii%65, minor		ii	ii%7	2		4	4	4	6	3	F#	A	E	E	half-diminished seventh chord	1	True	True	True	True	True	2	2	2	2	True	True	False
108	6	9.0	59	5	B	0	1.0	1	True	3	4	2	1	1/8	True	1	4	4	4	4a	3	9	False	True	HC.CON	HC	CON	}	True	4		V|HC.CON}	e	i		V	V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	V	5		4	4	4	5	5	B	B	E	E	major triad	0	True	True	True	True	True	1	1	1	5	True	True	True
108	24	9.0	75	9	D	1	1.0	1	True	3	4	1	1	1/2	True	1	4	4	4	4a	5	9	False	True	HC.CON	HC	CON	}	True	4		V|HC.CON}	e	i		V	V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	V	5		4	4	4	5	5	B	B	E	E	major triad	0	True	True	True	True	True	5	5	5	#7	True	False	False
114	6	9.5	57	3	A	0	1.5	0	False	3	4	2	1	1/8	True	1	4	4	4	4a	3	19/2	False	False					False	4		V|HC.CON}	e	i		V	V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	V	5		4	4	4	5	5	B	B	E	E	major triad	0	True	True	True	True	True	-1	-1	-1	4	False	False	False
120	6	10.0	59	5	B	0	2.0	2	True	3	4	2	1	1/8	True	1	4	4	4	4a	3	10	False	False					False	4		V|HC.CON}	e	i		V	V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	V	5		4	4	4	5	5	B	B	E	E	major triad	0	True	True	True	True	True	1	1	1	5	True	True	True
126	6	10.5	60	0	C	0	2.5	0	False	3	4	2	1	1/8	True	1	4	4	4	4a	4	21/2	False	False					False	4		V|HC.CON}	e	i		V	V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	V	5		4	4	4	5	5	B	B	E	E	major triad	0	True	True	True	True	True	-4	-4	-4	6	False	False	False
132	0	11.0	73	7	C	1	3.0	3	True	3	4	1	1	0	True	1	4	4	4	4a	5	11	False	False					False	4		V|HC.CON}	e	i		V	V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	V	5		4	4	4	5	5	B	B	E	E	major triad	0	True	True	True	True	True	3	3	3	#6	False	False	False
132	6	11.0	59	5	B	0	3.0	3	True	3	4	2	1	1/8	True	1	4	4	4	4a	3	11	False	False					False	4		V|HC.CON}	e	i		V	V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	V	5		4	4	4	5	5	B	B	E	E	major triad	0	True	True	True	True	True	1	1	1	5	True	True	True
132	12	11.0	71	5	B	0	3.0	3	True	3	4	1	1	1/4	True	1	4	4	4	4a	4	11	False	False					False	4		V|HC.CON}	e	i		V	V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	V	5		4	4	4	5	5	B	B	E	E	major triad	0	True	True	True	True	True	1	1	1	5	True	True	True
138	6	11.5	57	3	A	0	3.5	0	False	3	4	2	1	1/8	True	1	4	4	4	4a	3	23/2	False	False					False	4		V|HC.CON}	e	i		V	V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	V	5		4	4	4	5	5	B	B	E	E	major triad	0	True	True	True	True	True	-1	-1	-1	4	False	False	False
144	24	12.0	56	8	G	1	1.0	1	True	3	4	2	1	1/2	True	1	5	5	5	5a	3	12	False	True				{	False	5		V6/iv{	e	i		V6/iv	V		6		iv	M	True	True	(4, 1, 0)	()	0	4	minor	minor	i	i, minor	V/iv	iv	iv/i	iv	True	V6/iv	V6/iv, minor		V6/iv, minor	iv	iv	V	5	4	4	4	3	4	8	E	G#	E	A	major triad	1	True	True	True	True	True	4	4	5	#3	True	False	True
144	9	12.0	83	5	B	0	1.0	1	True	3	4	1	1	3/16	True	1	5	5	5	5a	5	12	False	True				{	False	5		V6/iv{	e	i		V6/iv	V		6		iv	M	True	True	(4, 1, 0)	()	0	4	minor	minor	i	i, minor	V/iv	iv	iv/i	iv	True	V6/iv	V6/iv, minor		V6/iv, minor	iv	iv	V	5	4	4	4	3	4	8	E	G#	E	A	major triad	1	True	True	True	True	True	1	1	2	5	True	False	False
153	3	12.75	76	4	E	0	1.75	0	False	3	4	1	1	1/16	True	1	5	5	5	5a	5	51/4	False	False					False	5		V6/iv{	e	i		V6/iv	V		6		iv	M	True	True	(4, 1, 0)	()	0	4	minor	minor	i	i, minor	V/iv	iv	iv/i	iv	True	V6/iv	V6/iv, minor		V6/iv, minor	iv	iv	V	5	4	4	4	3	4	8	E	G#	E	A	major triad	1	True	True	True	True	True	0	0	1	1	True	True	False
156	18	13.0	74	2	D	0	2.0	2	True	3	4	1	1	3/8	True	1	5	5	5	5a	5	13	False	True					False	6		V65/iv	e	i		V65/iv	V		65		iv	Mm7	True	True	(4, 1, -2, 0)	()	0	4	minor	minor	i	i, minor	V/iv	iv	iv/i	iv	True	V65/iv	V65/iv, minor		V65/iv, minor	iv	iv	V7	5	4	4	4	3	4	8	E	G#	E	A	dominant seventh chord	1	True	True	True	True	True	-2	-2	-1	7	True	False	False
168	12	14.0	52	4	E	0	3.0	3	True	3	4	2	1	1/4	True	1	5	5	5	5a	3	14	False	True					False	7		V7/iv	e	i		V7/iv	V		7		iv	Mm7	True	True	(0, 4, 1, -2)	()	0	0	minor	minor	i	i, minor	V/iv	iv	iv/i	iv	True	V7/iv	V7/iv, minor		V7/iv, minor	iv	iv	V7	5	4	4	4	3	4	4	E	E	E	A	dominant seventh chord	7	True	True	True	True	True	0	0	1	1	True	True	True
174	3	14.5	72	0	C	0	3.5	0	False	3	4	1	1	1/16	True	1	5	5	5	5a	5	29/2	False	False					False	7		V7/iv	e	i		V7/iv	V		7		iv	Mm7	True	True	(0, 4, 1, -2)	()	0	0	minor	minor	i	i, minor	V/iv	iv	iv/i	iv	True	V7/iv	V7/iv, minor		V7/iv, minor	iv	iv	V7	5	4	4	4	3	4	4	E	E	E	A	dominant seventh chord	7	True	True	True	True	True	-4	-4	-3	6	False	False	False
177	3	14.75	71	5	B	0	3.75	0	False	3	4	1	1	1/16	True	1	5	5	5	5a	4	59/4	False	False					False	7		V7/iv	e	i		V7/iv	V		7		iv	Mm7	True	True	(0, 4, 1, -2)	()	0	0	minor	minor	i	i, minor	V/iv	iv	iv/i	iv	True	V7/iv	V7/iv, minor		V7/iv, minor	iv	iv	V7	5	4	4	4	3	4	4	E	E	E	A	dominant seventh chord	7	True	True	True	True	True	1	1	2	5	True	False	False
180	0	15.0	71	5	B	0	1.0	1	True	3	4	1	1	0	True	1	6	6	6	6a	4	15	False	True					False	8		iv	e	i		iv	iv					m	True	True	(-1, -4, 0)	()	-1	-1	minor	minor	i	i, minor	iv		i	i	True	iv	iv, minor		iv, minor		iv	iv	4		4	4	4	3	3	A	A	E	E	minor triad	0	True	True	True	True	True	1	1	1	5	False	False	False
180	24	15.0	57	3	A	0	1.0	1	True	3	4	2	1	1/2	True	1	6	6	6	6a	3	15	False	True					False	8		iv	e	i		iv	iv					m	True	True	(-1, -4, 0)	()	-1	-1	minor	minor	i	i, minor	iv		i	i	True	iv	iv, minor		iv, minor		iv	iv	4		4	4	4	3	3	A	A	E	E	minor triad	0	True	True	True	True	True	-1	-1	-1	4	True	True	True
