onset_div	duration_div	onset_beat	pitch	tpc	step	alter	beat_float	downbeat	is_downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	a_isOnset	cadence	cadence_type	cadence_subtype	phraseend	a_phraseend	unfolded_harmony_index	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	a_simpleNumeral	a_degree1	a_degree2	globalkey_tpc	localkey_tpc	tonicized_tpc	root_tpc	bass_note_tpc	a_root	a_bass	a_localKey	a_tonicizedKey	a_quality	a_inversion	valid_chord_label	valid_cadence_label	valid_phrase_label	valid_pedal_point_label	valid_section_start_label	sic_with_global	sic_with_local	sic_with_tonicized	note_degree	tpc_is_in_label	tpc_is_root	tpc_is_bass
1780	4	222.5	48	0	C	0	3.5	0	False	3	8	2	1	1/16	True	-2	37	82	33	33a	3	445/4	False	False					False	185	v.i	c	v		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	v	v, minor	i		v	v	True	i	i, minor		i, minor		i	i	1		0	1	1	1	1	G	G	G	G	minor triad	0	True	True	True	True	True	0	-1	-1	4	False	False	False
1780	4	222.5	72	0	C	0	3.5	0	False	3	8	1	1	1/16	True	-2	37	82	33	33a	5	445/4	False	False					False	185	v.i	c	v		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	v	v, minor	i		v	v	True	i	i, minor		i, minor		i	i	1		0	1	1	1	1	G	G	G	G	minor triad	0	True	True	True	True	True	0	-1	-1	4	False	False	False
1784	4	223.0	46	-2	B	-1	1.0	1	True	3	8	2	1	1/16	True	-2	38	83	34	34a	2	223/2	False	True					False	186	i6	c	v		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	v	v, minor	i		v	v	True	i6	i6, minor		i6, minor		i	i	1		0	1	1	1	-2	G	Bb	G	G	minor triad	1	True	True	True	True	True	-2	-3	-3	3	True	False	True
1784	12	223.0	74	2	D	0	1.0	1	True	3	8	1	1	3/16	True	-2	38	83	34	34a	5	223/2	False	True					False	186	i6	c	v		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	v	v, minor	i		v	v	True	i6	i6, minor		i6, minor		i	i	1		0	1	1	1	-2	G	Bb	G	G	minor triad	1	True	True	True	True	True	2	1	1	5	True	False	False
1788	4	223.5	45	3	A	0	1.5	0	False	3	8	2	1	1/16	True	-2	38	83	34	34a	2	447/4	False	False					False	186	i6	c	v		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	v	v, minor	i		v	v	True	i6	i6, minor		i6, minor		i	i	1		0	1	1	1	-2	G	Bb	G	G	minor triad	1	True	True	True	True	True	3	2	2	2	False	False	False
1792	4	224.0	43	1	G	0	2.0	2	True	3	8	2	1	1/16	True	-2	38	83	34	34a	2	112	False	False					False	186	i6	c	v		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	v	v, minor	i		v	v	True	i6	i6, minor		i6, minor		i	i	1		0	1	1	1	-2	G	Bb	G	G	minor triad	1	True	True	True	True	True	1	0	0	1	True	True	False
1796	4	224.5	45	3	A	0	2.5	0	False	3	8	2	1	1/16	True	-2	38	83	34	34a	2	449/4	False	False					False	186	i6	c	v		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	v	v, minor	i		v	v	True	i6	i6, minor		i6, minor		i	i	1		0	1	1	1	-2	G	Bb	G	G	minor triad	1	True	True	True	True	True	3	2	2	2	False	False	False
1796	4	224.5	62	2	D	0	2.5	0	False	3	8	1	1	1/16	True	-2	38	83	34	34a	4	449/4	False	False					False	186	i6	c	v		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	v	v, minor	i		v	v	True	i6	i6, minor		i6, minor		i	i	1		0	1	1	1	-2	G	Bb	G	G	minor triad	1	True	True	True	True	True	2	1	1	5	True	False	False
1800	4	225.0	46	-2	B	-1	3.0	3	True	3	8	2	1	1/16	True	-2	38	83	34	34a	2	225/2	False	False					False	186	i6	c	v		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	v	v, minor	i		v	v	True	i6	i6, minor		i6, minor		i	i	1		0	1	1	1	-2	G	Bb	G	G	minor triad	1	True	True	True	True	True	-2	-3	-3	3	True	False	True
1800	8	225.0	67	1	G	0	3.0	3	True	3	8	1	1	1/8	True	-2	38	83	34	34a	4	225/2	False	False					False	186	i6	c	v		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	v	v, minor	i		v	v	True	i6	i6, minor		i6, minor		i	i	1		0	1	1	1	-2	G	Bb	G	G	minor triad	1	True	True	True	True	True	1	0	0	1	True	True	False
1804	4	225.5	48	0	C	0	3.5	0	False	3	8	2	1	1/16	True	-2	38	83	34	34a	3	451/4	False	False					False	186	i6	c	v		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	v	v, minor	i		v	v	True	i6	i6, minor		i6, minor		i	i	1		0	1	1	1	-2	G	Bb	G	G	minor triad	1	True	True	True	True	True	0	-1	-1	4	False	False	False
1808	4	226.0	50	2	D	0	1.0	1	True	3	8	2	1	1/16	True	-2	39	84	35	35a	3	113	False	True					False	187	V	c	v		V	V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	v	v, minor	V		v	v	True	V	V, minor		V, minor		V	V	5		0	1	1	2	2	D	D	G	G	major triad	0	True	True	True	True	True	2	1	1	5	True	True	True
1808	8	226.0	66	6	F	1	1.0	1	True	3	8	1	1	1/8	True	-2	39	84	35	35a	4	113	False	True					False	187	V	c	v		V	V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	v	v, minor	V		v	v	True	V	V, minor		V, minor		V	V	5		0	1	1	2	2	D	D	G	G	major triad	0	True	True	True	True	True	6	5	5	#7	True	False	False
1812	4	226.5	54	6	F	1	1.5	0	False	3	8	2	1	1/16	True	-2	39	84	35	35a	3	453/4	False	False					False	187	V	c	v		V	V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	v	v, minor	V		v	v	True	V	V, minor		V, minor		V	V	5		0	1	1	2	2	D	D	G	G	major triad	0	True	True	True	True	True	6	5	5	#7	True	False	False
1816	4	227.0	52	4	E	0	2.0	2	True	3	8	2	1	1/16	True	-2	39	84	35	35a	3	227/2	False	True					False	188	IV6	c	v		IV6	IV		6			M	True	True	(3, 0, -1)	()	-1	3	minor	minor	v	v, minor	IV		v	v	True	IV6	IV6, minor		IV6, minor		IV	IV	4		0	1	1	0	4	C	E	G	G	major triad	1	True	True	True	True	True	4	3	3	#6	True	False	True
1816	8	227.0	67	1	G	0	2.0	2	True	3	8	1	1	1/8	True	-2	39	84	35	35a	4	227/2	False	True					False	188	IV6	c	v		IV6	IV		6			M	True	True	(3, 0, -1)	()	-1	3	minor	minor	v	v, minor	IV		v	v	True	IV6	IV6, minor		IV6, minor		IV	IV	4		0	1	1	0	4	C	E	G	G	major triad	1	True	True	True	True	True	1	0	0	1	True	False	False
