onset_div	duration_div	onset_beat	pitch	tpc	step	alter	beat_float	downbeat	is_downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	a_isOnset	cadence	cadence_type	phraseend	a_phraseend	unfolded_harmony_index	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	a_simpleNumeral	a_degree1	a_degree2	globalkey_tpc	localkey_tpc	tonicized_tpc	root_tpc	bass_note_tpc	a_root	a_bass	a_localKey	a_tonicizedKey	a_quality	a_inversion	valid_chord_label	valid_cadence_label	valid_phrase_label	valid_pedal_point_label	valid_section_start_label	sic_with_global	sic_with_local	sic_with_tonicized	note_degree	tpc_is_in_label	tpc_is_root	tpc_is_bass
3627	2	1209.0	86	2	D	0	2.0	2	True	12	8	1	1	1/4	True	2	303	303	303	303a	6	3627/2	False	True				False	788	V43		D	I		V43		V		43			Mm7	False	False	(2, -1, 1, 5)	()	1	2	major	major	I	I, major	V		I	I	False	V43	V43, major		V43, major		V	V7	5		2	2	2	3	4	A	E	D	D	dominant seventh chord	2	True	False	True	True	True	0	0	0	1	False	False	False
3629	1	1209.667	67	1	G	0	2.667	0	False	12	8	3	1	1/8	True	2	303	303	303	303a	4	3629/2	False	False				False	788	V43		D	I		V43		V		43			Mm7	False	False	(2, -1, 1, 5)	()	1	2	major	major	I	I, major	V		I	I	False	V43	V43, major		V43, major		V	V7	5		2	2	2	3	4	A	E	D	D	dominant seventh chord	2	True	False	True	True	True	-1	-1	-1	4	True	False	False
3629	1	1209.667	69	3	A	0	2.667	0	False	12	8	3	1	1/8	True	2	303	303	303	303a	4	3629/2	False	False				False	788	V43		D	I		V43		V		43			Mm7	False	False	(2, -1, 1, 5)	()	1	2	major	major	I	I, major	V		I	I	False	V43	V43, major		V43, major		V	V7	5		2	2	2	3	4	A	E	D	D	dominant seventh chord	2	True	False	True	True	True	1	1	1	5	True	True	False
3629	1	1209.667	79	1	G	0	2.667	0	False	12	8	2	1	1/8	True	2	303	303	303	303a	5	3629/2	False	False				False	788	V43		D	I		V43		V		43			Mm7	False	False	(2, -1, 1, 5)	()	1	2	major	major	I	I, major	V		I	I	False	V43	V43, major		V43, major		V	V7	5		2	2	2	3	4	A	E	D	D	dominant seventh chord	2	True	False	True	True	True	-1	-1	-1	4	True	False	False
3629	1	1209.667	85	7	C	1	2.667	0	False	12	8	1	1	1/8	True	2	303	303	303	303a	6	3629/2	False	False				False	788	V43		D	I		V43		V		43			Mm7	False	False	(2, -1, 1, 5)	()	1	2	major	major	I	I, major	V		I	I	False	V43	V43, major		V43, major		V	V7	5		2	2	2	3	4	A	E	D	D	dominant seventh chord	2	True	False	True	True	True	5	5	5	7	True	False	False
3630	3	1210.0	57	3	A	0	3.0	3	True	12	8	4	1	3/8	True	2	303	303	303	303a	3	1815	False	True				False	789	V7		D	I		V7		V		7			Mm7	False	False	(1, 5, 2, -1)	()	1	1	major	major	I	I, major	V		I	I	False	V7	V7, major		V7, major		V	V7	5		2	2	2	3	3	A	A	D	D	dominant seventh chord	7	True	False	True	True	True	1	1	1	5	True	True	True
3630	3	1210.0	67	1	G	0	3.0	3	True	12	8	3	1	3/8	True	2	303	303	303	303a	4	1815	False	True				False	789	V7		D	I		V7		V		7			Mm7	False	False	(1, 5, 2, -1)	()	1	1	major	major	I	I, major	V		I	I	False	V7	V7, major		V7, major		V	V7	5		2	2	2	3	3	A	A	D	D	dominant seventh chord	7	True	False	True	True	True	-1	-1	-1	4	True	False	False
3630	3	1210.0	69	3	A	0	3.0	3	True	12	8	3	1	3/8	True	2	303	303	303	303a	4	1815	False	True				False	789	V7		D	I		V7		V		7			Mm7	False	False	(1, 5, 2, -1)	()	1	1	major	major	I	I, major	V		I	I	False	V7	V7, major		V7, major		V	V7	5		2	2	2	3	3	A	A	D	D	dominant seventh chord	7	True	False	True	True	True	1	1	1	5	True	True	True
3630	3	1210.0	79	1	G	0	3.0	3	True	12	8	2	1	3/8	True	2	303	303	303	303a	5	1815	False	True				False	789	V7		D	I		V7		V		7			Mm7	False	False	(1, 5, 2, -1)	()	1	1	major	major	I	I, major	V		I	I	False	V7	V7, major		V7, major		V	V7	5		2	2	2	3	3	A	A	D	D	dominant seventh chord	7	True	False	True	True	True	-1	-1	-1	4	True	False	False
3630	3	1210.0	85	7	C	1	3.0	3	True	12	8	1	1	3/8	True	2	303	303	303	303a	6	1815	False	True				False	789	V7		D	I		V7		V		7			Mm7	False	False	(1, 5, 2, -1)	()	1	1	major	major	I	I, major	V		I	I	False	V7	V7, major		V7, major		V	V7	5		2	2	2	3	3	A	A	D	D	dominant seventh chord	7	True	False	True	True	True	5	5	5	7	True	False	False
3633	3	1211.0	61	7	C	1	4.0	4	True	12	8	4	1	3/8	True	2	303	303	303	303a	4	3633/2	False	True				False	790	vii%7		D	I		vii%7		vii	%	7			%7	False	False	(5, 2, -1, 3)	()	5	5	major	major	I	I, major	vii		I	I	False	vii%7	vii%7, major		vii%7, major		vii	vii%7	7		2	2	2	7	7	C#	C#	D	D	half-diminished seventh chord	7	True	False	True	True	True	5	5	5	7	True	True	True
3633	2	1211.0	67	1	G	0	4.0	4	True	12	8	3	1	1/4	False	2	303	303	303	303a	4	3633/2	False	True				False	790	vii%7		D	I		vii%7		vii	%	7			%7	False	False	(5, 2, -1, 3)	()	5	5	major	major	I	I, major	vii		I	I	False	vii%7	vii%7, major		vii%7, major		vii	vii%7	7		2	2	2	7	7	C#	C#	D	D	half-diminished seventh chord	7	True	False	True	True	True	-1	-1	-1	4	True	False	False
3633	2	1211.0	69	3	A	0	4.0	4	True	12	8	3	1	1/4	False	2	303	303	303	303a	4	3633/2	False	True				False	790	vii%7		D	I		vii%7		vii	%	7			%7	False	False	(5, 2, -1, 3)	()	5	5	major	major	I	I, major	vii		I	I	False	vii%7	vii%7, major		vii%7, major		vii	vii%7	7		2	2	2	7	7	C#	C#	D	D	half-diminished seventh chord	7	True	False	True	True	True	1	1	1	5	False	False	False
3633	3	1211.0	69	3	A	0	4.0	4	True	12	8	2	1	3/8	True	2	303	303	303	303a	4	3633/2	False	True				False	790	vii%7		D	I		vii%7		vii	%	7			%7	False	False	(5, 2, -1, 3)	()	5	5	major	major	I	I, major	vii		I	I	False	vii%7	vii%7, major		vii%7, major		vii	vii%7	7		2	2	2	7	7	C#	C#	D	D	half-diminished seventh chord	7	True	False	True	True	True	1	1	1	5	False	False	False
3633	2	1211.0	83	5	B	0	4.0	4	True	12	8	1	1	1/4	True	2	303	303	303	303a	5	3633/2	False	True				False	790	vii%7		D	I		vii%7		vii	%	7			%7	False	False	(5, 2, -1, 3)	()	5	5	major	major	I	I, major	vii		I	I	False	vii%7	vii%7, major		vii%7, major		vii	vii%7	7		2	2	2	7	7	C#	C#	D	D	half-diminished seventh chord	7	True	False	True	True	True	3	3	3	6	True	False	False
3635	1	1211.667	67	1	G	0	4.667	0	False	12	8	3	1	1/8	True	2	303	303	303	303a	4	3635/2	False	False				False	790	vii%7		D	I		vii%7		vii	%	7			%7	False	False	(5, 2, -1, 3)	()	5	5	major	major	I	I, major	vii		I	I	False	vii%7	vii%7, major		vii%7, major		vii	vii%7	7		2	2	2	7	7	C#	C#	D	D	half-diminished seventh chord	7	True	False	True	True	True	-1	-1	-1	4	True	False	False
3635	1	1211.667	69	3	A	0	4.667	0	False	12	8	3	1	1/8	True	2	303	303	303	303a	4	3635/2	False	False				False	790	vii%7		D	I		vii%7		vii	%	7			%7	False	False	(5, 2, -1, 3)	()	5	5	major	major	I	I, major	vii		I	I	False	vii%7	vii%7, major		vii%7, major		vii	vii%7	7		2	2	2	7	7	C#	C#	D	D	half-diminished seventh chord	7	True	False	True	True	True	1	1	1	5	False	False	False
3635	1	1211.667	81	3	A	0	4.667	0	False	12	8	1	1	1/8	True	2	303	303	303	303a	5	3635/2	False	False				False	790	vii%7		D	I		vii%7		vii	%	7			%7	False	False	(5, 2, -1, 3)	()	5	5	major	major	I	I, major	vii		I	I	False	vii%7	vii%7, major		vii%7, major		vii	vii%7	7		2	2	2	7	7	C#	C#	D	D	half-diminished seventh chord	7	True	False	True	True	True	1	1	1	5	False	False	False
3636	3	1212.0	62	2	D	0	1.0	1	True	12	8	4	1	3/8	True	2	304	304	304	304a	4	1818	False	True				False	791	I		D	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		2	2	2	2	2	D	D	D	D	major triad	0	True	False	True	True	True	0	0	0	1	True	True	True
3636	3	1212.0	66	6	F	1	1.0	1	True	12	8	3	1	3/8	True	2	304	304	304	304a	4	1818	False	True				False	791	I		D	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		2	2	2	2	2	D	D	D	D	major triad	0	True	False	True	True	True	4	4	4	3	True	False	False
3636	3	1212.0	69	3	A	0	1.0	1	True	12	8	3	1	3/8	True	2	304	304	304	304a	4	1818	False	True				False	791	I		D	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		2	2	2	2	2	D	D	D	D	major triad	0	True	False	True	True	True	1	1	1	5	True	False	False
3636	2	1212.0	78	6	F	1	1.0	1	True	12	8	2	1	1/4	True	2	304	304	304	304a	5	1818	False	True				False	791	I		D	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		2	2	2	2	2	D	D	D	D	major triad	0	True	False	True	True	True	4	4	4	3	True	False	False
3636	3	1212.0	86	2	D	0	1.0	1	True	12	8	1	1	3/8	True	2	304	304	304	304a	6	1818	False	True				False	791	I		D	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		2	2	2	2	2	D	D	D	D	major triad	0	True	False	True	True	True	0	0	0	1	True	True	True
3639	3	1213.0	69	3	A	0	2.0	2	True	12	8	2	1	3/8	True	2	304	304	304	304a	4	3639/2	False	True				False	792	V		D	I		V		V					M	False	False	(1, 5, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V, major		V	V	5		2	2	2	3	3	A	A	D	D	major triad	0	True	False	True	True	True	1	1	1	5	True	True	True
3639	3	1213.0	81	3	A	0	2.0	2	True	12	8	1	1	3/8	True	2	304	304	304	304a	5	3639/2	False	True				False	792	V		D	I		V		V					M	False	False	(1, 5, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V, major		V	V	5		2	2	2	3	3	A	A	D	D	major triad	0	True	False	True	True	True	1	1	1	5	True	True	True
3642	6	1214.0	45	3	A	0	3.0	3	True	12	8	4	1	3/4	True	2	304	304	304	304a	2	1821	False	True				False	793	V7		D	I		V7		V		7			Mm7	False	False	(1, 5, 2, -1)	()	1	1	major	major	I	I, major	V		I	I	False	V7	V7, major		V7, major		V	V7	5		2	2	2	3	3	A	A	D	D	dominant seventh chord	7	True	False	True	True	True	1	1	1	5	True	True	True
