onset_div	duration_div	onset_beat	pitch	tpc	step	alter	beat_float	downbeat	is_downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	a_isOnset	cadence	cadence_type	phraseend	a_phraseend	unfolded_harmony_index	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	a_simpleNumeral	a_degree1	a_degree2	globalkey_tpc	localkey_tpc	tonicized_tpc	root_tpc	bass_note_tpc	a_root	a_bass	a_localKey	a_tonicizedKey	a_quality	a_inversion	valid_chord_label	valid_cadence_label	valid_phrase_label	valid_pedal_point_label	valid_section_start_label	sic_with_global	sic_with_local	sic_with_tonicized	note_degree	tpc_is_in_label	tpc_is_root	tpc_is_bass
0	1	0.0	65	-1	F	0	3.0	3	True	3	4	1	1	1/8	True	-4	1	1	0	0a	4	0	True	True				False	0		f.i		f	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		-1	-1	-1	-1	-1	F	F	F	F	minor triad	0	True	False	True	True	True	0	0	0	1	True	True	True
1	1	0.5	68	-4	A	-1	3.5	0	False	3	4	1	1	1/8	True	-4	1	1	0	0a	4	1/2	False	False				False	0		f.i		f	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		-1	-1	-1	-1	-1	F	F	F	F	minor triad	0	True	False	True	True	True	-3	-3	-3	3	True	False	False
2	2	1.0	40	4	E	0	1.0	1	True	3	4	4	1	1/4	True	-4	2	2	1	1a	2	1	True	True				False	1		V6		f	i		V6	V		6			M	True	True	(5, 2, 1)	()	1	5	minor	minor	i	i, minor	V		i	i	True	V6	V6, minor		V6, minor		V	V	5		-1	-1	-1	0	4	C	E	F	F	major triad	1	True	False	True	True	True	5	5	5	#7	True	False	True
2	2	1.0	55	1	G	0	1.0	1	True	3	4	3	1	1/4	True	-4	2	2	1	1a	3	1	True	True				False	1		V6		f	i		V6	V		6			M	True	True	(5, 2, 1)	()	1	5	minor	minor	i	i, minor	V		i	i	True	V6	V6, minor		V6, minor		V	V	5		-1	-1	-1	0	4	C	E	F	F	major triad	1	True	False	True	True	True	2	2	2	2	True	False	False
2	2	1.0	60	0	C	0	1.0	1	True	3	4	2	1	1/4	True	-4	2	2	1	1a	4	1	True	True				False	1		V6		f	i		V6	V		6			M	True	True	(5, 2, 1)	()	1	5	minor	minor	i	i, minor	V		i	i	True	V6	V6, minor		V6, minor		V	V	5		-1	-1	-1	0	4	C	E	F	F	major triad	1	True	False	True	True	True	1	1	1	5	True	True	False
2	4	1.0	72	0	C	0	1.0	1	True	3	4	1	1	1/2	True	-4	2	2	1	1a	5	1	True	True				False	1		V6		f	i		V6	V		6			M	True	True	(5, 2, 1)	()	1	5	minor	minor	i	i, minor	V		i	i	True	V6	V6, minor		V6, minor		V	V	5		-1	-1	-1	0	4	C	E	F	F	major triad	1	True	False	True	True	True	1	1	1	5	True	True	False
4	4	2.0	40	4	E	0	2.0	2	True	3	4	4	1	1/2	True	-4	2	2	1	1a	2	2	False	False				False	1		V6		f	i		V6	V		6			M	True	True	(5, 2, 1)	()	1	5	minor	minor	i	i, minor	V		i	i	True	V6	V6, minor		V6, minor		V	V	5		-1	-1	-1	0	4	C	E	F	F	major triad	1	True	False	True	True	True	5	5	5	#7	True	False	True
4	4	2.0	55	1	G	0	2.0	2	True	3	4	3	1	1/2	True	-4	2	2	1	1a	3	2	False	False				False	1		V6		f	i		V6	V		6			M	True	True	(5, 2, 1)	()	1	5	minor	minor	i	i, minor	V		i	i	True	V6	V6, minor		V6, minor		V	V	5		-1	-1	-1	0	4	C	E	F	F	major triad	1	True	False	True	True	True	2	2	2	2	True	False	False
4	4	2.0	60	0	C	0	2.0	2	True	3	4	2	1	1/2	True	-4	2	2	1	1a	4	2	False	False				False	1		V6		f	i		V6	V		6			M	True	True	(5, 2, 1)	()	1	5	minor	minor	i	i, minor	V		i	i	True	V6	V6, minor		V6, minor		V	V	5		-1	-1	-1	0	4	C	E	F	F	major triad	1	True	False	True	True	True	1	1	1	5	True	True	False
6	2	3.0	72	0	C	0	3.0	3	True	3	4	1	1	1/4	True	-4	2	2	1	1a	5	3	False	False				False	1		V6		f	i		V6	V		6			M	True	True	(5, 2, 1)	()	1	5	minor	minor	i	i, minor	V		i	i	True	V6	V6, minor		V6, minor		V	V	5		-1	-1	-1	0	4	C	E	F	F	major triad	1	True	False	True	True	True	1	1	1	5	True	True	False
8	4	4.0	40	4	E	0	1.0	1	True	3	4	4	1	1/2	True	-4	3	3	2	2a	2	4	False	False				False	1		V6		f	i		V6	V		6			M	True	True	(5, 2, 1)	()	1	5	minor	minor	i	i, minor	V		i	i	True	V6	V6, minor		V6, minor		V	V	5		-1	-1	-1	0	4	C	E	F	F	major triad	1	True	False	True	True	True	5	5	5	#7	True	False	True
8	4	4.0	55	1	G	0	1.0	1	True	3	4	3	1	1/2	True	-4	3	3	2	2a	3	4	False	False				False	1		V6		f	i		V6	V		6			M	True	True	(5, 2, 1)	()	1	5	minor	minor	i	i, minor	V		i	i	True	V6	V6, minor		V6, minor		V	V	5		-1	-1	-1	0	4	C	E	F	F	major triad	1	True	False	True	True	True	2	2	2	2	True	False	False
8	4	4.0	60	0	C	0	1.0	1	True	3	4	2	1	1/2	True	-4	3	3	2	2a	4	4	False	False				False	1		V6		f	i		V6	V		6			M	True	True	(5, 2, 1)	()	1	5	minor	minor	i	i, minor	V		i	i	True	V6	V6, minor		V6, minor		V	V	5		-1	-1	-1	0	4	C	E	F	F	major triad	1	True	False	True	True	True	1	1	1	5	True	True	False
8	2	4.0	72	0	C	0	1.0	1	True	3	4	1	1	1/4	False	-4	3	3	2	2a	5	4	False	False				False	1		V6		f	i		V6	V		6			M	True	True	(5, 2, 1)	()	1	5	minor	minor	i	i, minor	V		i	i	True	V6	V6, minor		V6, minor		V	V	5		-1	-1	-1	0	4	C	E	F	F	major triad	1	True	False	True	True	True	1	1	1	5	True	True	False
10	3	5.0	72	0	C	0	2.0	2	True	3	4	1	1	3/8	True	-4	3	3	2	2a	5	5	False	False				False	1		V6		f	i		V6	V		6			M	True	True	(5, 2, 1)	()	1	5	minor	minor	i	i, minor	V		i	i	True	V6	V6, minor		V6, minor		V	V	5		-1	-1	-1	0	4	C	E	F	F	major triad	1	True	False	True	True	True	1	1	1	5	True	True	False
12	2	6.0	40	4	E	0	3.0	3	True	3	4	4	1	1/4	True	-4	3	3	2	2a	2	6	False	False				False	1		V6		f	i		V6	V		6			M	True	True	(5, 2, 1)	()	1	5	minor	minor	i	i, minor	V		i	i	True	V6	V6, minor		V6, minor		V	V	5		-1	-1	-1	0	4	C	E	F	F	major triad	1	True	False	True	True	True	5	5	5	#7	True	False	True
12	2	6.0	55	1	G	0	3.0	3	True	3	4	3	1	1/4	True	-4	3	3	2	2a	3	6	False	False				False	1		V6		f	i		V6	V		6			M	True	True	(5, 2, 1)	()	1	5	minor	minor	i	i, minor	V		i	i	True	V6	V6, minor		V6, minor		V	V	5		-1	-1	-1	0	4	C	E	F	F	major triad	1	True	False	True	True	True	2	2	2	2	True	False	False
12	2	6.0	60	0	C	0	3.0	3	True	3	4	2	1	1/4	True	-4	3	3	2	2a	4	6	False	False				False	1		V6		f	i		V6	V		6			M	True	True	(5, 2, 1)	()	1	5	minor	minor	i	i, minor	V		i	i	True	V6	V6, minor		V6, minor		V	V	5		-1	-1	-1	0	4	C	E	F	F	major triad	1	True	False	True	True	True	1	1	1	5	True	True	False
13	1	6.5	72	0	C	0	3.5	0	False	3	4	1	1	1/8	True	-4	3	3	2	2a	5	13/2	False	False				False	1		V6		f	i		V6	V		6			M	True	True	(5, 2, 1)	()	1	5	minor	minor	i	i, minor	V		i	i	True	V6	V6, minor		V6, minor		V	V	5		-1	-1	-1	0	4	C	E	F	F	major triad	1	True	False	True	True	True	1	1	1	5	True	True	False
14	2	7.0	41	-1	F	0	1.0	1	True	3	4	4	1	1/4	True	-4	4	4	3	3a	2	7	False	True				False	2		iv43(2)		f	i		iv43(2)	iv		43	2		mm7	True	True	(0, -3, 1, -4)	()	-1	0	minor	minor	i	i, minor	iv		i	i	True	iv43	iv43, minor		iv43(2), minor		iv	iv7	4		-1	-1	-1	-2	-1	Bb	F	F	F	minor seventh chord	2	True	False	True	True	True	0	0	0	1	True	False	True
14	2	7.0	56	-4	A	-1	1.0	1	True	3	4	3	1	1/4	True	-4	4	4	3	3a	3	7	False	True				False	2		iv43(2)		f	i		iv43(2)	iv		43	2		mm7	True	True	(0, -3, 1, -4)	()	-1	0	minor	minor	i	i, minor	iv		i	i	True	iv43	iv43, minor		iv43(2), minor		iv	iv7	4		-1	-1	-1	-2	-1	Bb	F	F	F	minor seventh chord	2	True	False	True	True	True	-3	-3	-3	3	True	False	False
14	2	7.0	61	-5	D	-1	1.0	1	True	3	4	2	1	1/4	True	-4	4	4	3	3a	4	7	False	True				False	2		iv43(2)		f	i		iv43(2)	iv		43	2		mm7	True	True	(0, -3, 1, -4)	()	-1	0	minor	minor	i	i, minor	iv		i	i	True	iv43	iv43, minor		iv43(2), minor		iv	iv7	4		-1	-1	-1	-2	-1	Bb	F	F	F	minor seventh chord	2	True	False	True	True	True	-4	-4	-4	6	True	False	False
14	4	7.0	72	0	C	0	1.0	1	True	3	4	1	1	1/2	True	-4	4	4	3	3a	5	7	False	True				False	2		iv43(2)		f	i		iv43(2)	iv		43	2		mm7	True	True	(0, -3, 1, -4)	()	-1	0	minor	minor	i	i, minor	iv		i	i	True	iv43	iv43, minor		iv43(2), minor		iv	iv7	4		-1	-1	-1	-2	-1	Bb	F	F	F	minor seventh chord	2	True	False	True	True	True	1	1	1	5	True	False	False
16	4	8.0	41	-1	F	0	2.0	2	True	3	4	4	1	1/2	True	-4	4	4	3	3a	2	8	False	False				False	2		iv43(2)		f	i		iv43(2)	iv		43	2		mm7	True	True	(0, -3, 1, -4)	()	-1	0	minor	minor	i	i, minor	iv		i	i	True	iv43	iv43, minor		iv43(2), minor		iv	iv7	4		-1	-1	-1	-2	-1	Bb	F	F	F	minor seventh chord	2	True	False	True	True	True	0	0	0	1	True	False	True
16	4	8.0	56	-4	A	-1	2.0	2	True	3	4	3	1	1/2	True	-4	4	4	3	3a	3	8	False	False				False	2		iv43(2)		f	i		iv43(2)	iv		43	2		mm7	True	True	(0, -3, 1, -4)	()	-1	0	minor	minor	i	i, minor	iv		i	i	True	iv43	iv43, minor		iv43(2), minor		iv	iv7	4		-1	-1	-1	-2	-1	Bb	F	F	F	minor seventh chord	2	True	False	True	True	True	-3	-3	-3	3	True	False	False
16	4	8.0	61	-5	D	-1	2.0	2	True	3	4	2	1	1/2	True	-4	4	4	3	3a	4	8	False	False				False	2		iv43(2)		f	i		iv43(2)	iv		43	2		mm7	True	True	(0, -3, 1, -4)	()	-1	0	minor	minor	i	i, minor	iv		i	i	True	iv43	iv43, minor		iv43(2), minor		iv	iv7	4		-1	-1	-1	-2	-1	Bb	F	F	F	minor seventh chord	2	True	False	True	True	True	-4	-4	-4	6	True	False	False
18	2	9.0	70	-2	B	-1	3.0	3	True	3	4	1	1	1/4	True	-4	4	4	3	3a	4	9	False	True				False	3		iv43		f	i		iv43	iv		43			mm7	True	True	(0, -3, -1, -4)	()	-1	0	minor	minor	i	i, minor	iv		i	i	True	iv43	iv43, minor		iv43, minor		iv	iv7	4		-1	-1	-1	-2	-1	Bb	F	F	F	minor seventh chord	2	True	False	True	True	True	-1	-1	-1	4	True	True	False
20	4	10.0	41	-1	F	0	1.0	1	True	3	4	4	1	1/2	True	-4	5	5	4	4a	2	10	False	False				False	3		iv43		f	i		iv43	iv		43			mm7	True	True	(0, -3, -1, -4)	()	-1	0	minor	minor	i	i, minor	iv		i	i	True	iv43	iv43, minor		iv43, minor		iv	iv7	4		-1	-1	-1	-2	-1	Bb	F	F	F	minor seventh chord	2	True	False	True	True	True	0	0	0	1	True	False	True
20	4	10.0	56	-4	A	-1	1.0	1	True	3	4	3	1	1/2	True	-4	5	5	4	4a	3	10	False	False				False	3		iv43		f	i		iv43	iv		43			mm7	True	True	(0, -3, -1, -4)	()	-1	0	minor	minor	i	i, minor	iv		i	i	True	iv43	iv43, minor		iv43, minor		iv	iv7	4		-1	-1	-1	-2	-1	Bb	F	F	F	minor seventh chord	2	True	False	True	True	True	-3	-3	-3	3	True	False	False
20	4	10.0	61	-5	D	-1	1.0	1	True	3	4	2	1	1/2	True	-4	5	5	4	4a	4	10	False	False				False	3		iv43		f	i		iv43	iv		43			mm7	True	True	(0, -3, -1, -4)	()	-1	0	minor	minor	i	i, minor	iv		i	i	True	iv43	iv43, minor		iv43, minor		iv	iv7	4		-1	-1	-1	-2	-1	Bb	F	F	F	minor seventh chord	2	True	False	True	True	True	-4	-4	-4	6	True	False	False
20	2	10.0	70	-2	B	-1	1.0	1	True	3	4	1	1	1/4	False	-4	5	5	4	4a	4	10	False	False				False	3		iv43		f	i		iv43	iv		43			mm7	True	True	(0, -3, -1, -4)	()	-1	0	minor	minor	i	i, minor	iv		i	i	True	iv43	iv43, minor		iv43, minor		iv	iv7	4		-1	-1	-1	-2	-1	Bb	F	F	F	minor seventh chord	2	True	False	True	True	True	-1	-1	-1	4	True	True	False
22	3	11.0	70	-2	B	-1	2.0	2	True	3	4	1	1	3/8	True	-4	5	5	4	4a	4	11	False	False				False	3		iv43		f	i		iv43	iv		43			mm7	True	True	(0, -3, -1, -4)	()	-1	0	minor	minor	i	i, minor	iv		i	i	True	iv43	iv43, minor		iv43, minor		iv	iv7	4		-1	-1	-1	-2	-1	Bb	F	F	F	minor seventh chord	2	True	False	True	True	True	-1	-1	-1	4	True	True	False
24	2	12.0	41	-1	F	0	3.0	3	True	3	4	4	1	1/4	True	-4	5	5	4	4a	2	12	False	False				False	3		iv43		f	i		iv43	iv		43			mm7	True	True	(0, -3, -1, -4)	()	-1	0	minor	minor	i	i, minor	iv		i	i	True	iv43	iv43, minor		iv43, minor		iv	iv7	4		-1	-1	-1	-2	-1	Bb	F	F	F	minor seventh chord	2	True	False	True	True	True	0	0	0	1	True	False	True
24	2	12.0	56	-4	A	-1	3.0	3	True	3	4	3	1	1/4	True	-4	5	5	4	4a	3	12	False	False				False	3		iv43		f	i		iv43	iv		43			mm7	True	True	(0, -3, -1, -4)	()	-1	0	minor	minor	i	i, minor	iv		i	i	True	iv43	iv43, minor		iv43, minor		iv	iv7	4		-1	-1	-1	-2	-1	Bb	F	F	F	minor seventh chord	2	True	False	True	True	True	-3	-3	-3	3	True	False	False
24	2	12.0	61	-5	D	-1	3.0	3	True	3	4	2	1	1/4	True	-4	5	5	4	4a	4	12	False	False				False	3		iv43		f	i		iv43	iv		43			mm7	True	True	(0, -3, -1, -4)	()	-1	0	minor	minor	i	i, minor	iv		i	i	True	iv43	iv43, minor		iv43, minor		iv	iv7	4		-1	-1	-1	-2	-1	Bb	F	F	F	minor seventh chord	2	True	False	True	True	True	-4	-4	-4	6	True	False	False
25	1	12.5	70	-2	B	-1	3.5	0	False	3	4	1	1	1/8	True	-4	5	5	4	4a	4	25/2	False	False				False	3		iv43		f	i		iv43	iv		43			mm7	True	True	(0, -3, -1, -4)	()	-1	0	minor	minor	i	i, minor	iv		i	i	True	iv43	iv43, minor		iv43, minor		iv	iv7	4		-1	-1	-1	-2	-1	Bb	F	F	F	minor seventh chord	2	True	False	True	True	True	-1	-1	-1	4	True	True	False
26	2	13.0	42	-6	G	-1	1.0	1	True	3	4	4	1	1/4	True	-4	6	6	5	5a	2	13	False	True				False	4		bII		f	i		bII	bII					M	True	True	(-5, -1, -4)	()	-5	-5	minor	minor	i	i, minor	bII		i	i	True	bII	bII, minor		bII, minor		bII	N	-2		-1	-1	-1	-6	-6	Gb	Gb	F	F	major triad	0	True	False	True	True	True	-5	-5	-5	b2	True	True	True
26	2	13.0	58	-2	B	-1	1.0	1	True	3	4	3	1	1/4	True	-4	6	6	5	5a	3	13	False	True				False	4		bII		f	i		bII	bII					M	True	True	(-5, -1, -4)	()	-5	-5	minor	minor	i	i, minor	bII		i	i	True	bII	bII, minor		bII, minor		bII	N	-2		-1	-1	-1	-6	-6	Gb	Gb	F	F	major triad	0	True	False	True	True	True	-1	-1	-1	4	True	False	False
26	2	13.0	61	-5	D	-1	1.0	1	True	3	4	2	1	1/4	False	-4	6	6	5	5a	4	13	False	True				False	4		bII		f	i		bII	bII					M	True	True	(-5, -1, -4)	()	-5	-5	minor	minor	i	i, minor	bII		i	i	True	bII	bII, minor		bII, minor		bII	N	-2		-1	-1	-1	-6	-6	Gb	Gb	F	F	major triad	0	True	False	True	True	True	-4	-4	-4	6	True	False	False
26	4	13.0	73	-5	D	-1	1.0	1	True	3	4	1	1	1/2	True	-4	6	6	5	5a	5	13	False	True				False	4		bII		f	i		bII	bII					M	True	True	(-5, -1, -4)	()	-5	-5	minor	minor	i	i, minor	bII		i	i	True	bII	bII, minor		bII, minor		bII	N	-2		-1	-1	-1	-6	-6	Gb	Gb	F	F	major triad	0	True	False	True	True	True	-4	-4	-4	6	True	False	False
28	4	14.0	42	-6	G	-1	2.0	2	True	3	4	4	1	1/2	True	-4	6	6	5	5a	2	14	False	False				False	4		bII		f	i		bII	bII					M	True	True	(-5, -1, -4)	()	-5	-5	minor	minor	i	i, minor	bII		i	i	True	bII	bII, minor		bII, minor		bII	N	-2		-1	-1	-1	-6	-6	Gb	Gb	F	F	major triad	0	True	False	True	True	True	-5	-5	-5	b2	True	True	True
28	4	14.0	58	-2	B	-1	2.0	2	True	3	4	3	1	1/2	True	-4	6	6	5	5a	3	14	False	False				False	4		bII		f	i		bII	bII					M	True	True	(-5, -1, -4)	()	-5	-5	minor	minor	i	i, minor	bII		i	i	True	bII	bII, minor		bII, minor		bII	N	-2		-1	-1	-1	-6	-6	Gb	Gb	F	F	major triad	0	True	False	True	True	True	-1	-1	-1	4	True	False	False
28	4	14.0	61	-5	D	-1	2.0	2	True	3	4	2	1	1/2	True	-4	6	6	5	5a	4	14	False	False				False	4		bII		f	i		bII	bII					M	True	True	(-5, -1, -4)	()	-5	-5	minor	minor	i	i, minor	bII		i	i	True	bII	bII, minor		bII, minor		bII	N	-2		-1	-1	-1	-6	-6	Gb	Gb	F	F	major triad	0	True	False	True	True	True	-4	-4	-4	6	True	False	False
30	2	15.0	73	-5	D	-1	3.0	3	True	3	4	1	1	1/4	True	-4	6	6	5	5a	5	15	False	False				False	4		bII		f	i		bII	bII					M	True	True	(-5, -1, -4)	()	-5	-5	minor	minor	i	i, minor	bII		i	i	True	bII	bII, minor		bII, minor		bII	N	-2		-1	-1	-1	-6	-6	Gb	Gb	F	F	major triad	0	True	False	True	True	True	-4	-4	-4	6	True	False	False
32	4	16.0	42	-6	G	-1	1.0	1	True	3	4	4	1	1/2	True	-4	7	7	6	6a	2	16	False	False				False	4		bII		f	i		bII	bII					M	True	True	(-5, -1, -4)	()	-5	-5	minor	minor	i	i, minor	bII		i	i	True	bII	bII, minor		bII, minor		bII	N	-2		-1	-1	-1	-6	-6	Gb	Gb	F	F	major triad	0	True	False	True	True	True	-5	-5	-5	b2	True	True	True
32	4	16.0	58	-2	B	-1	1.0	1	True	3	4	3	1	1/2	True	-4	7	7	6	6a	3	16	False	False				False	4		bII		f	i		bII	bII					M	True	True	(-5, -1, -4)	()	-5	-5	minor	minor	i	i, minor	bII		i	i	True	bII	bII, minor		bII, minor		bII	N	-2		-1	-1	-1	-6	-6	Gb	Gb	F	F	major triad	0	True	False	True	True	True	-1	-1	-1	4	True	False	False
32	4	16.0	61	-5	D	-1	1.0	1	True	3	4	2	1	1/2	True	-4	7	7	6	6a	4	16	False	False				False	4		bII		f	i		bII	bII					M	True	True	(-5, -1, -4)	()	-5	-5	minor	minor	i	i, minor	bII		i	i	True	bII	bII, minor		bII, minor		bII	N	-2		-1	-1	-1	-6	-6	Gb	Gb	F	F	major triad	0	True	False	True	True	True	-4	-4	-4	6	True	False	False
32	2	16.0	73	-5	D	-1	1.0	1	True	3	4	1	1	1/4	False	-4	7	7	6	6a	5	16	False	False				False	4		bII		f	i		bII	bII					M	True	True	(-5, -1, -4)	()	-5	-5	minor	minor	i	i, minor	bII		i	i	True	bII	bII, minor		bII, minor		bII	N	-2		-1	-1	-1	-6	-6	Gb	Gb	F	F	major triad	0	True	False	True	True	True	-4	-4	-4	6	True	False	False
34	3	17.0	73	-5	D	-1	2.0	2	True	3	4	1	1	3/8	True	-4	7	7	6	6a	5	17	False	False				False	4		bII		f	i		bII	bII					M	True	True	(-5, -1, -4)	()	-5	-5	minor	minor	i	i, minor	bII		i	i	True	bII	bII, minor		bII, minor		bII	N	-2		-1	-1	-1	-6	-6	Gb	Gb	F	F	major triad	0	True	False	True	True	True	-4	-4	-4	6	True	False	False
36	2	18.0	42	-6	G	-1	3.0	3	True	3	4	4	1	1/4	True	-4	7	7	6	6a	2	18	False	False				False	4		bII		f	i		bII	bII					M	True	True	(-5, -1, -4)	()	-5	-5	minor	minor	i	i, minor	bII		i	i	True	bII	bII, minor		bII, minor		bII	N	-2		-1	-1	-1	-6	-6	Gb	Gb	F	F	major triad	0	True	False	True	True	True	-5	-5	-5	b2	True	True	True
36	2	18.0	58	-2	B	-1	3.0	3	True	3	4	3	1	1/4	True	-4	7	7	6	6a	3	18	False	False				False	4		bII		f	i		bII	bII					M	True	True	(-5, -1, -4)	()	-5	-5	minor	minor	i	i, minor	bII		i	i	True	bII	bII, minor		bII, minor		bII	N	-2		-1	-1	-1	-6	-6	Gb	Gb	F	F	major triad	0	True	False	True	True	True	-1	-1	-1	4	True	False	False
36	2	18.0	61	-5	D	-1	3.0	3	True	3	4	2	1	1/4	True	-4	7	7	6	6a	4	18	False	False				False	4		bII		f	i		bII	bII					M	True	True	(-5, -1, -4)	()	-5	-5	minor	minor	i	i, minor	bII		i	i	True	bII	bII, minor		bII, minor		bII	N	-2		-1	-1	-1	-6	-6	Gb	Gb	F	F	major triad	0	True	False	True	True	True	-4	-4	-4	6	True	False	False
37	1	18.5	73	-5	D	-1	3.5	0	False	3	4	1	1	1/8	True	-4	7	7	6	6a	5	37/2	False	False				False	4		bII		f	i		bII	bII					M	True	True	(-5, -1, -4)	()	-5	-5	minor	minor	i	i, minor	bII		i	i	True	bII	bII, minor		bII, minor		bII	N	-2		-1	-1	-1	-6	-6	Gb	Gb	F	F	major triad	0	True	False	True	True	True	-4	-4	-4	6	True	False	False
38	2	19.0	43	1	G	0	1.0	1	True	3	4	4	1	1/4	True	-4	8	8	7	7a	2	19	False	True				False	5		V65/III		f	i		V65/III	V		65		III	Mm7	True	True	(2, -1, -4, -2)	()	-2	2	minor	minor	i	i, minor	V/III	III	III/i	III	False	V65/III	V65/III, minor		V65/III, minor	III	III	V7	5	3	-1	-1	-4	-3	1	Eb	G	F	Ab	dominant seventh chord	1	True	False	True	True	True	2	2	5	2	True	False	True
38	2	19.0	51	-3	E	-1	1.0	1	True	3	4	3	1	1/4	True	-4	8	8	7	7a	3	19	False	True				False	5		V65/III		f	i		V65/III	V		65		III	Mm7	True	True	(2, -1, -4, -2)	()	-2	2	minor	minor	i	i, minor	V/III	III	III/i	III	False	V65/III	V65/III, minor		V65/III, minor	III	III	V7	5	3	-1	-1	-4	-3	1	Eb	G	F	Ab	dominant seventh chord	1	True	False	True	True	True	-2	-2	1	7	True	True	False
38	2	19.0	58	-2	B	-1	1.0	1	True	3	4	3	1	1/4	False	-4	8	8	7	7a	3	19	False	True				False	5		V65/III		f	i		V65/III	V		65		III	Mm7	True	True	(2, -1, -4, -2)	()	-2	2	minor	minor	i	i, minor	V/III	III	III/i	III	False	V65/III	V65/III, minor		V65/III, minor	III	III	V7	5	3	-1	-1	-4	-3	1	Eb	G	F	Ab	dominant seventh chord	1	True	False	True	True	True	-1	-1	2	4	True	False	False
38	2	19.0	63	-3	E	-1	1.0	1	True	3	4	2	1	1/4	True	-4	8	8	7	7a	4	19	False	True				False	5		V65/III		f	i		V65/III	V		65		III	Mm7	True	True	(2, -1, -4, -2)	()	-2	2	minor	minor	i	i, minor	V/III	III	III/i	III	False	V65/III	V65/III, minor		V65/III, minor	III	III	V7	5	3	-1	-1	-4	-3	1	Eb	G	F	Ab	dominant seventh chord	1	True	False	True	True	True	-2	-2	1	7	True	True	False
38	4	19.0	73	-5	D	-1	1.0	1	True	3	4	1	1	1/2	True	-4	8	8	7	7a	5	19	False	True				False	5		V65/III		f	i		V65/III	V		65		III	Mm7	True	True	(2, -1, -4, -2)	()	-2	2	minor	minor	i	i, minor	V/III	III	III/i	III	False	V65/III	V65/III, minor		V65/III, minor	III	III	V7	5	3	-1	-1	-4	-3	1	Eb	G	F	Ab	dominant seventh chord	1	True	False	True	True	True	-4	-4	-1	6	True	False	False
