onset_div	duration_div	onset_beat	pitch	tpc	step	alter	beat_float	downbeat	is_downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	a_isOnset	cadence	cadence_type	phraseend	a_phraseend	unfolded_harmony_index	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	a_simpleNumeral	a_degree1	a_degree2	globalkey_tpc	localkey_tpc	tonicized_tpc	root_tpc	bass_note_tpc	a_root	a_bass	a_localKey	a_tonicizedKey	a_quality	a_inversion	valid_chord_label	valid_cadence_label	valid_phrase_label	valid_pedal_point_label	valid_section_start_label	sic_with_global	sic_with_local	sic_with_tonicized	note_degree	tpc_is_in_label	tpc_is_root	tpc_is_bass
9156	6	381.5	70	-2	B	-1	1.5	0	False	2	4	1	2	1/16	True	-3	192	192	191	191a	4	763/2	False	True				False	507	#viio6/ii		Eb	I	V	#viio6/ii		#vii	o	6		ii	o	False	False	(4, 1, 7)	()	7	4	major	major	I	I, major	#vii/ii	ii	ii/I	ii	True	#viio6/ii	#viio6/ii, major	V	#viio6/ii, major	ii	ii	viio	#7	2	-3	-3	-1	4	1	E	G	Eb	F	diminished triad	1	True	False	True	True	True	1	1	-1	5	True	False	False
9156	12	381.5	76	4	E	0	1.5	0	False	2	4	1	1	1/8	True	-3	192	192	191	191a	5	763/2	False	True				False	507	#viio6/ii		Eb	I	V	#viio6/ii		#vii	o	6		ii	o	False	False	(4, 1, 7)	()	7	4	major	major	I	I, major	#vii/ii	ii	ii/I	ii	True	#viio6/ii	#viio6/ii, major	V	#viio6/ii, major	ii	ii	viio	#7	2	-3	-3	-1	4	1	E	G	Eb	F	diminished triad	1	True	False	True	True	True	7	7	5	#1	True	True	False
9162	6	381.75	67	1	G	0	1.75	0	False	2	4	1	2	1/16	True	-3	192	192	191	191a	4	1527/4	False	False				False	507	#viio6/ii		Eb	I	V	#viio6/ii		#vii	o	6		ii	o	False	False	(4, 1, 7)	()	7	4	major	major	I	I, major	#vii/ii	ii	ii/I	ii	True	#viio6/ii	#viio6/ii, major	V	#viio6/ii, major	ii	ii	viio	#7	2	-3	-3	-1	4	1	E	G	Eb	F	diminished triad	1	True	False	True	True	True	4	4	2	3	True	False	True
9168	6	382.0	68	-4	A	-1	2.0	2	True	2	4	1	2	1/16	True	-3	192	192	191	191a	4	382	False	True				False	508	ii	V7	Eb	I	V	ii		ii					m	False	False	(2, -1, 3)	()	2	2	major	major	I	I, major	ii		I	I	False	ii	ii, major	V	ii, major		ii	ii	2		-3	-3	-3	-1	-1	F	F	Eb	Eb	minor triad	0	True	False	True	True	True	-1	-1	-1	4	True	False	False
9168	12	382.0	77	-1	F	0	2.0	2	True	2	4	1	1	1/8	True	-3	192	192	191	191a	5	382	False	True				False	508	ii	V7	Eb	I	V	ii		ii					m	False	False	(2, -1, 3)	()	2	2	major	major	I	I, major	ii		I	I	False	ii	ii, major	V	ii, major		ii	ii	2		-3	-3	-3	-1	-1	F	F	Eb	Eb	minor triad	0	True	False	True	True	True	2	2	2	2	True	True	True
9174	6	382.25	65	-1	F	0	2.25	0	False	2	4	1	2	1/16	True	-3	192	192	191	191a	4	1529/4	False	False				False	508	ii	V7	Eb	I	V	ii		ii					m	False	False	(2, -1, 3)	()	2	2	major	major	I	I, major	ii		I	I	False	ii	ii, major	V	ii, major		ii	ii	2		-3	-3	-3	-1	-1	F	F	Eb	Eb	minor triad	0	True	False	True	True	True	2	2	2	2	True	True	True
9180	6	382.5	70	-2	B	-1	2.5	0	False	2	4	1	2	1/16	True	-3	192	192	191	191a	4	765/2	False	True				False	509	I6		Eb	I	V	I6		I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major	V	I6, major		I	I	1		-3	-3	-3	-3	1	Eb	G	Eb	Eb	major triad	1	True	False	True	True	True	1	1	1	5	True	False	False
9180	12	382.5	79	1	G	0	2.5	0	False	2	4	1	1	1/8	True	-3	192	192	191	191a	5	765/2	False	True				False	509	I6		Eb	I	V	I6		I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major	V	I6, major		I	I	1		-3	-3	-3	-3	1	Eb	G	Eb	Eb	major triad	1	True	False	True	True	True	4	4	4	3	True	False	True
9186	6	382.75	67	1	G	0	2.75	0	False	2	4	1	2	1/16	True	-3	192	192	191	191a	4	1531/4	False	False				False	509	I6		Eb	I	V	I6		I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major	V	I6, major		I	I	1		-3	-3	-3	-3	1	Eb	G	Eb	Eb	major triad	1	True	False	True	True	True	4	4	4	3	True	False	True
9192	12	383.0	46	-2	B	-1	1.0	1	True	2	4	2	1	1/8	True	-3	193	193	192	192a	2	383	False	True				False	510	IV		Eb	I	V	IV		IV					M	False	False	(-1, 3, 0)	()	-1	-1	major	major	I	I, major	IV		I	I	False	IV	IV, major	V	IV, major		IV	IV	4		-3	-3	-3	-4	-4	Ab	Ab	Eb	Eb	major triad	0	True	False	True	True	True	1	1	1	5	False	False	False
9192	6	383.0	72	0	C	0	1.0	1	True	2	4	1	2	1/16	True	-3	193	193	192	192a	5	383	False	True				False	510	IV		Eb	I	V	IV		IV					M	False	False	(-1, 3, 0)	()	-1	-1	major	major	I	I, major	IV		I	I	False	IV	IV, major	V	IV, major		IV	IV	4		-3	-3	-3	-4	-4	Ab	Ab	Eb	Eb	major triad	0	True	False	True	True	True	3	3	3	6	True	False	False
9192	12	383.0	80	-4	A	-1	1.0	1	True	2	4	1	1	1/8	True	-3	193	193	192	192a	5	383	False	True				False	510	IV		Eb	I	V	IV		IV					M	False	False	(-1, 3, 0)	()	-1	-1	major	major	I	I, major	IV		I	I	False	IV	IV, major	V	IV, major		IV	IV	4		-3	-3	-3	-4	-4	Ab	Ab	Eb	Eb	major triad	0	True	False	True	True	True	-1	-1	-1	4	True	True	True
9198	6	383.25	68	-4	A	-1	1.25	0	False	2	4	1	2	1/16	True	-3	193	193	192	192a	4	1533/4	False	False				False	510	IV		Eb	I	V	IV		IV					M	False	False	(-1, 3, 0)	()	-1	-1	major	major	I	I, major	IV		I	I	False	IV	IV, major	V	IV, major		IV	IV	4		-3	-3	-3	-4	-4	Ab	Ab	Eb	Eb	major triad	0	True	False	True	True	True	-1	-1	-1	4	True	True	True
9204	12	383.5	58	-2	B	-1	1.5	0	False	2	4	2	1	1/8	True	-3	193	193	192	192a	3	767/2	False	True				False	511	V7		Eb	I	V	V7		V		7			Mm7	False	False	(1, 5, 2, -1)	()	1	1	major	major	I	I, major	V		I	I	False	V7	V7, major	V	V7, major		V	V7	5		-3	-3	-3	-2	-2	Bb	Bb	Eb	Eb	dominant seventh chord	7	True	False	True	True	True	1	1	1	5	True	True	True
9204	6	383.5	68	-4	A	-1	1.5	0	False	2	4	1	2	1/16	True	-3	193	193	192	192a	4	767/2	False	True				False	511	V7		Eb	I	V	V7		V		7			Mm7	False	False	(1, 5, 2, -1)	()	1	1	major	major	I	I, major	V		I	I	False	V7	V7, major	V	V7, major		V	V7	5		-3	-3	-3	-2	-2	Bb	Bb	Eb	Eb	dominant seventh chord	7	True	False	True	True	True	-1	-1	-1	4	True	False	False
9204	12	383.5	74	2	D	0	1.5	0	False	2	4	1	1	1/8	True	-3	193	193	192	192a	5	767/2	False	True				False	511	V7		Eb	I	V	V7		V		7			Mm7	False	False	(1, 5, 2, -1)	()	1	1	major	major	I	I, major	V		I	I	False	V7	V7, major	V	V7, major		V	V7	5		-3	-3	-3	-2	-2	Bb	Bb	Eb	Eb	dominant seventh chord	7	True	False	True	True	True	5	5	5	7	True	False	False
9210	6	383.75	65	-1	F	0	1.75	0	False	2	4	1	2	1/16	True	-3	193	193	192	192a	4	1535/4	False	False				False	511	V7		Eb	I	V	V7		V		7			Mm7	False	False	(1, 5, 2, -1)	()	1	1	major	major	I	I, major	V		I	I	False	V7	V7, major	V	V7, major		V	V7	5		-3	-3	-3	-2	-2	Bb	Bb	Eb	Eb	dominant seventh chord	7	True	False	True	True	True	2	2	2	2	True	False	False
9216	12	384.0	46	-2	B	-1	2.0	2	True	2	4	2	1	1/8	True	-3	193	193	192	192a	2	384	False	True				False	512	I		Eb	I	V	I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major	V	I, major		I	I	1		-3	-3	-3	-3	-3	Eb	Eb	Eb	Eb	major triad	0	True	False	True	True	True	1	1	1	5	True	False	False
