onset_div	duration_div	onset_beat	pitch	tpc	step	alter	beat_float	downbeat	is_downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	a_isOnset	cadence	cadence_type	phraseend	a_phraseend	unfolded_harmony_index	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	a_simpleNumeral	a_degree1	a_degree2	globalkey_tpc	localkey_tpc	tonicized_tpc	root_tpc	bass_note_tpc	a_root	a_bass	a_localKey	a_tonicizedKey	a_quality	a_inversion	valid_chord_label	valid_cadence_label	valid_phrase_label	valid_pedal_point_label	valid_section_start_label	sic_with_global	sic_with_local	sic_with_tonicized	note_degree	tpc_is_in_label	tpc_is_root	tpc_is_bass
144	4	72.0	62	2	D	0	1.0	1	True	4	4	1	1	1/2	True	0	19	19	19	19a	4	72	False	False				False	23	VII		a	i		VII	VII					M	True	True	(-2, 2, -1)	()	-2	-2	minor	minor	i	i, minor	VII		i	i	True	VII	VII, minor		VII, minor		VII	VII	7		3	3	3	1	1	G	G	A	A	major triad	0	True	False	True	True	True	-1	-1	-1	4	True	False	False
148	4	74.0	45	3	A	0	3.0	3	True	4	4	3	1	1/2	True	0	19	19	19	19a	2	74	False	True				False	24	i		a	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		3	3	3	3	3	A	A	A	A	minor triad	0	True	False	True	True	True	0	0	0	1	True	True	True
148	4	74.0	57	3	A	0	3.0	3	True	4	4	2	1	1/2	True	0	19	19	19	19a	3	74	False	True				False	24	i		a	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		3	3	3	3	3	A	A	A	A	minor triad	0	True	False	True	True	True	0	0	0	1	True	True	True
148	4	74.0	60	0	C	0	3.0	3	True	4	4	1	1	1/2	True	0	19	19	19	19a	4	74	False	True				False	24	i		a	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		3	3	3	3	3	A	A	A	A	minor triad	0	True	False	True	True	True	-3	-3	-3	3	True	False	False
152	8	76.0	52	4	E	0	1.0	1	True	4	4	3	1	1	True	0	20	20	20	20a	3	76	False	True			\\	True	25	V\\		a	i		V	V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	V	5		3	3	3	4	4	E	E	A	A	major triad	0	True	False	True	True	True	1	1	1	5	True	True	True
152	8	76.0	56	8	G	1	1.0	1	True	4	4	2	1	1	True	0	20	20	20	20a	3	76	False	True			\\	True	25	V\\		a	i		V	V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	V	5		3	3	3	4	4	E	E	A	A	major triad	0	True	False	True	True	True	5	5	5	#7	True	False	False
152	8	76.0	59	5	B	0	1.0	1	True	4	4	1	1	1	True	0	20	20	20	20a	3	76	False	True			\\	True	25	V\\		a	i		V	V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	V	5		3	3	3	4	4	E	E	A	A	major triad	0	True	False	True	True	True	2	2	2	2	True	False	False
160	4	80.0	53	-1	F	0	1.0	1	True	4	4	3	1	1/2	True	0	21	21	21	21a	3	80	False	True				False	26	VI		a	i		VI	VI					M	True	True	(-4, 0, -3)	()	-4	-4	minor	minor	i	i, minor	VI		i	i	True	VI	VI, minor		VI, minor		VI	VI	6		3	3	3	-1	-1	F	F	A	A	major triad	0	True	False	True	True	True	-4	-4	-4	6	True	True	True
160	4	80.0	57	3	A	0	1.0	1	True	4	4	2	1	1/2	True	0	21	21	21	21a	3	80	False	True				False	26	VI		a	i		VI	VI					M	True	True	(-4, 0, -3)	()	-4	-4	minor	minor	i	i, minor	VI		i	i	True	VI	VI, minor		VI, minor		VI	VI	6		3	3	3	-1	-1	F	F	A	A	major triad	0	True	False	True	True	True	0	0	0	1	True	False	False
164	4	82.0	50	2	D	0	3.0	3	True	4	4	3	1	1/2	True	0	21	21	21	21a	3	82	False	True				False	27	iv		a	i		iv	iv					m	True	True	(-1, -4, 0)	()	-1	-1	minor	minor	i	i, minor	iv		i	i	True	iv	iv, minor		iv, minor		iv	iv	4		3	3	3	2	2	D	D	A	A	minor triad	0	True	False	True	True	True	-1	-1	-1	4	True	True	True
164	4	82.0	57	3	A	0	3.0	3	True	4	4	2	1	1/2	True	0	21	21	21	21a	3	82	False	True				False	27	iv		a	i		iv	iv					m	True	True	(-1, -4, 0)	()	-1	-1	minor	minor	i	i, minor	iv		i	i	True	iv	iv, minor		iv, minor		iv	iv	4		3	3	3	2	2	D	D	A	A	minor triad	0	True	False	True	True	True	0	0	0	1	True	False	False
168	4	84.0	55	1	G	0	1.0	1	True	4	4	3	1	1/2	True	0	22	22	22	22a	3	84	False	True				False	28	vii		a	i		vii	vii					m	True	True	(-2, -5, -1)	()	-2	-2	minor	minor	i	i, minor	vii		i	i	True	vii	vii, minor		vii, minor		vii	bvii	7		3	3	3	1	1	G	G	A	A	minor triad	0	True	False	True	True	True	-2	-2	-2	7	True	True	True
168	4	84.0	58	-2	B	-1	1.0	1	True	4	4	2	1	1/2	True	0	22	22	22	22a	3	84	False	True				False	28	vii		a	i		vii	vii					m	True	True	(-2, -5, -1)	()	-2	-2	minor	minor	i	i, minor	vii		i	i	True	vii	vii, minor		vii, minor		vii	bvii	7		3	3	3	1	1	G	G	A	A	minor triad	0	True	False	True	True	True	-5	-5	-5	b2	True	False	False
172	4	86.0	52	4	E	0	3.0	3	True	4	4	3	1	1/2	True	0	22	22	22	22a	3	86	False	True				False	29	V		a	i		V	V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	V	5		3	3	3	4	4	E	E	A	A	major triad	0	True	False	True	True	True	1	1	1	5	True	True	True
172	4	86.0	59	5	B	0	3.0	3	True	4	4	2	1	1/2	True	0	22	22	22	22a	3	86	False	True				False	29	V		a	i		V	V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	V	5		3	3	3	4	4	E	E	A	A	major triad	0	True	False	True	True	True	2	2	2	2	True	False	False
176	4	88.0	45	3	A	0	1.0	1	True	4	4	3	1	1/2	True	0	23	23	23	23a	2	88	False	True				False	30	i		a	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		3	3	3	3	3	A	A	A	A	minor triad	0	True	False	True	True	True	0	0	0	1	True	True	True
176	4	88.0	52	4	E	0	1.0	1	True	4	4	1	1	1/2	True	0	23	23	23	23a	3	88	False	True				False	30	i		a	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		3	3	3	3	3	A	A	A	A	minor triad	0	True	False	True	True	True	1	1	1	5	True	False	False
176	4	88.0	60	0	C	0	1.0	1	True	4	4	2	1	1/2	True	0	23	23	23	23a	4	88	False	True				False	30	i		a	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		3	3	3	3	3	A	A	A	A	minor triad	0	True	False	True	True	True	-3	-3	-3	3	True	False	False
180	4	90.0	45	3	A	0	3.0	3	True	4	4	3	1	1/2	False	0	23	23	23	23a	2	90	False	True				False	31	V/iv		a	i		V/iv	V				iv	M	True	True	(0, 4, 1)	()	0	0	minor	minor	i	i, minor	V/iv	iv	iv/i	iv	True	V/iv	V/iv, minor		V/iv, minor	iv	iv	V	5	4	3	3	2	3	3	A	A	A	D	major triad	0	True	False	True	True	True	0	0	1	1	True	True	True
180	4	90.0	52	4	E	0	3.0	3	True	4	4	1	1	1/2	True	0	23	23	23	23a	3	90	False	True				False	31	V/iv		a	i		V/iv	V				iv	M	True	True	(0, 4, 1)	()	0	0	minor	minor	i	i, minor	V/iv	iv	iv/i	iv	True	V/iv	V/iv, minor		V/iv, minor	iv	iv	V	5	4	3	3	2	3	3	A	A	A	D	major triad	0	True	False	True	True	True	1	1	2	5	True	False	False
180	4	90.0	61	7	C	1	3.0	3	True	4	4	2	1	1/2	True	0	23	23	23	23a	4	90	False	True				False	31	V/iv		a	i		V/iv	V				iv	M	True	True	(0, 4, 1)	()	0	0	minor	minor	i	i, minor	V/iv	iv	iv/i	iv	True	V/iv	V/iv, minor		V/iv, minor	iv	iv	V	5	4	3	3	2	3	3	A	A	A	D	major triad	0	True	False	True	True	True	4	4	5	#3	True	False	False
184	4	92.0	50	2	D	0	1.0	1	True	4	4	3	1	1/2	True	0	24	24	24	24a	3	92	False	True				False	32	iv		a	i		iv	iv					m	True	True	(-1, -4, 0)	()	-1	-1	minor	minor	i	i, minor	iv		i	i	True	iv	iv, minor		iv, minor		iv	iv	4		3	3	3	2	2	D	D	A	A	minor triad	0	True	False	True	True	True	-1	-1	-1	4	True	True	True
184	4	92.0	53	-1	F	0	1.0	1	True	4	4	1	1	1/2	True	0	24	24	24	24a	3	92	False	True				False	32	iv		a	i		iv	iv					m	True	True	(-1, -4, 0)	()	-1	-1	minor	minor	i	i, minor	iv		i	i	True	iv	iv, minor		iv, minor		iv	iv	4		3	3	3	2	2	D	D	A	A	minor triad	0	True	False	True	True	True	-4	-4	-4	6	True	False	False
184	8	92.0	62	2	D	0	1.0	1	True	4	4	2	1	1	True	0	24	24	24	24a	4	92	False	True				False	32	iv		a	i		iv	iv					m	True	True	(-1, -4, 0)	()	-1	-1	minor	minor	i	i, minor	iv		i	i	True	iv	iv, minor		iv, minor		iv	iv	4		3	3	3	2	2	D	D	A	A	minor triad	0	True	False	True	True	True	-1	-1	-1	4	True	True	True
188	4	94.0	50	2	D	0	3.0	3	True	4	4	3	1	1/2	False	0	24	24	24	24a	3	94	False	True				False	33	V/VII		a	i		V/VII	V				VII	M	True	True	(-1, 3, 0)	()	-1	-1	minor	minor	i	i, minor	V/VII	VII	VII/i	VII	False	V/VII	V/VII, minor		V/VII, minor	VII	VII	V	5	7	3	3	1	2	2	D	D	A	G	major triad	0	True	False	True	True	True	-1	-1	1	4	True	True	True
188	4	94.0	54	6	F	1	3.0	3	True	4	4	1	1	1/2	True	0	24	24	24	24a	3	94	False	True				False	33	V/VII		a	i		V/VII	V				VII	M	True	True	(-1, 3, 0)	()	-1	-1	minor	minor	i	i, minor	V/VII	VII	VII/i	VII	False	V/VII	V/VII, minor		V/VII, minor	VII	VII	V	5	7	3	3	1	2	2	D	D	A	G	major triad	0	True	False	True	True	True	3	3	5	#6	True	False	False
192	4	96.0	52	4	E	0	1.0	1	True	4	4	2	1	1/2	True	0	25	25	25	25a	3	96	False	True				False	34	v		a	i		v	v					m	True	True	(1, -2, 2)	()	1	1	minor	minor	i	i, minor	v		i	i	True	v	v, minor		v, minor		v	v	5		3	3	3	4	4	E	E	A	A	minor triad	0	True	False	True	True	True	1	1	1	5	True	True	True
192	4	96.0	52	4	E	0	1.0	1	True	4	4	3	1	1/2	True	0	25	25	25	25a	3	96	False	True				False	34	v		a	i		v	v					m	True	True	(1, -2, 2)	()	1	1	minor	minor	i	i, minor	v		i	i	True	v	v, minor		v, minor		v	v	5		3	3	3	4	4	E	E	A	A	minor triad	0	True	False	True	True	True	1	1	1	5	True	True	True
192	4	96.0	55	1	G	0	1.0	1	True	4	4	1	1	1/2	True	0	25	25	25	25a	3	96	False	True				False	34	v		a	i		v	v					m	True	True	(1, -2, 2)	()	1	1	minor	minor	i	i, minor	v		i	i	True	v	v, minor		v, minor		v	v	5		3	3	3	4	4	E	E	A	A	minor triad	0	True	False	True	True	True	-2	-2	-2	7	True	False	False
196	4	98.0	52	4	E	0	3.0	3	True	4	4	2	1	1/2	True	0	25	25	25	25a	3	98	False	True				False	35	V		a	i		V	V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	V	5		3	3	3	4	4	E	E	A	A	major triad	0	True	False	True	True	True	1	1	1	5	True	True	True
196	4	98.0	52	4	E	0	3.0	3	True	4	4	3	1	1/2	False	0	25	25	25	25a	3	98	False	True				False	35	V		a	i		V	V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	V	5		3	3	3	4	4	E	E	A	A	major triad	0	True	False	True	True	True	1	1	1	5	True	True	True
196	4	98.0	56	8	G	1	3.0	3	True	4	4	1	1	1/2	True	0	25	25	25	25a	3	98	False	True				False	35	V		a	i		V	V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	V	5		3	3	3	4	4	E	E	A	A	major triad	0	True	False	True	True	True	5	5	5	#7	True	False	False
200	4	100.0	50	2	D	0	1.0	1	True	4	4	3	1	1/2	True	0	26	26	26	26a	3	100	False	True				False	36	iv		a	i		iv	iv					m	True	True	(-1, -4, 0)	()	-1	-1	minor	minor	i	i, minor	iv		i	i	True	iv	iv, minor		iv, minor		iv	iv	4		3	3	3	2	2	D	D	A	A	minor triad	0	True	False	True	True	True	-1	-1	-1	4	True	True	True
200	4	100.0	53	-1	F	0	1.0	1	True	4	4	2	1	1/2	True	0	26	26	26	26a	3	100	False	True				False	36	iv		a	i		iv	iv					m	True	True	(-1, -4, 0)	()	-1	-1	minor	minor	i	i, minor	iv		i	i	True	iv	iv, minor		iv, minor		iv	iv	4		3	3	3	2	2	D	D	A	A	minor triad	0	True	False	True	True	True	-4	-4	-4	6	True	False	False
200	4	100.0	57	3	A	0	1.0	1	True	4	4	1	1	1/2	True	0	26	26	26	26a	3	100	False	True				False	36	iv		a	i		iv	iv					m	True	True	(-1, -4, 0)	()	-1	-1	minor	minor	i	i, minor	iv		i	i	True	iv	iv, minor		iv, minor		iv	iv	4		3	3	3	2	2	D	D	A	A	minor triad	0	True	False	True	True	True	0	0	0	1	True	False	False
204	4	102.0	47	5	B	0	3.0	3	True	4	4	3	1	1/2	True	0	26	26	26	26a	2	102	False	True				False	37	ii		a	i		ii	ii					m	True	True	(2, -1, 3)	()	2	2	minor	minor	i	i, minor	ii		i	i	True	ii	ii, minor		ii, minor		ii	ii	2		3	3	3	5	5	B	B	A	A	minor triad	0	True	False	True	True	True	2	2	2	2	True	True	True
204	4	102.0	54	6	F	1	3.0	3	True	4	4	2	1	1/2	True	0	26	26	26	26a	3	102	False	True				False	37	ii		a	i		ii	ii					m	True	True	(2, -1, 3)	()	2	2	minor	minor	i	i, minor	ii		i	i	True	ii	ii, minor		ii, minor		ii	ii	2		3	3	3	5	5	B	B	A	A	minor triad	0	True	False	True	True	True	3	3	3	#6	True	False	False
204	4	102.0	59	5	B	0	3.0	3	True	4	4	1	1	1/2	True	0	26	26	26	26a	3	102	False	True				False	37	ii		a	i		ii	ii					m	True	True	(2, -1, 3)	()	2	2	minor	minor	i	i, minor	ii		i	i	True	ii	ii, minor		ii, minor		ii	ii	2		3	3	3	5	5	B	B	A	A	minor triad	0	True	False	True	True	True	2	2	2	2	True	True	True
208	4	104.0	52	4	E	0	1.0	1	True	4	4	3	1	1/2	True	0	27	27	27	27a	3	104	False	True				False	38	V		a	i		V	V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	V	5		3	3	3	4	4	E	E	A	A	major triad	0	True	False	True	True	True	1	1	1	5	True	True	True
208	4	104.0	56	8	G	1	1.0	1	True	4	4	2	1	1/2	True	0	27	27	27	27a	3	104	False	True				False	38	V		a	i		V	V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	V	5		3	3	3	4	4	E	E	A	A	major triad	0	True	False	True	True	True	5	5	5	#7	True	False	False
208	4	104.0	59	5	B	0	1.0	1	True	4	4	1	1	1/2	False	0	27	27	27	27a	3	104	False	True				False	38	V		a	i		V	V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	V	5		3	3	3	4	4	E	E	A	A	major triad	0	True	False	True	True	True	2	2	2	2	True	False	False
212	4	106.0	52	4	E	0	3.0	3	True	4	4	3	1	1/2	False	0	27	27	27	27a	3	106	False	True				False	39	V(64)		a	i		V(64)	V			64		M	True	True	(1, 0, -3)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V(64), minor		V	Cad	5		3	3	3	4	4	E	E	A	A	major triad	0	True	False	True	True	True	1	1	1	5	True	True	True
212	4	106.0	57	3	A	0	3.0	3	True	4	4	2	1	1/2	True	0	27	27	27	27a	3	106	False	True				False	39	V(64)		a	i		V(64)	V			64		M	True	True	(1, 0, -3)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V(64), minor		V	Cad	5		3	3	3	4	4	E	E	A	A	major triad	0	True	False	True	True	True	0	0	0	1	True	False	False
212	4	106.0	60	0	C	0	3.0	3	True	4	4	1	1	1/2	True	0	27	27	27	27a	4	106	False	True				False	39	V(64)		a	i		V(64)	V			64		M	True	True	(1, 0, -3)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V(64), minor		V	Cad	5		3	3	3	4	4	E	E	A	A	major triad	0	True	False	True	True	True	-3	-3	-3	3	True	False	False
216	4	108.0	52	4	E	0	1.0	1	True	4	4	3	1	1/2	True	0	28	28	28	28a	3	108	False	True				False	40	V(4)		a	i		V(4)	V			4		M	True	True	(1, 0, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V(4), minor		V	V	5		3	3	3	4	4	E	E	A	A	major triad	0	True	False	True	True	True	1	1	1	5	True	True	True
216	4	108.0	57	3	A	0	1.0	1	True	4	4	2	1	1/2	False	0	28	28	28	28a	3	108	False	True				False	40	V(4)		a	i		V(4)	V			4		M	True	True	(1, 0, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V(4), minor		V	V	5		3	3	3	4	4	E	E	A	A	major triad	0	True	False	True	True	True	0	0	0	1	True	False	False
216	8	108.0	59	5	B	0	1.0	1	True	4	4	1	1	1	True	0	28	28	28	28a	3	108	False	True				False	40	V(4)		a	i		V(4)	V			4		M	True	True	(1, 0, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V(4), minor		V	V	5		3	3	3	4	4	E	E	A	A	major triad	0	True	False	True	True	True	2	2	2	2	True	False	False
220	4	110.0	52	4	E	0	3.0	3	True	4	4	3	1	1/2	False	0	28	28	28	28a	3	110	False	True				False	41	V		a	i		V	V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	V	5		3	3	3	4	4	E	E	A	A	major triad	0	True	False	True	True	True	1	1	1	5	True	True	True
220	4	110.0	56	8	G	1	3.0	3	True	4	4	2	1	1/2	True	0	28	28	28	28a	3	110	False	True				False	41	V		a	i		V	V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	V	5		3	3	3	4	4	E	E	A	A	major triad	0	True	False	True	True	True	5	5	5	#7	True	False	False
224	8	112.0	45	3	A	0	1.0	1	True	4	4	3	1	1	True	0	29	29	29	29a	2	112	False	True			\\	True	42	i\\		a	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		3	3	3	3	3	A	A	A	A	minor triad	0	True	False	True	True	True	0	0	0	1	True	True	True
224	8	112.0	57	3	A	0	1.0	1	True	4	4	1	1	1	True	0	29	29	29	29a	3	112	False	True			\\	True	42	i\\		a	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		3	3	3	3	3	A	A	A	A	minor triad	0	True	False	True	True	True	0	0	0	1	True	True	True
224	8	112.0	57	3	A	0	1.0	1	True	4	4	2	1	1	True	0	29	29	29	29a	3	112	False	True			\\	True	42	i\\		a	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		3	3	3	3	3	A	A	A	A	minor triad	0	True	False	True	True	True	0	0	0	1	True	True	True
232	4	116.0	45	3	A	0	1.0	1	True	4	4	3	1	1/2	False	0	30	30	30	30a	2	116	False	False				False	42	i\\		a	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		3	3	3	3	3	A	A	A	A	minor triad	0	True	False	True	True	True	0	0	0	1	True	True	True
236	4	118.0	45	3	A	0	3.0	3	True	4	4	3	1	1/2	True	0	30	30	30	30a	2	118	False	False				False	42	i\\		a	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		3	3	3	3	3	A	A	A	A	minor triad	0	True	False	True	True	True	0	0	0	1	True	True	True
